LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon_106140Hz,AppCon_25380Hz,AppCon_6135Hz,AppCon_1518Hz,AppCon_385Hz,AppCon_3323Hz
31003,2,478997.4,6196014.5,26.8,33.3,0.0,0.00,28.89,40.08,128.01,377.08,865.18,212.30
31003,9,478999.2,6196037.0,27.2,32.9,0.0,0.00,26.71,39.72,125.58,368.54,847.40,205.96
31003,16,479000.9,6196060.0,27.7,32.7,0.0,0.00,24.96,40.22,124.05,358.05,820.77,201.19
31003,23,479002.1,6196083.0,27.8,33.1,0.0,0.00,25.14,43.31,127.80,356.62,812.16,211.76
31003,30,479002.6,6196106.0,27.4,34.0,0.0,0.00,30.41,50.28,139.82,377.22,843.29,231.87
31003,37,479002.6,6196128.5,26.7,35.2,0.0,0.00,39.80,58.58,157.35,416.59,902.51,253.13
31003,44,479002.0,6196151.0,26.0,36.5,0.0,0.00,43.09,58.64,165.06,448.07,955.43,268.84
31003,51,479000.9,6196173.5,25.5,37.5,0.0,0.00,38.41,54.41,165.10,463.65,984.65,273.89
31003,58,478999.5,6196196.0,25.3,38.2,0.0,0.00,33.41,48.12,158.23,461.32,986.21,271.04
31003,65,478997.8,6196218.5,25.1,38.8,0.0,0.00,27.40,43.33,152.47,456.53,984.44,264.58
31003,72,478996.1,6196241.5,24.8,39.9,0.0,0.00,26.12,41.88,152.65,463.66,996.27,267.20
31003,79,478994.7,6196264.0,24.7,40.5,0.0,0.00,26.55,42.06,151.99,460.67,989.76,272.59
31003,86,478993.6,6196287.0,25.0,40.1,0.0,0.00,28.12,42.27,148.34,445.45,966.21,261.85
31003,93,478993.1,6196310.5,25.5,39.2,0.0,0.00,30.48,43.44,145.76,430.16,934.82,250.70
31003,100,478993.0,6196334.0,26.1,37.5,0.0,0.00,32.34,46.28,141.17,405.65,890.27,241.23
31003,107,478993.4,6196357.5,26.8,35.8,0.0,0.00,38.12,51.68,142.32,391.57,861.82,232.31
31003,114,478994.2,6196381.5,26.9,34.6,0.0,0.00,44.32,60.20,152.22,400.55,872.58,238.01
31003,121,478995.1,6196406.0,27.0,33.8,0.0,0.00,47.28,65.86,159.15,411.23,882.24,245.85
31003,128,478995.9,6196430.0,27.0,33.4,0.0,0.00,50.42,66.91,163.19,415.53,887.99,251.34
31003,135,478996.7,6196454.0,27.2,32.9,0.0,0.00,48.13,64.05,158.12,403.66,875.16,251.52
31003,142,478997.1,6196477.5,27.6,32.1,0.0,0.00,39.91,58.93,149.18,383.93,842.89,234.45
31003,149,478997.0,6196501.0,28.0,31.4,0.0,0.00,41.08,61.07,150.81,380.40,826.77,228.50
31003,156,478996.5,6196524.0,28.5,31.1,0.0,0.00,46.32,68.03,158.04,378.25,808.99,230.87
31003,163,478995.5,6196547.5,29.1,30.6,0.0,0.00,47.17,76.14,169.88,373.22,783.66,236.92
31003,170,478994.3,6196571.0,29.8,30.4,0.0,0.00,50.67,85.90,194.62,382.91,769.92,259.55
31003,177,478993.1,6196594.5,30.0,31.0,0.0,0.00,61.34,98.36,239.34,418.81,783.74,299.90
31003,184,478992.0,6196618.5,30.5,31.3,0.0,0.00,61.89,96.66,262.01,437.88,776.99,326.62
31003,191,478991.3,6196642.5,31.0,32.0,0.0,0.00,60.70,96.46,286.09,462.50,780.06,353.35
31003,198,478990.9,6196666.5,31.5,32.3,0.0,0.00,54.56,89.25,282.70,468.57,768.07,360.88
31003,205,478990.8,6196690.5,32.1,32.1,0.0,0.00,51.70,84.75,277.14,472.50,761.26,364.03
31003,212,478991.0,6196714.5,32.6,31.7,0.0,0.00,46.45,80.20,267.28,473.86,756.73,358.69
31003,219,478991.5,6196738.5,32.8,31.6,0.0,0.00,48.81,81.19,272.47,492.44,769.85,367.20
31003,226,478992.4,6196763.0,33.2,31.2,0.0,0.00,42.77,76.99,259.70,491.84,767.22,360.71
31003,233,478993.5,6196787.5,33.6,31.3,0.0,0.00,41.49,75.80,261.60,504.08,778.58,368.73
31003,240,478994.6,6196812.0,33.8,31.5,0.0,0.00,41.44,75.20,262.39,514.28,786.51,375.63
31003,247,478995.5,6196836.5,33.7,31.6,0.0,0.00,42.63,76.92,267.09,524.50,795.66,386.05
31003,254,478996.1,6196861.0,33.7,31.9,0.0,0.00,44.91,78.62,272.19,534.64,801.25,395.36
31003,261,478996.2,6196885.0,33.9,32.0,0.0,0.00,44.98,78.90,271.43,536.18,803.82,395.36
