LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31003,4,478997.9,6196021.0,26.9,33.2,0.0,0.000000,1863.548,316.0427,1595.372,317.6138,1306.657,329.3086,1008.189,340.7180,711.0082,365.2789,431.4506,120.9573
1,31003,14,479000.4,6196053.5,27.6,32.8,0.0,0.000000,1873.956,268.3714,1632.121,306.4457,1331.212,344.7531,1012.746,351.3673,711.8569,371.2185,436.3477,126.7026
1,31003,24,479002.2,6196086.0,27.8,33.2,0.0,0.000000,1873.745,199.4360,1668.426,301.9954,1334.319,368.5255,994.1658,359.3767,696.8776,366.9593,432.5474,133.5171
1,31003,34,479002.7,6196119.0,27.0,34.6,0.0,0.000000,1744.140,163.8467,1597.249,263.2790,1279.355,358.1171,939.8759,346.1200,661.9835,353.9860,412.2711,130.6779
1,31003,44,479002.0,6196151.0,26.0,36.4,0.0,0.000000,1580.660,169.0203,1441.034,222.0225,1195.270,303.0917,890.2835,319.6920,626.7416,327.8846,389.7307,115.9491
1,31003,54,479000.3,6196183.5,25.4,37.8,0.0,0.000000,1438.818,158.3289,1306.570,194.7412,1104.487,250.4309,854.7527,281.4713,609.0945,306.8331,366.8121,97.42486
1,31003,64,478998.0,6196215.5,25.1,38.6,0.0,0.000000,1326.450,153.9350,1195.566,174.8426,1027.244,212.5081,815.6774,250.8587,590.5845,283.3087,345.5696,83.96619
1,31003,74,478995.7,6196248.0,24.8,40.0,0.0,0.000000,1198.113,132.9448,1086.265,148.8985,945.4354,184.0516,759.0839,225.1692,553.7492,261.1681,319.9805,74.12257
1,31003,84,478993.9,6196280.5,24.9,40.3,0.0,0.000000,1175.225,125.7215,1068.796,145.0019,929.2905,181.1039,745.8837,220.6869,545.9384,253.6384,314.4969,72.81692
1,31003,94,478993.0,6196314.0,25.5,39.1,0.0,0.000000,1279.687,136.5938,1161.648,170.3473,987.5122,214.8648,774.6198,243.5158,561.4125,269.5330,330.1087,83.81186
1,31003,104,478993.2,6196347.5,26.5,36.6,0.0,0.000000,1504.201,149.5281,1369.594,216.0757,1126.402,287.1220,846.7343,294.8882,603.4077,306.4359,368.0524,107.9120
1,31003,114,478994.2,6196381.5,26.9,34.7,0.0,0.000000,1729.052,158.4591,1590.027,247.1134,1291.419,360.1836,934.0641,355.1264,650.9925,353.8091,413.8456,134.3549
1,31003,124,478995.4,6196416.0,27.0,33.7,0.0,0.000000,1884.887,185.6559,1729.020,273.0616,1400.479,404.1232,994.2825,394.7437,685.0823,384.3809,445.0880,150.8722
1,31003,134,478996.6,6196450.5,27.1,33.0,0.0,0.000000,1981.117,206.8499,1806.741,296.8330,1453.234,427.7225,1028.859,412.5573,706.1884,399.3852,460.8707,158.2505
1,31003,144,478997.1,6196484.0,27.8,31.9,0.0,0.000000,2151.291,243.2513,1938.089,345.2906,1531.934,471.1253,1080.685,438.7345,739.1328,421.1730,483.7771,170.2738
1,31003,154,478996.7,6196517.5,28.4,31.2,0.0,0.000000,2287.657,255.7610,2072.656,364.6375,1626.865,527.3156,1116.489,477.5428,754.7984,441.9861,506.5882,189.6196
1,31003,164,478995.3,6196551.0,29.2,30.6,0.0,0.000000,2375.402,224.8007,2192.182,351.8901,1738.085,576.8495,1138.717,544.6408,730.5060,467.6734,533.9460,214.7858
1,31003,174,478993.6,6196584.5,29.9,30.7,0.0,0.000000,2390.238,224.6319,2222.040,323.9695,1829.941,577.6334,1149.631,617.0096,684.2824,490.7410,561.9164,233.4412
1,31003,184,478992.0,6196618.5,30.5,31.3,0.0,0.000000,2281.532,198.2633,2138.006,278.4507,1825.824,529.0627,1139.883,636.9997,646.8108,493.4914,566.7569,229.7129
1,31003,194,478991.1,6196652.5,31.2,32.2,0.0,0.000000,2126.510,168.7676,2004.274,241.8176,1742.907,471.6765,1107.994,608.1365,622.9802,478.4709,547.8110,211.9808
1,31003,204,478990.8,6196687.0,32.0,32.2,0.0,0.000000,2126.443,169.3921,2001.317,240.9513,1747.358,459.2442,1126.107,609.0596,631.1948,484.0401,552.9904,208.1714
1,31003,214,478991.1,6196721.0,32.7,31.7,0.0,0.000000,2223.019,190.9422,2082.713,258.5678,1814.811,474.1161,1179.801,632.7748,658.9806,506.5988,576.0430,213.9620
1,31003,224,478992.2,6196756.0,33.0,31.3,0.0,0.000000,2320.190,207.0158,2180.166,262.9282,1896.917,505.2045,1229.949,653.6325,695.4481,531.5253,598.6951,224.4597
1,31003,234,478993.6,6196791.0,33.6,31.3,0.0,0.000000,2326.419,206.4167,2184.121,263.5979,1904.031,493.9767,1254.298,651.7466,710.5820,540.6350,604.8154,220.0752
1,31003,244,478995.1,6196826.0,33.7,31.5,0.0,0.000000,2249.426,175.3481,2127.009,243.4203,1864.413,470.6721,1237.651,635.8478,700.1634,535.3126,594.7688,212.2548
1,31003,254,478996.1,6196861.0,33.7,31.9,0.0,0.000000,2186.672,162.9853,2072.893,231.3308,1823.276,453.2735,1215.157,620.6299,686.8481,526.9925,583.1096,205.9769
1,31003,264,478996.2,6196895.5,34.0,32.1,0.0,0.000000,2141.501,163.8281,2027.722,227.6441,1783.855,439.8177,1196.424,603.5432,680.3764,517.0934,571.8558,199.6992
1,31003,274,478995.6,6196930.0,34.2,32.4,0.0,0.000000,2095.206,156.9277,1983.372,223.1131,1743.773,424.6562,1181.247,584.0076,679.0786,505.5653,560.8776,192.2526
1,31003,284,478994.7,6196964.5,34.5,32.2,0.0,0.000000,2125.855,155.0078,2012.864,225.2452,1771.805,425.6775,1207.712,593.8591,690.2518,518.8160,571.4885,193.3541
1,31003,294,478993.9,6196999.5,34.7,32.3,0.0,0.000000,2117.908,167.0800,1997.352,228.9318,1758.831,417.3705,1209.295,588.3068,689.6968,519.3510,569.3655,189.6011
1,31003,304,478993.4,6197034.5,35.7,31.2,0.0,0.000000,2263.242,178.3286,2108.294,266.8226,1832.060,446.1956,1263.426,610.0702,730.5950,529.3178,592.3492,197.8610
1,31003,314,478993.3,6197070.0,36.6,30.0,0.0,0.000000,2406.586,219.2790,2187.141,303.0642,1901.703,462.8250,1314.385,637.0281,755.5381,532.4421,615.5182,205.0480
1,31003,324,478993.6,6197105.0,37.0,29.3,0.0,0.000000,2516.474,264.8752,2262.069,331.6440,1955.950,491.5766,1339.903,660.7123,763.9584,558.3267,630.2233,215.4059
1,31003,334,478994.5,6197141.0,36.5,30.1,0.0,0.000000,2484.677,279.6206,2235.640,341.6986,1919.443,482.9330,1329.635,646.6435,755.7925,560.5261,620.9333,209.2589
1,31003,344,478995.5,6197176.5,35.7,31.4,0.0,0.000000,2340.136,271.2560,2122.726,318.0018,1813.726,456.2104,1273.077,598.0701,737.2239,534.7067,588.1127,194.2965
