LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,31003,4,478997.9,6196021.0,26.9,33.2,0.0,0.000000,1989.320,288.0400,1399.080,326.0700,1239.450,344.3000,1059.870,349.9900,769.3800,364.9600,432.2000,125.3700
1,31003,14,479000.4,6196053.5,27.6,32.8,0.0,0.000000,1995.590,247.9100,1434.940,320.0100,1256.410,360.8400,1062.500,360.4200,766.7600,369.2600,433.5800,128.7400
1,31003,24,479002.2,6196086.0,27.8,33.2,0.0,0.000000,1944.720,187.6700,1452.730,311.8900,1248.410,379.2500,1034.840,364.8300,743.2100,363.5200,435.6100,136.5600
1,31003,34,479002.7,6196119.0,27.0,34.6,0.0,0.000000,1884.010,152.2700,1436.110,297.7200,1221.410,376.9200,1006.010,357.0800,721.4999,354.7100,425.4700,135.2700
1,31003,44,479002.0,6196151.0,26.0,36.4,0.0,0.000000,1725.630,147.7300,1316.340,264.6400,1146.660,329.0200,963.3799,324.6200,698.5200,332.5100,400.1400,120.9300
1,31003,54,479000.3,6196183.5,25.4,37.8,0.0,0.000000,1523.540,144.3600,1160.160,209.4200,1052.800,266.7100,907.9100,284.3100,667.5600,307.1800,372.4100,100.7700
1,31003,64,478998.0,6196215.5,25.1,38.6,0.0,0.000000,1360.450,146.2400,1039.280,176.4700,976.5499,222.3900,859.0999,253.4900,637.9200,284.4100,350.6600,87.25000
1,31003,74,478995.7,6196248.0,24.8,40.0,0.0,0.000000,1221.170,127.0300,941.5300,147.8300,900.5900,192.4700,801.9099,227.1000,600.7499,260.8300,325.8800,77.80000
1,31003,84,478993.9,6196280.5,24.9,40.3,0.0,0.000000,1212.960,119.1500,931.5800,144.1500,880.5900,191.4100,781.8799,222.1500,586.5400,254.5800,320.1200,75.13999
1,31003,94,478993.0,6196314.0,25.5,39.1,0.0,0.000000,1342.790,125.9400,1010.570,178.2500,932.6699,225.7400,817.5900,246.0700,605.1599,269.5700,335.0200,86.21000
1,31003,104,478993.2,6196347.5,26.5,36.6,0.0,0.000000,1634.030,130.2200,1215.010,254.4900,1058.730,301.9100,902.0500,299.4600,654.6100,306.6700,374.3300,111.3700
1,31003,114,478994.2,6196381.5,26.9,34.7,0.0,0.000000,1962.890,132.9900,1477.160,331.4800,1228.040,399.1700,1009.520,368.3700,719.4800,357.4200,419.9200,136.1600
1,31003,124,478995.4,6196416.0,27.0,33.7,0.0,0.000000,2158.760,157.0900,1641.510,372.0700,1344.420,456.4700,1087.460,411.8900,765.1200,394.3100,455.5800,157.2000
1,31003,134,478996.6,6196450.5,27.1,33.0,0.0,0.000000,2262.880,176.1900,1695.260,394.3900,1389.210,476.1200,1116.020,426.7700,784.4499,406.8400,475.5200,165.6700
1,31003,144,478997.1,6196484.0,27.8,31.9,0.0,0.000000,2384.560,210.5200,1776.230,426.7000,1449.020,509.6500,1154.960,452.9300,807.2899,424.6500,490.3200,176.9500
1,31003,154,478996.7,6196517.5,28.4,31.2,0.0,0.000000,2580.360,219.0100,1937.620,464.4100,1548.480,586.7700,1198.860,505.0300,822.1000,447.1100,509.8500,198.8200
1,31003,164,478995.3,6196551.0,29.2,30.6,0.0,0.000000,2732.480,187.2400,2127.770,469.6400,1677.560,688.9399,1228.410,574.9600,822.2900,471.2300,538.1800,230.4100
1,31003,174,478993.6,6196584.5,29.9,30.7,0.0,0.000000,2810.650,187.9000,2257.250,424.9500,1842.850,759.8500,1273.770,661.7100,816.4200,500.8000,577.4399,264.5900
1,31003,184,478992.0,6196618.5,30.5,31.3,0.0,0.000000,2735.780,166.1500,2190.130,351.9700,1901.870,726.1100,1285.400,700.3799,791.8900,511.5800,592.7100,267.1600
1,31003,194,478991.1,6196652.5,31.2,32.2,0.0,0.000000,2509.250,141.3900,2029.020,298.0100,1840.000,635.6699,1256.080,680.6500,755.6200,499.2700,581.7299,249.6100
1,31003,204,478990.8,6196687.0,32.0,32.2,0.0,0.000000,2460.060,143.5500,1969.420,280.6800,1824.120,590.5499,1263.930,679.9900,746.7199,502.6200,586.1100,244.3700
1,31003,214,478991.1,6196721.0,32.7,31.7,0.0,0.000000,2514.900,163.9800,2007.630,295.0700,1872.580,585.4100,1314.620,704.0000,764.9299,524.3199,605.0200,245.4600
1,31003,224,478992.2,6196756.0,33.0,31.3,0.0,0.000000,2561.430,188.6500,2039.680,298.2000,1906.110,576.4100,1361.530,718.5199,784.0000,544.3600,620.4999,244.5000
1,31003,234,478993.6,6196791.0,33.6,31.3,0.0,0.000000,2529.820,189.2300,2024.640,297.8800,1907.340,556.2599,1383.570,716.1200,793.7700,553.4800,627.1400,237.2500
1,31003,244,478995.1,6196826.0,33.7,31.5,0.0,0.000000,2487.490,160.7600,1991.680,284.1200,1881.920,533.5000,1381.950,702.6500,792.0000,551.8100,625.3900,231.3200
1,31003,254,478996.1,6196861.0,33.7,31.9,0.0,0.000000,2454.340,148.3900,1966.110,279.8100,1855.930,520.8500,1372.840,691.9099,785.8499,547.8400,621.1900,225.4800
