  Local_Location , East , North , Elevation , Conductivity(mS/m) , LogConductivity(mS/m)
       12.5 ,    478997.8 ,   6196019.5 ,        21.5 ,               8.0128 ,               0.9038
       37.5 ,    478997.8 ,   6196044.5 ,        21.8 ,               8.3799 ,               0.9232
       62.5 ,    478997.8 ,   6196069.5 ,        22.0 ,               8.3799 ,               0.9232
       87.5 ,    478997.8 ,   6196094.5 ,        21.8 ,               9.3023 ,               0.9686
      112.5 ,    478997.8 ,   6196119.5 ,        21.5 ,               9.3023 ,               0.9686
      137.5 ,    478997.8 ,   6196144.5 ,        20.9 ,               9.3023 ,               0.9686
      162.5 ,    478997.8 ,   6196169.5 ,        20.3 ,              13.7741 ,               1.1391
      187.5 ,    478997.8 ,   6196194.5 ,        19.8 ,              12.4654 ,               1.0957
      212.5 ,    478997.8 ,   6196219.5 ,        19.4 ,              13.8313 ,               1.1409
      237.5 ,    478997.8 ,   6196244.5 ,        19.2 ,              11.1421 ,               1.0470
      262.5 ,    478997.8 ,   6196269.5 ,        19.2 ,               9.3284 ,               0.9698
      287.5 ,    478997.8 ,   6196294.5 ,        19.6 ,               9.3284 ,               0.9698
      312.5 ,    478997.8 ,   6196319.5 ,        20.0 ,               7.0373 ,               0.8474
      337.5 ,    478997.8 ,   6196344.5 ,        20.5 ,               7.0373 ,               0.8474
      362.5 ,    478997.8 ,   6196369.5 ,        21.0 ,               6.3380 ,               0.8020
      387.5 ,    478997.8 ,   6196394.5 ,        21.4 ,               5.6497 ,               0.7520
      412.5 ,    478997.8 ,   6196419.5 ,        21.7 ,               7.0225 ,               0.8465
      437.5 ,    478997.8 ,   6196444.5 ,        22.0 ,               6.3380 ,               0.8020
      462.5 ,    478997.8 ,   6196469.5 ,        22.3 ,               7.0225 ,               0.8465
      487.5 ,    478997.8 ,   6196494.5 ,        22.6 ,               9.2678 ,               0.9670
      512.5 ,    478997.8 ,   6196519.5 ,        23.1 ,               9.2593 ,               0.9666
      537.5 ,    478997.8 ,   6196544.5 ,        23.5 ,               9.2593 ,               0.9666
      562.5 ,    478997.8 ,   6196569.5 ,        24.0 ,              12.3119 ,               1.0903
      587.5 ,    478997.8 ,   6196594.5 ,        24.4 ,               9.2507 ,               0.9662
      612.5 ,    478997.8 ,   6196619.5 ,        24.9 ,              13.5870 ,               1.1331
      637.5 ,    478997.8 ,   6196644.5 ,        25.4 ,               9.2421 ,               0.9658
      662.5 ,    478997.8 ,   6196669.5 ,        26.0 ,              13.5685 ,               1.1325
      687.5 ,    478997.8 ,   6196694.5 ,        26.5 ,               9.2336 ,               0.9654
      712.5 ,    478997.8 ,   6196719.5 ,        26.9 ,               9.2251 ,               0.9650
      737.5 ,    478997.8 ,   6196744.5 ,        27.3 ,               9.2251 ,               0.9650
      762.5 ,    478997.8 ,   6196769.5 ,        27.7 ,               9.2336 ,               0.9654
      787.5 ,    478997.8 ,   6196794.5 ,        27.9 ,               9.2336 ,               0.9654
      812.5 ,    478997.8 ,   6196819.5 ,        28.0 ,               8.3411 ,               0.9212
      837.5 ,    478997.8 ,   6196844.5 ,        28.0 ,               9.2251 ,               0.9650
      862.5 ,    478997.8 ,   6196869.5 ,        28.1 ,               9.2251 ,               0.9650
      887.5 ,    478997.8 ,   6196894.5 ,        28.3 ,               9.2251 ,               0.9650
      912.5 ,    478997.8 ,   6196919.5 ,        28.5 ,               9.2336 ,               0.9654
      937.5 ,    478997.8 ,   6196944.5 ,        28.8 ,               9.2336 ,               0.9654
      962.5 ,    478997.8 ,   6196969.5 ,        29.1 ,               6.9979 ,               0.8450
      987.5 ,    478997.8 ,   6196994.5 ,        29.5 ,               6.9979 ,               0.8450
     1012.5 ,    478997.8 ,   6197019.5 ,        29.9 ,               6.9979 ,               0.8450
     1037.5 ,    478997.8 ,   6197044.5 ,        30.4 ,               6.9930 ,               0.8447
     1062.5 ,    478997.8 ,   6197069.5 ,        30.7 ,               6.9930 ,               0.8447
     1087.5 ,    478997.8 ,   6197094.5 ,        30.9 ,               6.9930 ,               0.8447
     1112.5 ,    478997.8 ,   6197119.5 ,        30.8 ,               6.9930 ,               0.8447
     1137.5 ,    478997.8 ,   6197144.5 ,        30.6 ,               6.9930 ,               0.8447
     1162.5 ,    478997.8 ,   6197169.5 ,        30.3 ,               6.9930 ,               0.8447
     1187.5 ,    478997.8 ,   6197194.5 ,        30.1 ,               9.2166 ,               0.9646
     1212.5 ,    478997.8 ,   6197219.5 ,        30.1 ,               9.2166 ,               0.9646
     1237.5 ,    478997.8 ,   6197244.5 ,        30.2 ,               9.2166 ,               0.9646
     1262.5 ,    478997.8 ,   6197269.5 ,        30.5 ,               9.2166 ,               0.9646
     1287.5 ,    478997.8 ,   6197294.5 ,        30.8 ,               9.2166 ,               0.9646
     1312.5 ,    478997.8 ,   6197319.5 ,        31.0 ,               9.2166 ,               0.9646
     1337.5 ,    478997.8 ,   6197344.5 ,        31.1 ,               6.9930 ,               0.8447
     1362.5 ,    478997.8 ,   6197369.5 ,        31.1 ,               6.6550 ,               0.8231
     1387.5 ,    478997.8 ,   6197394.5 ,        30.8 ,               6.9930 ,               0.8447
     1412.5 ,    478997.8 ,   6197419.5 ,        30.4 ,               6.9930 ,               0.8447
     1437.5 ,    478997.8 ,   6197444.5 ,        29.9 ,               6.9930 ,               0.8447
     1462.5 ,    478997.8 ,   6197469.5 ,        29.3 ,               6.9930 ,               0.8447
     1487.5 ,    478997.8 ,   6197494.5 ,        28.8 ,               9.2251 ,               0.9650
     1512.5 ,    478997.8 ,   6197519.5 ,        28.2 ,               6.9979 ,               0.8450
     1537.5 ,    478997.8 ,   6197544.5 ,        27.6 ,               9.2421 ,               0.9658
     1562.5 ,    478997.8 ,   6197569.5 ,        27.1 ,               7.0077 ,               0.8456
     1587.5 ,    478997.8 ,   6197594.5 ,        26.5 ,               7.0151 ,               0.8460
     1612.5 ,    478997.8 ,   6197619.5 ,        25.9 ,               7.0225 ,               0.8465
     1637.5 ,    478997.8 ,   6197644.5 ,        25.2 ,               5.6497 ,               0.7520
     1662.5 ,    478997.8 ,   6197669.5 ,        24.4 ,               5.6497 ,               0.7520
     1687.5 ,    478997.8 ,   6197694.5 ,        23.6 ,               7.0225 ,               0.8465
     1712.5 ,    478997.8 ,   6197719.5 ,        22.8 ,               6.3380 ,               0.8020
     1737.5 ,    478997.8 ,   6197744.5 ,        21.9 ,               7.0225 ,               0.8465
     1762.5 ,    478997.8 ,   6197769.5 ,        21.1 ,               7.0373 ,               0.8474
     1787.5 ,    478997.8 ,   6197794.5 ,        20.3 ,               9.3284 ,               0.9698
     1812.5 ,    478997.8 ,   6197819.5 ,        19.5 ,               8.8910 ,               0.9489
     1837.5 ,    478997.8 ,   6197844.5 ,        18.8 ,               9.3809 ,               0.9722
     1862.5 ,    478997.8 ,   6197869.5 ,        18.3 ,               9.3809 ,               0.9722
     1887.5 ,    478997.8 ,   6197894.5 ,        18.0 ,               9.3809 ,               0.9722
     1912.5 ,    478997.8 ,   6197919.5 ,        18.0 ,               9.3809 ,               0.9722
     1937.5 ,    478997.8 ,   6197944.5 ,        18.4 ,               9.3809 ,               0.9722
     1962.5 ,    478997.8 ,   6197969.5 ,        19.2 ,               7.0671 ,               0.8492
     1987.5 ,    478997.8 ,   6197994.5 ,        20.2 ,               8.4270 ,               0.9257
     2012.5 ,    478997.8 ,   6198019.5 ,        21.3 ,               6.3514 ,               0.8029
     2037.5 ,    478997.8 ,   6198044.5 ,        22.2 ,               6.2676 ,               0.7971
     2062.5 ,    478997.8 ,   6198069.5 ,        23.0 ,               5.6497 ,               0.7520
     2087.5 ,    478997.8 ,   6198094.5 ,        23.7 ,               5.6497 ,               0.7520
     2112.5 ,    478997.7 ,   6198119.5 ,        24.2 ,               5.6497 ,               0.7520
     2137.5 ,    478997.7 ,   6198144.5 ,        24.7 ,               7.0225 ,               0.8465
     2162.5 ,    478997.7 ,   6198169.5 ,        25.1 ,               5.6497 ,               0.7520
     2187.5 ,    478997.7 ,   6198194.5 ,        25.5 ,               7.0225 ,               0.8465
     2212.5 ,    478997.7 ,   6198219.5 ,        25.8 ,               9.2764 ,               0.9674
     2237.5 ,    478997.7 ,   6198244.5 ,        25.9 ,               9.2764 ,               0.9674
     2262.5 ,    478997.7 ,   6198269.5 ,        26.0 ,               9.2764 ,               0.9674
     2287.5 ,    478997.7 ,   6198294.5 ,        26.0 ,              13.6612 ,               1.1355
     2312.5 ,    478997.7 ,   6198319.5 ,        26.0 ,              13.6612 ,               1.1355
     2337.5 ,    478997.7 ,   6198344.5 ,        26.0 ,              23.5602 ,               1.3722
     2362.5 ,    478997.7 ,   6198369.5 ,        26.0 ,              23.5602 ,               1.3722
     2387.5 ,    478997.7 ,   6198394.5 ,        26.0 ,              23.5602 ,               1.3722
     2412.5 ,    478997.7 ,   6198419.5 ,        26.0 ,              13.6612 ,               1.1355
     2437.5 ,    478997.7 ,   6198444.5 ,        26.1 ,              13.6612 ,               1.1355
     2462.5 ,    478997.7 ,   6198469.5 ,        26.3 ,              13.6612 ,               1.1355
     2487.5 ,    478997.7 ,   6198494.5 ,        26.4 ,              13.6612 ,               1.1355
     2512.5 ,    478997.7 ,   6198519.5 ,        26.5 ,              13.6612 ,               1.1355
     2537.5 ,    478997.7 ,   6198544.5 ,        26.3 ,              13.6612 ,               1.1355
     2562.5 ,    478997.7 ,   6198569.5 ,        26.1 ,              13.6612 ,               1.1355
     2587.5 ,    478997.7 ,   6198594.5 ,        26.0 ,              13.6612 ,               1.1355
     2612.5 ,    478997.7 ,   6198619.5 ,        26.1 ,              13.6612 ,               1.1355
     2637.5 ,    478997.7 ,   6198644.5 ,        26.4 ,              13.6612 ,               1.1355
     2662.5 ,    478997.7 ,   6198669.5 ,        27.0 ,              13.6612 ,               1.1355
     2687.5 ,    478997.7 ,   6198694.5 ,        27.7 ,               9.2764 ,               0.9674
     2712.5 ,    478997.7 ,   6198719.5 ,        28.6 ,               5.3733 ,               0.7302
     2737.5 ,    478997.7 ,   6198744.5 ,        29.5 ,               4.7259 ,               0.6745
     2762.5 ,    478997.7 ,   6198769.5 ,        30.2 ,               4.0617 ,               0.6087
     2787.5 ,    478997.7 ,   6198794.5 ,        30.6 ,               4.0617 ,               0.6087
     2812.5 ,    478997.7 ,   6198819.5 ,        30.6 ,               4.0617 ,               0.6087
     2837.5 ,    478997.7 ,   6198844.5 ,        30.2 ,               4.0617 ,               0.6087
     2862.5 ,    478997.7 ,   6198869.5 ,        29.5 ,               4.7259 ,               0.6745
     2887.5 ,    478997.7 ,   6198894.5 ,        28.7 ,               5.0963 ,               0.7073
     2912.5 ,    478997.7 ,   6198919.5 ,        27.9 ,               6.2617 ,               0.7967
     2937.5 ,    478997.7 ,   6198944.5 ,        27.3 ,               7.0225 ,               0.8465
     2962.5 ,    478997.7 ,   6198969.5 ,        27.0 ,               8.3799 ,               0.9232
     2987.5 ,    478997.7 ,   6198994.5 ,        26.9 ,               9.2764 ,               0.9674
     3012.5 ,    478997.7 ,   6199019.5 ,        27.0 ,               8.3799 ,               0.9232
     3037.5 ,    478997.7 ,   6199044.5 ,        27.1 ,               7.0225 ,               0.8465
     3062.5 ,    478997.7 ,   6199069.5 ,        27.4 ,               7.0225 ,               0.8465
     3087.5 ,    478997.7 ,   6199094.5 ,        27.7 ,               7.0225 ,               0.8465
