Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,0,1,478997.8,6196041.0,26.8,34.4,0.0,0.0,1224.582,271.1973,1121.930,177.9432,976.3840,220.8663,751.4157,289.5273,434.9595,349.1337,287.1767,68.66817
1,0,2,478997.8,6196066.0,27.0,34.4,0.0,0.0,1286.970,283.8855,1178.253,185.4336,1030.386,227.0795,799.4039,308.2478,454.1748,366.5375,317.1411,86.28437
1,0,3,478997.8,6196091.0,26.9,34.4,0.0,0.0,1304.594,289.5808,1190.728,188.1950,1042.379,227.7220,813.9116,316.3980,444.3207,378.4401,340.0691,93.43797
1,0,4,478997.8,6196116.0,26.6,34.4,0.0,0.0,1317.289,299.7941,1197.760,192.5931,1048.272,229.1841,818.7568,323.9288,434.9155,386.5310,356.6405,97.86129
1,0,5,478997.8,6196141.0,26.0,34.4,0.0,0.0,1341.126,319.8572,1209.591,200.5664,1057.960,232.2868,825.2523,334.8906,426.6261,392.5569,366.7791,100.4717
1,0,6,478997.8,6196166.0,25.4,34.4,0.0,0.0,1366.679,346.3412,1219.631,209.8933,1066.199,235.3834,831.2717,344.9366,418.2984,397.0630,372.1773,103.0314
1,0,7,478997.8,6196191.0,24.9,34.4,0.0,0.0,1384.444,367.0369,1225.537,217.1980,1070.829,237.4435,834.2555,351.9510,411.3150,399.7772,373.5277,103.5983
1,0,8,478997.8,6196216.0,24.4,34.4,0.0,0.0,1383.480,363.3536,1226.964,215.8763,1073.132,236.7507,835.7448,356.0081,406.7672,401.3095,372.6660,102.9795
1,0,9,478997.8,6196241.0,24.2,34.4,0.0,0.0,1369.461,343.4934,1225.443,208.8725,1073.689,234.4315,836.3314,357.0947,404.7780,402.2737,369.6756,100.9585
1,0,10,478997.8,6196266.0,24.2,34.4,0.0,0.0,1345.827,314.5906,1218.772,198.6490,1069.772,230.7574,834.1967,354.9659,403.5993,401.8190,364.3447,97.84639
1,0,11,478997.8,6196291.0,24.5,34.4,0.0,0.0,1318.597,286.5218,1207.036,188.1827,1061.247,226.4722,828.6672,350.0720,402.5097,399.9532,359.8858,96.08979
1,0,12,478997.8,6196316.0,25.0,34.4,0.0,0.0,1296.405,262.4019,1196.158,179.9504,1052.363,223.2688,822.5741,344.3756,401.7155,398.4753,356.8200,94.55895
1,0,13,478997.8,6196341.0,25.5,34.4,0.0,0.0,1280.498,242.8089,1188.802,173.5554,1046.257,221.4681,818.1452,341.1470,398.7935,397.8131,355.8059,94.01633
1,0,14,478997.8,6196366.0,25.9,34.4,0.0,0.0,1272.960,231.9530,1184.864,171.1858,1041.726,222.8599,810.0344,343.5320,389.7749,394.4377,355.8682,94.05036
1,0,15,478997.8,6196391.0,26.3,34.4,0.0,0.0,1270.843,231.3461,1179.719,174.6116,1031.518,229.3217,791.0098,345.4271,376.5575,385.8899,355.5332,95.13563
1,0,16,478997.8,6196416.0,26.6,34.4,0.0,0.0,1271.586,239.0920,1172.767,182.9548,1014.950,238.5134,765.8224,344.7101,361.8288,374.6996,347.2729,99.48318
1,0,17,478997.8,6196441.0,26.9,34.4,0.0,0.0,1280.182,254.3732,1168.982,195.0834,999.3591,249.3665,741.7146,346.0168,344.9895,363.8989,333.6778,103.8464
