Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
0,12.5,21.5,478997.81,6196019.50,124.80,2.10,8.01,0.90
0,12.5,11.5,478997.81,6196019.50,1.00,0.00,1000.00,3.00
0,12.5,1.5,478997.81,6196019.50,1.32,0.12,759.88,2.88
0,12.5,-8.5,478997.81,6196019.50,7.00,0.85,142.86,2.15
0,12.5,-18.5,478997.81,6196019.50,7.00,0.85,142.86,2.15
0,12.5,-31.0,478997.81,6196019.50,18.17,1.26,55.03,1.74
0,12.5,-48.5,478997.81,6196019.50,25.00,1.40,40.00,1.60
0,12.5,-70.1,478997.81,6196019.50,25.00,1.40,40.00,1.60
0,12.5,-94.1,478997.81,6196019.50,25.00,1.40,40.00,1.60
0,37.5,21.8,478997.81,6196044.50,119.33,2.08,8.38,0.92
0,37.5,11.8,478997.81,6196044.50,1.00,0.00,1000.00,3.00
0,37.5,1.8,478997.81,6196044.50,1.00,0.00,1000.00,3.00
0,37.5,-8.2,478997.81,6196044.50,7.00,0.85,142.86,2.15
0,37.5,-18.2,478997.81,6196044.50,7.00,0.85,142.86,2.15
0,37.5,-30.7,478997.81,6196044.50,17.80,1.25,56.18,1.75
0,37.5,-48.2,478997.81,6196044.50,25.00,1.40,40.00,1.60
0,37.5,-69.9,478997.81,6196044.50,25.00,1.40,40.00,1.60
0,37.5,-94.0,478997.81,6196044.50,25.00,1.40,40.00,1.60
0,62.5,22.0,478997.81,6196069.50,119.33,2.08,8.38,0.92
0,62.5,12.0,478997.81,6196069.50,1.00,0.00,1000.00,3.00
0,62.5,2.0,478997.81,6196069.50,1.00,0.00,1000.00,3.00
0,62.5,-8.0,478997.81,6196069.50,7.00,0.85,142.86,2.15
0,62.5,-18.0,478997.81,6196069.50,7.00,0.85,142.86,2.15
0,62.5,-30.5,478997.81,6196069.50,17.80,1.25,56.18,1.75
0,62.5,-48.0,478997.81,6196069.50,25.00,1.40,40.00,1.60
0,62.5,-69.8,478997.81,6196069.50,25.00,1.40,40.00,1.60
0,62.5,-94.0,478997.81,6196069.50,25.00,1.40,40.00,1.60
0,87.5,21.8,478997.81,6196094.50,107.50,2.03,9.30,0.97
0,87.5,11.8,478997.81,6196094.50,1.00,0.00,1000.00,3.00
0,87.5,1.8,478997.81,6196094.50,1.00,0.00,1000.00,3.00
0,87.5,-8.2,478997.81,6196094.50,7.00,0.85,142.86,2.15
0,87.5,-18.2,478997.81,6196094.50,7.00,0.85,142.86,2.15
0,87.5,-30.7,478997.81,6196094.50,17.80,1.25,56.18,1.75
0,87.5,-48.2,478997.81,6196094.50,25.00,1.40,40.00,1.60
0,87.5,-69.9,478997.81,6196094.50,25.00,1.40,40.00,1.60
0,87.5,-94.0,478997.81,6196094.50,25.00,1.40,40.00,1.60
0,112.5,21.5,478997.81,6196119.50,107.50,2.03,9.30,0.97
0,112.5,11.5,478997.81,6196119.50,1.00,0.00,1000.00,3.00
0,112.5,1.5,478997.81,6196119.50,1.60,0.20,625.00,2.80
0,112.5,-8.5,478997.81,6196119.50,7.00,0.85,142.86,2.15
0,112.5,-18.5,478997.81,6196119.50,7.00,0.85,142.86,2.15
0,112.5,-31.0,478997.81,6196119.50,19.00,1.28,52.63,1.72
0,112.5,-48.5,478997.81,6196119.50,25.00,1.40,40.00,1.60
0,112.5,-70.2,478997.81,6196119.50,25.00,1.40,40.00,1.60
0,112.5,-94.1,478997.81,6196119.50,25.00,1.40,40.00,1.60
0,137.5,20.9,478997.81,6196144.50,107.50,2.03,9.30,0.97
0,137.5,10.9,478997.81,6196144.50,1.00,0.00,1000.00,3.00
0,137.5,0.9,478997.81,6196144.50,1.60,0.20,625.00,2.80
0,137.5,-9.1,478997.81,6196144.50,7.00,0.85,142.86,2.15
0,137.5,-19.1,478997.81,6196144.50,7.00,0.85,142.86,2.15
0,137.5,-31.6,478997.81,6196144.50,20.20,1.31,49.50,1.69
0,137.5,-49.1,478997.81,6196144.50,25.00,1.40,40.00,1.60
