Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
31003,50.0,25.6,478996.81,6196058.00,15.74,1.20,63.55,1.80
31003,50.0,22.6,478996.81,6196058.00,13.59,1.13,73.56,1.87
31003,50.0,19.6,478996.81,6196058.00,11.14,1.05,89.80,1.95
31003,50.0,16.6,478996.81,6196058.00,9.57,0.98,104.46,2.02
31003,50.0,13.6,478996.81,6196058.00,9.21,0.96,108.62,2.04
31003,50.0,10.6,478996.81,6196058.00,9.90,1.00,101.00,2.00
31003,50.0,7.6,478996.81,6196058.00,11.42,1.06,87.57,1.94
31003,50.0,4.6,478996.81,6196058.00,13.49,1.13,74.11,1.87
31003,50.0,1.6,478996.81,6196058.00,15.84,1.20,63.14,1.80
31003,50.0,-1.4,478996.81,6196058.00,18.19,1.26,54.99,1.74
31003,50.0,-4.4,478996.81,6196058.00,20.35,1.31,49.15,1.69
31003,50.0,-7.4,478996.81,6196058.00,22.21,1.35,45.02,1.65
31003,50.0,-10.4,478996.81,6196058.00,23.75,1.38,42.11,1.62
31003,50.0,-13.4,478996.81,6196058.00,24.98,1.40,40.04,1.60
31003,50.0,-16.4,478996.81,6196058.00,25.94,1.41,38.55,1.59
31003,50.0,-19.4,478996.81,6196058.00,26.69,1.43,37.47,1.57
31003,50.0,-22.4,478996.81,6196058.00,27.27,1.44,36.67,1.56
31003,50.0,-25.4,478996.81,6196058.00,27.72,1.44,36.07,1.56
31003,50.0,-28.4,478996.81,6196058.00,28.07,1.45,35.62,1.55
31003,50.0,-31.4,478996.81,6196058.00,28.35,1.45,35.27,1.55
31003,50.0,-34.6,478996.81,6196058.00,28.61,1.46,34.96,1.54
31003,50.0,-38.1,478996.81,6196058.00,28.81,1.46,34.71,1.54
31003,50.0,-41.6,478996.81,6196058.00,28.97,1.46,34.52,1.54
31003,50.0,-45.0,478996.81,6196058.00,29.09,1.46,34.38,1.54
31003,50.0,-48.5,478996.81,6196058.00,29.19,1.47,34.25,1.53
31003,50.0,-52.0,478996.81,6196058.00,29.28,1.47,34.15,1.53
31003,50.0,-55.5,478996.81,6196058.00,29.35,1.47,34.07,1.53
31003,50.0,-58.9,478996.81,6196058.00,29.41,1.47,34.00,1.53
31003,50.0,-62.4,478996.81,6196058.00,29.46,1.47,33.95,1.53
31003,50.0,-65.9,478996.81,6196058.00,29.48,1.47,33.92,1.53
31003,150.0,24.6,478996.81,6196158.00,15.54,1.19,64.35,1.81
31003,150.0,21.6,478996.81,6196158.00,11.80,1.07,84.76,1.93
31003,150.0,18.6,478996.81,6196158.00,8.30,0.92,120.45,2.08
31003,150.0,15.6,478996.81,6196158.00,6.45,0.81,155.10,2.19
31003,150.0,12.6,478996.81,6196158.00,6.14,0.79,162.90,2.21
31003,150.0,9.6,478996.81,6196158.00,7.01,0.85,142.69,2.15
31003,150.0,6.6,478996.81,6196158.00,8.76,0.94,114.10,2.06
31003,150.0,3.6,478996.81,6196158.00,11.13,1.05,89.82,1.95
31003,150.0,0.6,478996.81,6196158.00,13.81,1.14,72.44,1.86
31003,150.0,-2.4,478996.81,6196158.00,16.48,1.22,60.69,1.78
31003,150.0,-5.4,478996.81,6196158.00,18.93,1.28,52.83,1.72
31003,150.0,-8.4,478996.81,6196158.00,21.04,1.32,47.54,1.68
31003,150.0,-11.4,478996.81,6196158.00,22.77,1.36,43.91,1.64
31003,150.0,-14.4,478996.81,6196158.00,24.16,1.38,41.39,1.62
31003,150.0,-17.4,478996.81,6196158.00,25.25,1.40,39.60,1.60
31003,150.0,-20.4,478996.81,6196158.00,26.10,1.42,38.32,1.58
31003,150.0,-23.4,478996.81,6196158.00,26.76,1.43,37.37,1.57
31003,150.0,-26.4,478996.81,6196158.00,27.28,1.44,36.66,1.56
31003,150.0,-29.4,478996.81,6196158.00,27.68,1.44,36.12,1.56
31003,150.0,-32.4,478996.81,6196158.00,28.01,1.45,35.70,1.55
31003,150.0,-35.6,478996.81,6196158.00,28.31,1.45,35.33,1.55
31003,150.0,-39.0,478996.81,6196158.00,28.54,1.46,35.04,1.54
31003,150.0,-42.3,478996.81,6196158.00,28.73,1.46,34.81,1.54
31003,150.0,-45.7,478996.81,6196158.00,28.88,1.46,34.63,1.54
31003,150.0,-49.1,478996.81,6196158.00,29.00,1.46,34.48,1.54
31003,150.0,-52.4,478996.81,6196158.00,29.11,1.46,34.36,1.54
31003,150.0,-55.8,478996.81,6196158.00,29.20,1.47,34.25,1.53
31003,150.0,-59.2,478996.81,6196158.00,29.27,1.47,34.17,1.53
31003,150.0,-62.6,478996.81,6196158.00,29.33,1.47,34.10,1.53
31003,150.0,-65.9,478996.81,6196158.00,29.36,1.47,34.05,1.53
31003,250.0,23.8,478996.81,6196258.00,16.90,1.23,59.17,1.77
31003,250.0,20.8,478996.81,6196258.00,9.06,0.96,110.34,2.04
31003,250.0,17.8,478996.81,6196258.00,4.34,0.64,230.64,2.36
31003,250.0,14.8,478996.81,6196258.00,2.59,0.41,385.64,2.59
31003,250.0,11.8,478996.81,6196258.00,2.45,0.39,408.08,2.61
31003,250.0,8.8,478996.81,6196258.00,3.31,0.52,302.16,2.48
31003,250.0,5.8,478996.81,6196258.00,5.05,0.70,198.12,2.30
31003,250.0,2.8,478996.81,6196258.00,7.54,0.88,132.65,2.12
31003,250.0,-0.2,478996.81,6196258.00,10.49,1.02,95.31,1.98
31003,250.0,-3.2,478996.81,6196258.00,13.54,1.13,73.83,1.87
31003,250.0,-6.2,478996.81,6196258.00,16.40,1.21,60.98,1.79
31003,250.0,-9.2,478996.81,6196258.00,18.88,1.28,52.96,1.72
31003,250.0,-12.2,478996.81,6196258.00,20.95,1.32,47.74,1.68
31003,250.0,-15.2,478996.81,6196258.00,22.61,1.35,44.23,1.65
31003,250.0,-18.2,478996.81,6196258.00,23.92,1.38,41.81,1.62
31003,250.0,-21.2,478996.81,6196258.00,24.95,1.40,40.07,1.60
31003,250.0,-24.2,478996.81,6196258.00,25.76,1.41,38.81,1.59
31003,250.0,-27.2,478996.81,6196258.00,26.41,1.42,37.87,1.58
31003,250.0,-30.2,478996.81,6196258.00,26.92,1.43,37.15,1.57
31003,250.0,-33.2,478996.81,6196258.00,27.33,1.44,36.59,1.56
31003,250.0,-36.3,478996.81,6196258.00,27.71,1.44,36.09,1.56
31003,250.0,-39.6,478996.81,6196258.00,28.01,1.45,35.70,1.55
31003,250.0,-42.9,478996.81,6196258.00,28.26,1.45,35.39,1.55
31003,250.0,-46.2,478996.81,6196258.00,28.46,1.45,35.14,1.55
31003,250.0,-49.5,478996.81,6196258.00,28.63,1.46,34.93,1.54
31003,250.0,-52.8,478996.81,6196258.00,28.77,1.46,34.76,1.54
31003,250.0,-56.1,478996.81,6196258.00,28.89,1.46,34.62,1.54
31003,250.0,-59.4,478996.81,6196258.00,28.99,1.46,34.49,1.54
31003,250.0,-62.7,478996.81,6196258.00,29.08,1.46,34.39,1.54
31003,250.0,-66.0,478996.81,6196258.00,29.14,1.46,34.31,1.54
31003,350.0,24.7,478996.81,6196358.00,16.59,1.22,60.26,1.78
31003,350.0,21.7,478996.81,6196358.00,7.16,0.85,139.76,2.15
31003,350.0,18.7,478996.81,6196358.00,2.52,0.40,397.40,2.60
31003,350.0,15.7,478996.81,6196358.00,1.09,0.04,921.55,2.96
31003,350.0,12.7,478996.81,6196358.00,0.97,-0.01,1034.79,3.01
31003,350.0,9.7,478996.81,6196358.00,1.55,0.19,644.72,2.81
31003,350.0,6.7,478996.81,6196358.00,2.90,0.46,344.55,2.54
31003,350.0,3.7,478996.81,6196358.00,5.10,0.71,196.25,2.29
31003,350.0,0.7,478996.81,6196358.00,7.95,0.90,125.80,2.10
31003,350.0,-2.3,478996.81,6196358.00,11.10,1.05,90.11,1.95
31003,350.0,-5.3,478996.81,6196358.00,14.17,1.15,70.55,1.85
31003,350.0,-8.3,478996.81,6196358.00,16.94,1.23,59.04,1.77
31003,350.0,-11.3,478996.81,6196358.00,19.28,1.29,51.86,1.71
31003,350.0,-14.3,478996.81,6196358.00,21.20,1.33,47.16,1.67
31003,350.0,-17.3,478996.81,6196358.00,22.74,1.36,43.97,1.64
31003,350.0,-20.3,478996.81,6196358.00,23.96,1.38,41.73,1.62
31003,350.0,-23.3,478996.81,6196358.00,24.94,1.40,40.10,1.60
31003,350.0,-26.3,478996.81,6196358.00,25.71,1.41,38.90,1.59
31003,350.0,-29.3,478996.81,6196358.00,26.33,1.42,37.98,1.58
31003,350.0,-32.3,478996.81,6196358.00,26.84,1.43,37.26,1.57
31003,350.0,-35.5,478996.81,6196358.00,27.31,1.44,36.62,1.56
31003,350.0,-38.9,478996.81,6196358.00,27.69,1.44,36.11,1.56
31003,350.0,-42.2,478996.81,6196358.00,28.00,1.45,35.71,1.55
31003,350.0,-45.6,478996.81,6196358.00,28.26,1.45,35.39,1.55
31003,350.0,-49.0,478996.81,6196358.00,28.47,1.45,35.12,1.55
31003,350.0,-52.4,478996.81,6196358.00,28.65,1.46,34.90,1.54
31003,350.0,-55.8,478996.81,6196358.00,28.80,1.46,34.72,1.54
31003,350.0,-59.2,478996.81,6196358.00,28.94,1.46,34.56,1.54
31003,350.0,-62.6,478996.81,6196358.00,29.05,1.46,34.42,1.54
31003,350.0,-65.9,478996.81,6196358.00,29.14,1.46,34.32,1.54
31003,450.0,26.1,478996.81,6196458.00,8.12,0.91,123.20,2.09
31003,450.0,23.1,478996.81,6196458.00,5.41,0.73,185.01,2.27
31003,450.0,20.1,478996.81,6196458.00,2.67,0.43,374.18,2.57
31003,450.0,17.1,478996.81,6196458.00,1.14,0.06,875.03,2.94
31003,450.0,14.1,478996.81,6196458.00,0.87,-0.06,1153.04,3.06
31003,450.0,11.1,478996.81,6196458.00,1.26,0.10,795.89,2.90
31003,450.0,8.1,478996.81,6196458.00,2.30,0.36,434.17,2.64
31003,450.0,5.1,478996.81,6196458.00,4.14,0.62,241.61,2.38
31003,450.0,2.1,478996.81,6196458.00,6.71,0.83,149.13,2.17
31003,450.0,-0.9,478996.81,6196458.00,9.72,0.99,102.83,2.01
31003,450.0,-3.9,478996.81,6196458.00,12.84,1.11,77.88,1.89
31003,450.0,-6.9,478996.81,6196458.00,15.77,1.20,63.43,1.80
31003,450.0,-9.9,478996.81,6196458.00,18.33,1.26,54.54,1.74
31003,450.0,-12.9,478996.81,6196458.00,20.49,1.31,48.80,1.69
31003,450.0,-15.9,478996.81,6196458.00,22.26,1.35,44.93,1.65
31003,450.0,-18.9,478996.81,6196458.00,23.68,1.37,42.23,1.63
31003,450.0,-21.9,478996.81,6196458.00,24.82,1.39,40.29,1.61
31003,450.0,-24.9,478996.81,6196458.00,25.73,1.41,38.87,1.59
31003,450.0,-27.9,478996.81,6196458.00,26.46,1.42,37.79,1.58
31003,450.0,-30.9,478996.81,6196458.00,27.06,1.43,36.95,1.57
31003,450.0,-34.2,478996.81,6196458.00,27.64,1.44,36.17,1.56
31003,450.0,-37.7,478996.81,6196458.00,28.11,1.45,35.58,1.55
31003,450.0,-41.2,478996.81,6196458.00,28.48,1.45,35.12,1.55
31003,450.0,-44.7,478996.81,6196458.00,28.77,1.46,34.76,1.54
31003,450.0,-48.2,478996.81,6196458.00,29.01,1.46,34.47,1.54
31003,450.0,-51.8,478996.81,6196458.00,29.21,1.47,34.23,1.53
31003,450.0,-55.3,478996.81,6196458.00,29.38,1.47,34.04,1.53
31003,450.0,-58.8,478996.81,6196458.00,29.51,1.47,33.88,1.53
31003,450.0,-62.3,478996.81,6196458.00,29.62,1.47,33.76,1.53
31003,450.0,-65.9,478996.81,6196458.00,29.70,1.47,33.67,1.53
31003,550.0,27.8,478996.81,6196558.00,2.69,0.43,371.08,2.57
31003,550.0,24.8,478996.81,6196558.00,3.59,0.56,278.37,2.44
31003,550.0,21.8,478996.81,6196558.00,3.08,0.49,325.17,2.51
31003,550.0,18.8,478996.81,6196558.00,1.77,0.25,565.04,2.75
31003,550.0,15.8,478996.81,6196558.00,1.29,0.11,776.15,2.89
