 East  ,  Channel ,   Error 	 
  478994.2,       0.0,        -0.0775
  478994.2,     -40.0,        -0.1694
  478994.2,     -80.0,        -0.0667
  478994.2,    -120.0,         0.0032
  478994.2,    -160.0,         0.1971
  478994.2,    -200.0,         0.1560
  478994.2,    -240.0,        -0.1348
  478994.2,    -280.0,        -0.2102
  478994.2,    -320.0,        -0.0866
  478994.2,    -360.0,        -0.1165
  478994.2,    -400.0,        -0.3130
  478994.2,    -440.0,         0.0621
  478993.1,       0.0,        -0.0611
  478993.1,     -40.0,        -0.1824
  478993.1,     -80.0,        -0.0878
  478993.1,    -120.0,        -0.0321
  478993.1,    -160.0,         0.0714
  478993.1,    -200.0,         0.1092
  478993.1,    -240.0,        -0.1124
  478993.1,    -280.0,        -0.1540
  478993.1,    -320.0,        -0.0514
  478993.1,    -360.0,        -0.0352
  478993.1,    -400.0,        -0.3101
  478993.1,    -440.0,         0.0956
  478993.2,       0.0,         0.0067
  478993.2,     -40.0,        -0.1506
  478993.2,     -80.0,        -0.0767
  478993.2,    -120.0,        -0.0244
  478993.2,    -160.0,         0.0082
  478993.2,    -200.0,         0.0823
  478993.2,    -240.0,        -0.1149
  478993.2,    -280.0,        -0.0198
  478993.2,    -320.0,         0.0181
  478993.2,    -360.0,         0.0590
  478993.2,    -400.0,        -0.2536
  478993.2,    -440.0,         0.1537
  478994.3,       0.0,         0.0659
  478994.3,     -40.0,        -0.1094
  478994.3,     -80.0,        -0.0448
  478994.3,    -120.0,         0.0099
  478994.3,    -160.0,        -0.0023
  478994.3,    -200.0,         0.0641
  478994.3,    -240.0,        -0.1200
  478994.3,    -280.0,         0.0731
  478994.3,    -320.0,         0.0770
  478994.3,    -360.0,         0.1439
  478994.3,    -400.0,        -0.1705
  478994.3,    -440.0,         0.1722
  478995.7,       0.0,         0.0435
  478995.7,     -40.0,        -0.1612
  478995.7,     -80.0,        -0.0599
  478995.7,    -120.0,         0.0243
  478995.7,    -160.0,        -0.0006
  478995.7,    -200.0,         0.0444
  478995.7,    -240.0,        -0.0777
  478995.7,    -280.0,         0.0407
  478995.7,    -320.0,         0.0024
  478995.7,    -360.0,         0.1349
  478995.7,    -400.0,        -0.1449
  478995.7,    -440.0,         0.1343
  478996.8,       0.0,        -0.0074
  478996.8,     -40.0,        -0.2585
  478996.8,     -80.0,        -0.1046
  478996.8,    -120.0,         0.0216
  478996.8,    -160.0,         0.0228
  478996.8,    -200.0,         0.0467
  478996.8,    -240.0,        -0.0234
  478996.8,    -280.0,        -0.0209
  478996.8,    -320.0,        -0.1435
  478996.8,    -360.0,         0.0677
  478996.8,    -400.0,        -0.1836
  478996.8,    -440.0,         0.0524
  478997.1,       0.0,         0.0098
  478997.1,     -40.0,        -0.2725
  478997.1,     -80.0,        -0.1021
  478997.1,    -120.0,         0.0507
  478997.1,    -160.0,         0.0855
  478997.1,    -200.0,         0.0785
  478997.1,    -240.0,         0.0712
  478997.1,    -280.0,         0.0190
  478997.1,    -320.0,        -0.1732
  478997.1,    -360.0,         0.0559
  478997.1,    -400.0,        -0.1950
  478997.1,    -440.0,         0.0374
  478996.1,       0.0,         0.0708
  478996.1,     -40.0,        -0.2086
  478996.1,     -80.0,        -0.0903
  478996.1,    -120.0,         0.0433
  478996.1,    -160.0,         0.1150
  478996.1,    -200.0,         0.1246
  478996.1,    -240.0,         0.0550
  478996.1,    -280.0,         0.1235
  478996.1,    -320.0,        -0.0385
  478996.1,    -360.0,         0.0757
  478996.1,    -400.0,        -0.2286
  478996.1,    -440.0,         0.1041
  478994.3,       0.0,         0.1298
  478994.3,     -40.0,        -0.1149
  478994.3,     -80.0,        -0.0466
  478994.3,    -120.0,         0.0273
