Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
31003,50.0,25.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,22.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,19.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,16.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,13.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,10.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,7.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,4.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,1.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-1.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-4.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-7.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-10.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-13.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-16.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-19.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-22.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-25.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-28.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-31.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-34.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-38.1,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-41.6,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-45.0,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-48.5,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-52.0,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-55.5,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-58.9,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-62.4,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,50.0,-65.9,478996.81,6196058.00,30.00,1.48,33.33,1.52
31003,150.0,24.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,21.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,18.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,15.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,12.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,9.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,6.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,3.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,0.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-2.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-5.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-8.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-11.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-14.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-17.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-20.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-23.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-26.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-29.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-32.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-35.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-39.0,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-42.3,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-45.7,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-49.1,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-52.4,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-55.8,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-59.2,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-62.6,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,150.0,-65.9,478996.81,6196158.00,30.00,1.48,33.33,1.52
31003,250.0,23.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,20.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,17.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,14.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,11.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,8.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,5.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,2.8,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-0.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-3.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-6.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-9.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-12.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-15.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-18.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-21.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-24.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
31003,250.0,-27.2,478996.81,6196258.00,30.00,1.48,33.33,1.52
