Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,82,478994.2,6196274.0,24.8,40.3,0.0,0.0,1204.409,119.3909,927.1273,143.1364,878.8364,189.5636,781.1364,221.0636,586.1727,254.1000,319.7636,75.08181
1,1,93,478993.1,6196310.5,25.5,39.2,0.0,0.0,1334.764,125.5818,1005.091,175.7727,929.1545,223.4727,815.1818,244.4818,603.8909,268.5182,333.9636,85.37273
1,1,104,478993.2,6196347.5,26.5,36.5,0.0,0.0,1652.009,129.8364,1228.473,258.7727,1067.473,307.1182,907.4908,303.1000,657.9000,309.2000,376.5727,112.4909
1,1,115,478994.3,6196385.0,27.0,34.5,0.0,0.0,1999.627,136.9545,1510.391,339.5000,1249.591,410.5636,1023.764,376.7727,727.8363,364.1364,426.3546,140.0909
1,1,126,478995.7,6196423.0,27.0,33.5,0.0,0.0,2192.227,161.4818,1660.054,378.7818,1360.664,463.5636,1097.964,417.3273,771.6091,399.2363,461.2636,159.7364
1,1,137,478996.8,6196460.5,27.3,32.7,0.0,0.0,2292.227,186.8909,1711.727,402.9454,1402.536,482.5363,1125.127,432.0909,790.7091,410.7000,480.6364,168.7364
1,1,148,478997.1,6196497.5,28.0,31.5,0.0,0.0,2471.700,219.3909,1845.018,444.9818,1493.064,540.8818,1178.391,474.9182,817.1090,436.0363,498.9455,185.9818
1,1,159,478996.1,6196534.0,28.8,30.9,0.0,0.0,2669.145,201.7091,2041.218,472.7000,1613.636,641.9454,1213.791,540.9000,822.7180,458.7909,522.6727,213.9273
1,1,170,478994.3,6196571.0,29.8,30.5,0.0,0.0,2801.000,186.9818,2230.791,446.9546,1787.782,744.2182,1258.618,632.3455,820.1181,491.6909,565.9636,256.0000
1,1,181,478992.4,6196608.0,30.2,31.1,0.0,0.0,2766.182,173.8091,2218.536,368.8000,1899.100,741.8909,1286.118,696.5636,798.9545,510.7273,590.6182,268.3909
1,1,192,478991.2,6196646.0,31.1,32.1,0.0,0.0,2543.809,143.6637,2053.673,304.2727,1852.409,649.4818,1261.200,684.9818,761.0818,501.5637,584.0000,252.3545
1,1,203,478990.8,6196683.5,31.9,32.2,0.0,0.0,2459.073,143.1454,1969.554,281.1909,1823.109,591.6273,1262.500,679.3091,746.5000,502.0091,585.4182,244.3909
1,1,214,478991.1,6196721.0,32.7,31.7,0.0,0.0,2518.709,165.2182,2009.627,295.2273,1874.736,585.1454,1317.245,705.0090,765.9908,525.3182,605.8818,245.4364
1,1,225,478992.3,6196759.5,33.1,31.3,0.0,0.0,2559.573,191.2182,2042.709,299.0818,1909.382,574.6000,1367.200,719.6000,786.4636,547.0363,622.4636,244.0182
1,1,236,478993.9,6196798.0,33.7,31.4,0.0,0.0,2515.727,182.0364,2010.918,293.6000,1898.664,548.1636,1382.545,711.5636,793.0090,552.6636,625.9727,234.8182
1,1,247,478995.5,6196836.5,33.7,31.6,0.0,0.0,2479.281,154.4364,1987.218,282.8545,1876.718,530.2636,1381.564,700.2636,791.4727,551.7091,625.3455,230.2363
1,1,258,478996.2,6196874.5,33.8,32.0,0.0,0.0,2435.100,150.2091,1951.400,278.0545,1840.518,514.8636,1364.973,685.5091,782.0544,543.7818,617.2363,221.6454
1,1,269,478996.0,6196913.0,34.1,32.4,0.0,0.0,2327.155,144.9545,1867.709,262.6273,1764.691,484.0909,1324.091,650.7090,762.3636,524.9818,592.5273,209.8909
1,1,280,478995.1,6196950.5,34.4,32.2,0.0,0.0,2314.500,143.6091,1858.409,259.6091,1759.300,474.6273,1333.518,648.2818,764.9636,529.4545,593.3091,206.2182
