  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          52.881        0.000            193.6
          2          44.938        1.845            953.9
          3          37.298        7.626           1146.6
          4          31.015       16.192           1339.0
          5          25.983       25.613           1532.7
          6          22.412       34.047           1728.2
          7          20.186       40.726           1923.5
          8          18.770       46.159           2120.3
          9          17.732       50.992           2315.9
         10          16.795       55.838           2512.2
         11          15.860       61.074           2708.0
         12          14.948       66.680           2903.4
         13          14.013       72.989           3099.2
         14          13.061       80.222           3294.9
         15          12.133       88.253           3492.1
         16          11.236       96.956           3689.0
         17          10.354      106.398           3883.5
         18           9.502      116.471           4078.9
         19           8.714      127.145           4275.0
         20           8.031      138.358           4470.0
         21           7.471      149.886           4664.9
         22           7.024      161.634           4862.0
         23           6.700      173.178           5057.0
         24           6.465      184.728           5251.6
         25           6.288      197.201           5447.1
         26           6.157      210.866           5643.1
         27           6.099      220.829           5839.1
         28           6.045      228.991           6034.2
         29           6.011      235.661           6228.7
         30           5.977      242.386           6424.5
