Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,HCP106140Hz_IP,HCP106140Hz_OP,HCP25380Hz_IP,HCP25380Hz_OP,HCP6135Hz_IP,HCP6135Hz_OP,HCP1518Hz_IP,HCP1518Hz_OP,HCP385Hz_IP,HCP385Hz_OP,VCA3323Hz_IP,VCA3323Hz_OP
1,1,82,480204.0,6196274.0,27.7,38.2,0.0,0.0,1355.648,340.3690,976.6079,461.6105,488.1855,433.8769,157.4091,249.3832,38.72266,101.8095,105.4008,115.6024
1,1,93,480205.6,6196309.0,28.3,37.2,0.0,0.0,1346.539,337.3833,972.4320,456.5440,488.7734,431.4886,158.0513,249.3807,38.65750,101.9917,106.7536,115.3094
1,1,104,480207.2,6196343.5,28.7,37.3,0.0,0.0,1348.802,338.1279,975.3937,455.8916,492.2683,432.5532,159.3112,251.0052,38.76225,102.7190,107.8785,115.0919
1,1,115,480208.6,6196378.0,29.1,37.0,0.0,0.0,1367.445,344.4267,988.5769,461.6612,499.8778,438.5609,161.5080,254.9342,39.07537,104.2184,109.8836,116.8204
1,1,126,480209.4,6196413.5,29.4,36.3,0.0,0.0,1409.203,358.6916,1016.162,476.5165,513.2824,451.5273,165.0764,262.1057,39.65772,106.8064,114.0061,122.5972
1,1,137,480209.4,6196449.5,30.0,35.2,0.0,0.0,1476.772,381.8888,1059.799,501.5674,533.0846,472.2477,170.1884,272.8603,40.52904,110.5961,121.0114,133.7616
1,1,148,480208.4,6196486.0,30.1,34.1,0.0,0.0,1550.088,406.7370,1107.325,528.7176,554.6386,494.7558,175.8276,284.5451,41.51589,114.7282,128.7576,146.4444
1,1,159,480207.3,6196523.0,29.4,33.8,0.0,0.0,1598.938,422.2776,1140.406,545.7748,570.9376,510.0660,180.4416,293.1625,42.35764,117.9055,133.8268,154.5000
1,1,170,480206.3,6196560.0,28.5,33.7,0.0,0.0,1604.034,421.7631,1147.063,545.1297,577.1887,512.3743,182.8995,296.0229,42.85782,119.2303,134.0414,154.0102
1,1,181,480205.7,6196597.0,27.5,34.3,0.0,0.0,1581.091,411.6727,1136.005,533.6163,576.1249,506.1432,183.6093,294.8137,43.06515,119.1795,131.1756,148.1109
1,1,192,480205.4,6196633.5,26.8,35.0,0.0,0.0,1551.528,400.6116,1119.329,520.4207,571.7064,497.5155,183.2290,291.9360,43.06788,118.4539,127.6569,141.1144
1,1,203,480205.1,6196670.0,26.6,35.5,0.0,0.0,1528.209,393.2533,1104.852,510.7228,566.9335,490.3279,182.4145,289.0999,42.97353,117.6090,125.1489,135.8765
1,1,214,480204.9,6196706.0,27.1,35.4,0.0,0.0,1515.597,390.3001,1096.257,505.7567,563.8827,486.1805,181.8225,287.3456,42.90826,117.0617,124.6028,133.9199
1,1,225,480204.6,6196742.5,28.4,34.1,0.0,0.0,1516.050,391.7367,1095.927,505.8987,564.1606,486.0316,182.0166,287.4415,42.98466,117.1434,126.7321,136.3316
1,1,236,480204.2,6196780.0,28.8,33.6,0.0,0.0,1520.008,393.4114,1098.749,506.8569,566.3649,487.1876,182.8702,288.4776,43.19652,117.6239,130.3737,141.2453
1,1,247,480203.6,6196817.5,27.5,34.6,0.0,0.0,1508.446,387.8627,1093.673,500.6335,566.7001,484.0661,183.7020,288.2107,43.44019,117.8249,132.7457,144.2573
1,1,258,480202.7,6196856.5,25.6,36.1,0.0,0.0,1467.902,369.7459,1072.996,481.4606,562.6879,472.7340,184.1219,285.1420,43.66182,117.3117,131.8841,142.1387
1,1,269,480201.9,6196895.0,24.1,37.0,0.0,0.0,1421.833,348.3191,1050.324,459.1723,559.0712,460.0685,184.9663,282.0753,43.97295,116.9203,129.7280,137.6398
1,1,280,480201.4,6196933.5,23.0,37.0,0.0,0.0,1400.640,335.4413,1043.473,446.3810,562.2495,455.0191,187.4377,282.7503,44.54712,117.7928,129.2740,135.0832
1,1,291,480201.1,6196971.5,22.4,36.8,0.0,0.0,1426.113,339.0324,1065.895,451.7043,577.5745,464.2129,192.6492,290.1997,45.53279,120.8826,132.5294,137.6879
1,1,302,480200.9,6197010.0,22.4,35.7,0.0,0.0,1510.726,362.2287,1126.938,479.0118,610.0695,491.9159,201.9438,307.0449,47.11180,127.1064,140.4900,147.4942
1,1,313,480200.9,6197047.5,22.7,33.6,0.0,0.0,1654.368,404.4545,1227.211,527.8443,660.4458,538.3253,215.5260,333.6223,49.28672,136.5756,153.0097,164.8568
1,1,324,480201.0,6197086.0,22.9,31.9,0.0,0.0,1818.014,453.3905,1340.763,583.8641,717.1198,591.0407,230.6445,363.6259,51.65640,147.1816,166.6134,184.0643
