LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppRes1_Ch01,AppRes1_Ch02,AppRes1_Ch03,AppRes1_Ch04,AppRes1_Ch05,AppRes1_Ch06,AppRes1_Ch07,AppRes1_Ch08,AppRes1_Ch09,AppRes1_Ch10
11240,3788,729521.0,7168031.5,560.7,99.9,0.0,54806.40,25.06,21.47,19.90,20.65,22.90,28.18,39.69,65.72,78.03,-1.00
11240,3792,729520.2,7168079.5,561.5,99.6,0.0,54839.73,25.11,20.26,18.79,19.27,21.29,26.32,37.85,65.23,86.43,-1.00
11240,3796,729519.8,7168128.0,561.0,99.8,0.0,54855.10,23.82,18.65,17.61,17.90,19.88,24.76,36.50,64.38,94.95,-1.00
11240,3800,729519.3,7168178.0,560.3,100.4,0.0,54858.45,21.64,17.31,16.37,16.62,18.56,23.52,35.64,64.09,104.82,-1.00
11240,3804,729518.8,7168228.0,560.1,100.7,0.0,54863.62,20.23,16.73,15.33,15.56,17.45,22.60,35.25,65.44,118.66,-1.00
11240,3808,729518.3,7168278.0,560.0,101.0,0.0,54872.39,19.37,16.30,14.34,14.48,16.52,21.81,35.16,68.18,143.46,-1.00
11240,3812,729518.1,7168326.5,560.0,101.1,0.0,54877.92,19.85,16.11,13.78,13.77,15.95,21.48,35.33,71.05,-1.00,-1.00
11240,3816,729517.8,7168374.5,560.1,100.8,0.0,54865.20,21.02,16.23,13.57,13.45,15.77,21.66,36.11,72.73,-1.00,-1.00
11240,3820,729517.8,7168422.5,560.5,100.7,0.0,54845.41,21.11,16.12,13.55,13.59,16.12,22.46,37.54,72.58,-1.00,-1.00
11240,3824,729517.9,7168472.5,560.9,100.5,0.0,54835.46,21.00,16.00,13.88,14.29,17.17,24.28,39.49,71.00,-1.00,-1.00
11240,3828,729517.8,7168522.5,560.7,100.6,0.0,54839.66,20.32,15.72,14.21,15.14,18.59,26.63,41.94,68.52,-1.00,-1.00
11240,3832,729517.4,7168572.5,560.1,100.6,0.0,54857.41,19.91,15.92,15.05,16.34,20.53,29.54,45.34,66.17,141.85,-1.00
11240,3836,729516.8,7168621.0,559.4,100.8,0.0,54875.21,19.25,16.28,16.26,18.15,23.32,33.16,49.66,67.69,121.44,-1.00
11240,3840,729515.8,7168669.0,558.7,101.2,0.0,54885.89,18.67,16.99,17.91,21.01,27.02,37.78,54.50,73.73,110.11,-1.00
11240,3844,729514.8,7168717.0,558.3,101.1,0.0,54892.10,20.29,19.75,21.58,25.67,32.11,43.37,59.37,79.13,102.10,-1.00
11240,3848,729513.7,7168767.0,558.1,101.3,0.0,54893.78,25.04,25.19,27.16,31.49,38.79,49.46,64.57,82.11,95.14,-1.00
11240,3852,729512.8,7168817.0,558.4,102.2,0.0,54891.11,29.51,30.45,33.20,38.43,45.64,55.94,70.30,84.33,94.24,-1.00
11240,3856,729512.3,7168867.0,558.9,103.5,0.0,54884.91,32.34,34.73,38.66,44.18,51.72,61.55,74.63,85.28,98.54,-1.00
11240,3860,729512.2,7168916.0,558.8,104.4,0.0,54876.45,34.62,38.36,42.45,48.85,56.79,65.26,75.40,82.14,93.99,-1.00
11240,3864,729512.9,7168964.0,558.5,104.0,0.0,54866.77,40.30,42.91,46.86,53.90,62.38,68.03,73.51,73.60,72.97,-1.00
11240,3868,729514.3,7169012.0,558.5,103.6,0.0,54856.76,46.33,48.47,52.08,59.22,66.47,68.85,68.42,60.81,54.78,-1.00
11240,3872,729516.3,7169060.0,558.5,103.4,0.0,54847.04,52.81,54.84,57.74,63.42,67.67,67.28,61.16,46.39,40.06,-1.00
11240,3876,729518.8,7169108.0,558.9,103.8,0.0,54838.41,55.04,57.69,60.03,63.66,65.50,63.23,52.42,36.10,26.35,-1.00
11240,3880,729521.8,7169157.5,559.6,104.0,0.0,54831.00,51.76,55.31,56.76,59.54,59.73,55.68,43.25,29.26,18.44,-1.00
11240,3884,729524.9,7169207.5,559.3,104.3,0.0,54823.95,46.89,51.14,51.80,54.30,53.62,48.60,36.39,24.73,14.51,-1.00
11240,3888,729528.1,7169256.0,558.4,104.6,0.0,54817.40,46.77,50.38,50.68,50.47,49.48,43.20,31.79,21.51,12.38,-1.00
11240,3892,729531.3,7169304.0,558.1,102.3,0.0,54812.29,61.45,58.25,55.09,48.85,44.69,35.67,25.49,17.14,9.96,-1.00
11240,3896,729534.5,7169352.0,558.1,100.9,0.0,54808.05,76.81,65.85,56.68,44.76,35.47,25.51,17.26,11.41,6.69,-1.00
11240,3900,729537.6,7169400.0,557.8,100.3,0.0,54804.15,84.51,69.12,54.09,39.48,27.68,18.52,12.12,7.89,4.62,-1.00
11240,3904,729540.3,7169449.5,557.2,99.8,0.0,54800.74,86.69,71.65,52.80,36.61,24.30,15.66,10.01,6.40,3.61,-1.00
