LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11240,3788,729521.0,7168031.5,560.7,99.9,0.0,54806.40,257577.6,214228.1,164527.7,108909.0,56140.74,21232.83,5906.331,1253.479,187.3593,0.000000
1,11240,3792,729520.2,7168079.5,561.5,99.6,0.0,54839.75,260488.2,218244.8,168965.0,112036.5,57474.82,21569.72,5946.540,1249.729,184.9260,0.000000
1,11240,3796,729519.8,7168128.0,561.0,99.8,0.0,54855.12,264147.8,225261.9,179314.8,120762.2,61827.41,22824.28,6103.909,1226.052,170.7490,0.000000
1,11240,3800,729519.3,7168178.0,560.3,100.4,0.0,54858.45,265692.6,230409.1,186708.5,126484.4,64379.87,23277.89,6013.901,1156.571,153.4439,0.000000
1,11240,3804,729518.8,7168228.0,560.1,100.7,0.0,54863.60,269154.7,238617.1,194924.5,131254.8,65649.00,23058.85,5755.559,1073.395,139.3399,0.000000
1,11240,3808,729518.3,7168278.0,560.0,101.0,0.0,54872.38,275212.9,245765.7,200214.7,133188.6,65185.42,22257.58,5400.491,984.5412,126.1335,0.000000
1,11240,3812,729518.1,7168326.5,560.0,101.1,0.0,54877.92,272932.7,242583.6,199164.2,135265.5,68387.17,24289.06,6121.026,1149.306,149.9380,0.000000
1,11240,3816,729517.8,7168374.5,560.1,100.8,0.0,54865.17,275159.7,245002.0,200995.0,135992.6,68291.13,24044.23,6006.674,1119.925,145.3980,0.000000
1,11240,3820,729517.8,7168422.5,560.5,100.7,0.0,54845.40,275052.7,244501.6,200192.4,135068.1,67599.45,23732.35,5917.854,1102.292,143.0372,0.000000
1,11240,3824,729517.9,7168472.5,560.9,100.5,0.0,54835.45,275278.3,244393.0,199577.5,134018.9,66655.77,23261.99,5781.955,1079.828,141.4986,0.000000
1,11240,3828,729517.8,7168522.5,560.7,100.6,0.0,54839.68,274296.6,242943.9,197666.8,131976.3,65176.80,22592.89,5587.112,1040.269,136.1518,0.000000
