LOOP,LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,11240,3788,729521.0,7168031.5,560.7,99.9,0.0,54806.40,262855.0,217399.8,164487.8,105265.0,55036.00,21754.00,6095.500,1100.250,208.5000,1.000000
1,11240,3792,729520.2,7168079.5,561.5,99.6,0.0,54839.75,263809.5,221947.8,169612.0,110585.0,58708.25,23510.25,6466.750,1112.750,181.0000,1.000000
1,11240,3796,729519.8,7168128.0,561.0,99.8,0.0,54855.12,265059.0,226354.2,174091.2,115611.5,62016.75,25069.00,6744.750,1131.750,158.7500,1.000000
1,11240,3800,729519.3,7168178.0,560.3,100.4,0.0,54858.45,266650.8,229206.2,178393.2,120367.2,65213.50,26246.25,6917.500,1136.250,138.0000,1.000000
1,11240,3804,729518.8,7168228.0,560.1,100.7,0.0,54863.60,268204.2,230399.2,182499.2,124954.5,68434.00,27242.25,6994.750,1103.250,115.7500,1.000000
1,11240,3808,729518.3,7168278.0,560.0,101.0,0.0,54872.38,268819.8,231102.8,185883.8,129137.0,71384.25,28139.75,7004.000,1042.500,88.50000,1.000000
1,11240,3812,729518.1,7168326.5,560.0,101.1,0.0,54877.92,267703.2,231701.2,188316.0,132484.2,73476.75,28563.25,6963.000,985.5000,57.75000,1.000000
1,11240,3816,729517.8,7168374.5,560.1,100.8,0.0,54865.17,266524.8,232264.5,190167.0,134694.5,74445.50,28409.50,6794.000,955.7500,40.00000,1.000000
1,11240,3820,729517.8,7168422.5,560.5,100.7,0.0,54845.40,266658.0,232997.2,190530.8,134123.0,73181.25,27421.75,6489.500,958.7500,36.25000,1.000000
1,11240,3824,729517.9,7168472.5,560.9,100.5,0.0,54835.45,267515.2,234086.8,189435.8,130994.2,69542.00,25409.50,6112.750,988.5000,43.25000,1.000000
1,11240,3828,729517.8,7168522.5,560.7,100.6,0.0,54839.68,268505.2,234955.8,187715.0,126985.5,65001.50,23002.25,5662.500,1037.000,64.25000,1.000000
1,11240,3832,729517.4,7168572.5,560.1,100.6,0.0,54857.40,269341.2,234173.2,184080.8,121409.5,59812.25,20537.00,5132.750,1087.500,90.00000,1.000000
1,11240,3836,729516.8,7168621.0,559.4,100.8,0.0,54875.20,269748.2,231814.5,177822.0,112960.5,53604.25,18055.50,4569.500,1053.500,112.0000,1.000000
1,11240,3840,729515.8,7168669.0,558.7,101.2,0.0,54885.90,269540.0,227673.8,169132.0,102176.8,46742.25,15607.75,4056.750,936.7500,128.5000,1.000000
1,11240,3844,729514.8,7168717.0,558.3,101.1,0.0,54892.10,266737.5,218565.5,155653.0,89514.75,39708.75,13335.50,3644.500,851.5000,143.0000,1.000000
1,11240,3848,729513.7,7168767.0,558.1,101.3,0.0,54893.77,257651.0,203065.0,138153.0,76149.50,33102.00,11412.75,3270.250,809.2500,157.7500,1.000000
1,11240,3852,729512.8,7168817.0,558.4,102.2,0.0,54891.10,245648.0,186233.8,121376.2,64531.25,27708.00,9821.250,2914.000,778.2500,159.5000,1.000000
1,11240,3856,729512.3,7168867.0,558.9,103.4,0.0,54884.93,236615.0,173785.8,109247.0,56341.00,24039.25,8714.500,2680.500,763.5000,149.5000,1.000000
1,11240,3860,729512.2,7168916.0,558.8,104.4,0.0,54876.45,230110.8,165049.0,101314.2,51005.75,21633.75,8071.500,2634.250,801.0000,159.2500,1.000000
1,11240,3864,729512.9,7168964.0,558.5,104.0,0.0,54866.77,223446.2,157399.2,94953.50,46913.00,19670.00,7685.750,2727.000,930.2500,226.2500,1.000000
1,11240,3868,729514.3,7169012.0,558.5,103.6,0.0,54856.77,215672.8,148960.8,88590.50,43314.50,18362.50,7589.500,2999.750,1204.750,335.5000,1.000000
1,11240,3872,729516.3,7169060.0,558.5,103.3,0.0,54847.05,208364.2,140634.0,82676.75,40794.50,18034.50,7821.000,3473.500,1721.750,513.0000,1.000000
1,11240,3876,729518.8,7169108.0,558.9,103.8,0.0,54838.42,204634.0,136359.5,80044.25,40482.75,18653.75,8423.000,4206.500,2379.500,889.2500,1.000000
