X,Y,Z,Lith
734929.31,7169987.50,   650.00, 0
734929.36,7170032.50,   650.00, 0
734929.41,7170077.50,   650.00, 0
734929.45,7170122.50,   650.00, 0
734929.50,7170167.50,   650.00, 0
734929.55,7170212.50,   650.00, 0
734929.60,7170257.50,   650.00, 0
734929.64,7170302.50,   650.00, 0
734929.69,7170347.50,   650.00, 0
734929.74,7170392.50,   650.00, 0
734929.79,7170437.50,   650.00, 0
734929.84,7170482.50,   650.00, 0
734929.88,7170527.50,   650.00, 0
734929.93,7170572.50,   650.00, 0
734929.98,7170617.50,   650.00, 0
734930.03,7170662.50,   650.00, 0
734930.08,7170707.50,   650.00, 0
734930.12,7170752.50,   650.00, 0
734930.17,7170797.50,   650.00, 0
734930.22,7170842.50,   650.00, 0
734930.27,7170887.50,   650.00, 0
734930.31,7170932.50,   650.00, 0
734930.36,7170977.50,   650.00, 0
734930.41,7171022.50,   650.00, 0
734930.46,7171067.50,   650.00, 0
734930.51,7171112.50,   650.00, 0
734930.55,7171157.50,   650.00, 0
734930.60,7171202.50,   650.00, 0
734930.65,7171247.50,   650.00, 0
734930.70,7171292.50,   650.00, 0
734930.74,7171337.50,   650.00, 0
734930.79,7171382.50,   650.00, 0
734930.84,7171427.50,   650.00, 0
734930.89,7171472.50,   650.00, 0
734930.94,7171517.50,   650.00, 0
734930.98,7171562.50,   650.00, 0
734931.03,7171607.50,   650.00, 0
734931.08,7171652.50,   650.00, 0
734931.13,7171697.50,   650.00, 0
734931.17,7171742.50,   650.00, 0
734931.22,7171787.50,   650.00, 0
734931.27,7171832.50,   650.00, 0
734931.32,7171877.50,   650.00, 0
734931.37,7171922.50,   650.00, 0
734931.41,7171967.50,   650.00, 0
734931.46,7172012.50,   650.00, 0
734931.51,7172057.50,   650.00, 0
734931.56,7172102.50,   650.00, 0
734931.61,7172147.50,   650.00, 0
734931.65,7172192.50,   650.00, 0
734931.70,7172237.50,   650.00, 0
734931.75,7172282.50,   650.00, 0
734931.80,7172327.50,   650.00, 0
734931.84,7172372.50,   650.00, 0
734931.89,7172417.50,   650.00, 0
734931.94,7172462.50,   650.00, 0
734931.99,7172507.50,   650.00, 0
734932.04,7172552.50,   650.00, 0
734932.08,7172597.50,   650.00, 0
734932.13,7172642.50,   650.00, 0
734932.18,7172687.50,   650.00, 0
734932.23,7172732.50,   650.00, 0
734932.27,7172777.50,   650.00, 0
734932.32,7172822.50,   650.00, 0
734932.37,7172867.50,   650.00, 0
734932.42,7172912.50,   650.00, 0
734932.47,7172957.50,   650.00, 0
734932.51,7173002.50,   650.00, 0
734932.56,7173047.50,   650.00, 0
734932.61,7173092.50,   650.00, 0
734932.66,7173137.50,   650.00, 0
734932.71,7173182.50,   650.00, 0
734932.75,7173227.50,   650.00, 0
734932.80,7173272.50,   650.00, 0
734932.85,7173317.50,   650.00, 0
734929.31,7169987.50,   645.96, 0
734929.36,7170032.50,   645.96, 0
734929.41,7170077.50,   645.96, 0
734929.45,7170122.50,   645.96, 0
734929.50,7170167.50,   645.96, 0
734929.55,7170212.50,   645.96, 0
734929.60,7170257.50,   645.96, 0
734929.64,7170302.50,   645.96, 0
734929.69,7170347.50,   645.96, 0
734929.74,7170392.50,   645.96, 0
734929.79,7170437.50,   645.96, 0
734929.84,7170482.50,   645.96, 0
734929.88,7170527.50,   645.96, 0
734929.93,7170572.50,   645.96, 0
734929.98,7170617.50,   645.96, 0
734930.03,7170662.50,   645.96, 0
734930.08,7170707.50,   645.96, 0
734930.12,7170752.50,   645.96, 0
734930.17,7170797.50,   645.96, 0
734930.22,7170842.50,   645.96, 0
734930.27,7170887.50,   645.96, 0
734930.31,7170932.50,   645.96, 0
734930.36,7170977.50,   645.96, 0
734930.41,7171022.50,   645.96, 0
734930.46,7171067.50,   645.96, 0
734930.51,7171112.50,   645.96, 0
734930.55,7171157.50,   645.96, 0
734930.60,7171202.50,   645.96, 0
734930.65,7171247.50,   645.96, 0
734930.70,7171292.50,   645.96, 0
734930.74,7171337.50,   645.96, 0
734930.79,7171382.50,   645.96, 0
734930.84,7171427.50,   645.96, 0
734930.89,7171472.50,   645.96, 0
734930.94,7171517.50,   645.96, 0
734930.98,7171562.50,   645.96, 0
734931.03,7171607.50,   645.96, 0
734931.08,7171652.50,   645.96, 0
734931.13,7171697.50,   645.96, 0
734931.17,7171742.50,   645.96, 0
734931.22,7171787.50,   645.96, 0
734931.27,7171832.50,   645.96, 0
734931.32,7171877.50,   645.96, 0
734931.37,7171922.50,   645.96, 0
734931.41,7171967.50,   645.96, 0
734931.46,7172012.50,   645.96, 0
734931.51,7172057.50,   645.96, 0
734931.56,7172102.50,   645.96, 0
734931.61,7172147.50,   645.96, 0
734931.65,7172192.50,   645.96, 0
734931.70,7172237.50,   645.96, 0
734931.75,7172282.50,   645.96, 0
734931.80,7172327.50,   645.96, 0
734931.84,7172372.50,   645.96, 0
734931.89,7172417.50,   645.96, 0
734931.94,7172462.50,   645.96, 0
734931.99,7172507.50,   645.96, 0
734932.04,7172552.50,   645.96, 0
