Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,0,1,734929.5,7170158.5,572.5,100.0,0.0,0.0,1633475.,604022.8,156545.6,38250.46,14241.25,5888.833,2153.695,612.5948,124.2264,0.000000,1939078.,825899.6,256651.5,62928.89,16264.00,5832.818,2263.650,790.7994,194.0000,0.000000
1,0,2,734929.6,7170208.5,573.2,100.0,0.0,0.0,1540920.,571324.3,145550.3,30775.25,9993.224,3915.945,1326.332,333.7274,55.71353,0.000000,2020699.,912701.1,287657.3,71379.13,20222.49,7623.539,2959.573,1016.221,247.3722,0.000000
1,0,3,734929.6,7170258.5,573.2,100.0,0.0,0.0,1584614.,589258.8,152360.3,32374.85,9455.562,3229.191,976.8368,206.0028,23.05331,0.000000,2107936.,986811.9,310895.1,74687.28,21263.75,8154.898,3152.236,1072.482,258.8690,0.000000
1,0,4,734929.6,7170308.5,573.1,100.0,0.0,0.0,1592949.,583826.0,155774.1,36404.67,10308.40,3061.302,805.0344,138.0392,4.778198,0.000000,2174528.,1041080.,330797.1,79179.12,22724.54,8706.674,3331.972,1122.232,268.5400,0.000000
1,0,5,734929.7,7170358.5,573.2,100.0,0.0,0.0,1561440.,549464.9,150467.0,39681.93,11380.20,3014.442,711.1260,96.32603,-6.409174,0.000000,2208414.,1064122.,344574.0,85110.29,24858.29,9380.397,3531.449,1177.569,279.5640,0.000000
1,0,6,734929.8,7170408.5,573.2,100.0,0.0,0.0,1516114.,504230.2,139620.0,40951.45,12038.26,2946.740,613.8994,59.80544,-15.60768,0.000000,2200342.,1051658.,349143.9,91606.39,27551.78,10172.25,3772.502,1245.828,293.3816,0.000000
1,0,7,734929.8,7170458.5,573.2,100.0,0.0,0.0,1465899.,459584.7,127107.9,40242.54,12073.76,2754.359,507.4651,20.63323,-25.12523,0.000000,2173274.,1020858.,347869.9,97996.23,30476.24,11031.11,4030.800,1324.069,310.4966,0.000000
1,0,8,734929.8,7170508.5,573.2,100.0,0.0,0.0,1416537.,421370.2,114941.5,37924.96,11512.27,2467.716,369.3865,-24.98666,-35.72050,0.000000,2141473.,985514.5,344637.4,104084.5,33465.65,11923.60,4319.054,1414.157,330.6435,0.000000
1,0,9,734929.9,7170558.5,573.1,100.0,0.0,0.0,1371120.,391881.0,104242.9,34717.14,10516.46,2070.540,211.4279,-78.31741,-48.00237,0.000000,2113427.,956736.8,342257.7,109712.5,36333.54,12825.52,4615.830,1511.674,353.2559,0.000000
1,0,10,734930.0,7170608.5,573.2,100.0,0.0,0.0,1348237.,372276.5,95822.84,31373.35,9351.169,1647.477,30.94405,-138.8512,-61.78027,0.000000,2109330.,942907.2,343201.8,115457.8,39220.04,13778.91,4951.544,1624.617,379.8629,0.000000
1,0,11,734930.0,7170658.5,573.0,100.0,0.0,0.0,1311702.,358129.2,90411.11,28483.88,8173.394,1190.856,-165.6160,-212.1793,-79.79237,0.000000,2095433.,930104.6,344514.4,120830.0,41979.93,14733.56,5287.911,1740.956,408.0923,0.000000
1,0,12,734930.1,7170708.5,577.2,100.0,0.0,0.0,1264104.,353982.5,89886.91,26800.58,7316.227,851.4929,-346.0581,-288.1516,-100.2197,0.000000,2026940.,907200.4,345174.0,125973.7,44676.53,15678.12,5627.242,1859.125,437.0744,0.000000
1,0,13,734930.1,7170758.5,577.1,100.0,0.0,0.0,1301956.,382122.7,98707.63,27727.13,7323.529,790.8582,-448.8053,-357.9608,-123.2439,0.000000,1987448.,904403.2,353362.9,132922.1,47816.50,16739.04,5981.834,1982.655,467.3487,0.000000
1,0,14,734930.2,7170808.5,577.2,100.0,0.0,0.0,1415960.,442437.5,118386.3,32445.62,8855.395,1320.764,-386.8089,-407.9835,-148.7653,0.000000,2013047.,932031.9,371646.5,142403.5,51670.60,17976.91,6376.754,2116.351,500.4220,0.000000
1,0,15,734930.2,7170858.5,577.2,100.0,0.0,0.0,1506296.,510094.0,146749.0,42628.67,13137.20,3009.398,40.55295,-408.4745,-177.8590,0.000000,2079308.,983832.5,397932.1,153660.6,56034.91,19310.77,6746.320,2231.749,528.7900,0.000000
1,0,16,734930.2,7170908.5,577.2,100.0,0.0,0.0,1561053.,574342.6,186253.7,62909.68,22969.13,7161.519,1268.945,-263.9811,-198.5141,0.000000,2147665.,1048010.,430766.9,167557.8,61564.12,20985.10,7145.372,2321.788,545.6799,0.000000
1,0,17,734930.4,7170958.5,577.2,100.0,0.0,0.0,1591951.,638643.6,244024.3,99611.41,42008.35,15426.91,3858.770,122.7765,-206.7656,0.000000,2198734.,1111770.,471153.8,187878.8,70505.66,23936.36,7822.763,2421.668,553.7434,0.000000
1,0,18,734930.4,7171008.5,577.2,100.0,0.0,0.0,1610090.,706083.6,322000.8,155942.5,73245.93,29572.95,8470.898,891.4525,-188.8512,0.000000,2234737.,1179613.,530296.4,224023.2,87925.73,30229.32,9364.100,2604.843,548.1052,0.000000
1,0,19,734930.4,7171058.5,577.2,100.0,0.0,0.0,1618313.,758650.6,399057.2,221348.0,113877.7,49467.11,15338.04,2115.759,-135.6693,0.000000,2261314.,1257976.,618623.4,286596.4,120943.1,43312.88,12868.20,3059.927,541.4570,0.000000
1,0,20,734930.5,7171108.5,577.2,100.0,0.0,0.0,1620144.,777208.9,443601.2,272589.2,153035.3,71622.09,23751.01,3732.334,-43.52202,0.000000,2279260.,1330925.,722022.0,372940.7,172432.7,65981.62,19520.92,4013.706,546.0572,0.000000
1,0,21,734930.6,7171158.5,577.2,100.0,0.0,0.0,1622790.,773846.4,451033.3,294483.6,178385.5,90165.63,32002.67,5481.175,77.39183,0.000000,2289745.,1378698.,809412.7,462302.5,235087.3,97548.17,29822.51,5639.291,579.0460,0.000000
1,0,22,734930.6,7171208.5,577.1,100.0,0.0,0.0,1636843.,770332.6,442343.2,293276.8,186558.3,100893.9,38248.27,7008.623,207.6663,0.000000,2310560.,1410490.,869713.2,535695.1,296316.3,133579.6,43103.71,7934.867,650.5983,0.000000
1,0,23,734930.6,7171258.5,578.0,100.0,0.0,0.0,1600175.,752139.4,425475.2,278222.9,179466.3,101399.3,40599.59,7866.680,320.8282,0.000000,2285784.,1404313.,890679.8,576639.5,340779.1,165807.9,56963.30,10571.19,748.7438,0.000000
1,0,24,734930.7,7171308.5,581.7,100.0,0.0,0.0,1531593.,729901.0,412058.0,262751.4,166457.6,94709.17,38993.22,7875.229,397.4829,0.000000,2215912.,1374102.,889059.7,593170.9,366786.9,189693.4,69096.67,13111.86,855.6830,0.000000
1,0,25,734930.8,7171358.5,581.1,100.0,0.0,0.0,1555072.,746689.6,421034.0,260671.0,158323.1,86831.99,35208.21,7269.926,445.8321,0.000000,2204372.,1382956.,907626.8,614577.1,389620.3,209738.4,79774.02,15457.88,967.0853,0.000000
1,0,26,734930.8,7171408.5,581.3,100.0,0.0,0.0,1594812.,770541.1,435482.2,263291.8,152066.2,77299.41,29125.89,5997.323,459.7313,0.000000,2218539.,1399322.,927332.2,632375.6,405648.9,223183.4,87109.77,17140.02,1056.753,0.000000
1,0,27,734930.9,7171458.5,581.1,100.0,0.0,0.0,1599444.,790510.2,452756.1,268709.1,146927.1,66682.80,21528.30,4269.182,444.9332,0.000000,2239198.,1414575.,943951.4,646058.7,415777.7,229874.3,90171.02,17832.44,1102.920,0.000000
