"LOOP" "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3787 729521.19 7168019.5 560.4482440846768 99.88125717287699 0.0 54791.61 262529.0 215739.0 162334.0 103202.0 53563.0 21086.0 5946.0 1097.0 220.0 0.0
 1 11240 3788 729521.0 7168031.5 560.7451852270302 99.8868586931426 0.0 54801.66 262742.0 216838.0 163816.0 104588.0 54560.0 21529.0 6046.0 1099.0 212.0 0.0
 1 11240 3789 729520.81 7168043.5 561.0280449408931 99.8595557095903 0.0 54811.43 262961.0 217949.0 165230.0 105960.0 55537.0 21977.0 6146.0 1101.0 205.0 0.0
 1 11240 3790 729520.63 7168055.5 561.2661461470492 99.79256601826948 0.0 54820.9 263188.0 219073.0 166571.0 107310.0 56484.0 22424.0 6244.0 1104.0 197.0 0.0
 1 11240 3791 729520.44 7168067.5 561.4291647223779 99.69158779588716 0.0 54829.66 263423.0 220211.0 167840.0 108639.0 57401.0 22866.0 6339.0 1107.0 190.0 0.0
 1 11240 3792 729520.25 7168079.5 561.4887208443834 99.58164844749226 0.0 54837.18 263669.0 221364.0 169050.0 109948.0 58289.0 23302.0 6428.0 1110.0 184.0 0.0
 1 11240 3793 729520.13 7168091.5 561.4487745101355 99.50203448374545 0.0 54843.56 263931.0 222527.0 170213.0 111239.0 59152.0 23729.0 6512.0 1115.0 178.0 0.0
 1 11240 3794 729520.06 7168103.5 561.3325283404973 99.49054666646107 0.0 54848.53 264215.0 223689.0 171345.0 112514.0 59991.0 24144.0 6588.0 1119.0 172.0 0.0
 1 11240 3795 729519.94 7168115.5 561.1654917769371 99.56549496109139 0.0 54852.27 264525.0 224829.0 172455.0 113772.0 60813.0 24540.0 6658.0 1125.0 167.0 0.0
 1 11240 3796 729519.81 7168128.0 560.9599563707357 99.71623139132072 0.0 54854.77 264864.0 225914.0 173551.0 115011.0 61620.0 24912.0 6720.0 1130.0 161.0 0.0
