LINE,FID,EAST,NORTH,TER,ALT,PITCH,MAG,AppCon1_Ch01,AppCon1_Ch02,AppCon1_Ch03,AppCon1_Ch04,AppCon1_Ch05,AppCon1_Ch06,AppCon1_Ch07,AppCon1_Ch08,AppCon1_Ch09,AppCon1_Ch10
11240,3788,729521.0,7168031.5,560.7,99.9,0.0,54806.40,39.90,46.58,50.25,48.42,43.67,35.48,25.19,15.22,12.82,-1000.00
11240,3792,729520.2,7168079.5,561.5,99.6,0.0,54839.73,39.83,49.35,53.22,51.90,46.97,38.00,26.42,15.33,11.57,-1000.00
11240,3796,729519.8,7168128.0,561.0,99.8,0.0,54855.10,41.99,53.61,56.80,55.86,50.31,40.39,27.40,15.53,10.53,-1000.00
11240,3800,729519.3,7168178.0,560.3,100.4,0.0,54858.45,46.21,57.77,61.07,60.18,53.87,42.51,28.06,15.60,9.54,-1000.00
11240,3804,729518.8,7168228.0,560.1,100.7,0.0,54863.62,49.44,59.77,65.21,64.28,57.31,44.25,28.37,15.28,8.43,-1000.00
11240,3808,729518.3,7168278.0,560.0,101.0,0.0,54872.39,51.62,61.36,69.71,69.05,60.53,45.84,28.44,14.67,6.97,-1000.00
11240,3812,729518.1,7168326.5,560.0,101.1,0.0,54877.92,50.39,62.05,72.55,72.63,62.70,46.55,28.31,14.07,-1000.00,-1000.00
11240,3816,729517.8,7168374.5,560.1,100.8,0.0,54865.20,47.57,61.62,73.67,74.36,63.41,46.17,27.69,13.75,-1000.00,-1000.00
11240,3820,729517.8,7168422.5,560.5,100.7,0.0,54845.41,47.38,62.05,73.82,73.59,62.05,44.53,26.64,13.78,-1000.00,-1000.00
11240,3824,729517.9,7168472.5,560.9,100.5,0.0,54835.46,47.62,62.49,72.02,69.97,58.23,41.19,25.33,14.08,-1000.00,-1000.00
11240,3828,729517.8,7168522.5,560.7,100.6,0.0,54839.66,49.22,63.60,70.40,66.07,53.79,37.55,23.84,14.59,-1000.00,-1000.00
11240,3832,729517.4,7168572.5,560.1,100.6,0.0,54857.41,50.22,62.83,66.47,61.20,48.70,33.86,22.06,15.11,7.05,-1000.00
11240,3836,729516.8,7168621.0,559.4,100.8,0.0,54875.21,51.95,61.44,61.49,55.08,42.88,30.15,20.13,14.77,8.23,-1000.00
11240,3840,729515.8,7168669.0,558.7,101.2,0.0,54885.89,53.56,58.85,55.82,47.59,37.01,26.47,18.35,13.56,9.08,-1000.00
11240,3844,729514.8,7168717.0,558.3,101.1,0.0,54892.10,49.29,50.62,46.35,38.96,31.14,23.06,16.84,12.64,9.79,-1000.00
11240,3848,729513.7,7168767.0,558.1,101.3,0.0,54893.78,39.93,39.70,36.82,31.76,25.78,20.22,15.49,12.18,10.51,-1000.00
11240,3852,729512.8,7168817.0,558.4,102.2,0.0,54891.11,33.88,32.84,30.12,26.02,21.91,17.88,14.23,11.86,10.61,-1000.00
11240,3856,729512.3,7168867.0,558.9,103.5,0.0,54884.91,30.93,28.79,25.87,22.64,19.33,16.25,13.40,11.73,10.15,-1000.00
11240,3860,729512.2,7168916.0,558.8,104.4,0.0,54876.45,28.88,26.07,23.56,20.47,17.61,15.32,13.26,12.17,10.64,-1000.00
11240,3864,729512.9,7168964.0,558.5,104.0,0.0,54866.77,24.81,23.31,21.34,18.55,16.03,14.70,13.60,13.59,13.70,-1000.00
11240,3868,729514.3,7169012.0,558.5,103.6,0.0,54856.76,21.58,20.63,19.20,16.89,15.04,14.52,14.62,16.44,18.25,-1000.00
11240,3872,729516.3,7169060.0,558.5,103.4,0.0,54847.04,18.93,18.23,17.32,15.77,14.78,14.86,16.35,21.56,24.96,-1000.00
11240,3876,729518.8,7169108.0,558.9,103.8,0.0,54838.41,18.17,17.34,16.66,15.71,15.27,15.81,19.08,27.70,37.95,-1000.00
11240,3880,729521.8,7169157.5,559.6,104.0,0.0,54831.00,19.32,18.08,17.62,16.80,16.74,17.96,23.12,34.18,54.22,-1000.00
11240,3884,729524.9,7169207.5,559.3,104.3,0.0,54823.95,21.33,19.55,19.31,18.42,18.65,20.57,27.48,40.44,68.91,-1000.00
11240,3888,729528.1,7169256.0,558.4,104.6,0.0,54817.40,21.38,19.85,19.73,19.81,20.21,23.15,31.45,46.49,80.77,-1000.00
11240,3892,729531.3,7169304.0,558.1,102.3,0.0,54812.29,16.27,17.17,18.15,20.47,22.38,28.03,39.22,58.35,100.37,-1000.00
11240,3896,729534.5,7169352.0,558.1,100.9,0.0,54808.05,13.02,15.19,17.64,22.34,28.20,39.20,57.94,87.63,149.38,-1000.00
11240,3900,729537.6,7169400.0,557.8,100.3,0.0,54804.15,11.83,14.47,18.49,25.33,36.13,53.99,82.48,126.68,216.52,-1000.00
11240,3904,729540.3,7169449.5,557.2,99.8,0.0,54800.74,11.53,13.96,18.94,27.31,41.16,63.84,99.90,156.25,277.16,-1000.00
11240,3908,729542.6,7169499.5,557.1,99.2,0.0,54797.39,10.92,13.01,18.11,27.09,42.56,67.87,107.47,169.36,306.78,-1000.00
