Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
11240,7168031.5,560.7,729521.0,7168031.5,47.9,1.68,20.8845,1.3198
11240,7168031.5,554.0,729521.0,7168031.5,33.7,1.53,29.6917,1.4726
11240,7168031.5,547.4,729521.0,7168031.5,23.0,1.36,43.4956,1.6384
11240,7168031.5,540.7,729521.0,7168031.5,16.3,1.21,61.3505,1.7878
11240,7168031.5,534.0,729521.0,7168031.5,13.7,1.14,73.1451,1.8642
11240,7168031.5,527.4,729521.0,7168031.5,14.6,1.16,68.4072,1.8351
11240,7168031.5,520.7,729521.0,7168031.5,17.0,1.23,58.7135,1.7687
11240,7168031.5,514.0,729521.0,7168031.5,20.0,1.30,49.8918,1.6980
11240,7168031.5,507.4,729521.0,7168031.5,18.4,1.27,54.2046,1.7340
11240,7168031.5,500.7,729521.0,7168031.5,15.5,1.19,64.4697,1.8094
11240,7168031.5,494.0,729521.0,7168031.5,13.2,1.12,75.9095,1.8803
11240,7168031.5,487.4,729521.0,7168031.5,300.2,2.48,3.3314,0.5226
11240,7168031.5,480.7,729521.0,7168031.5,632.1,2.80,1.5819,0.1992
11240,7168031.5,474.0,729521.0,7168031.5,963.2,2.98,1.0382,0.0163
11240,7168031.5,467.4,729521.0,7168031.5,1300.1,3.11,0.7692,-0.1140
11240,7168031.5,460.7,729521.0,7168031.5,1722.5,3.24,0.5806,-0.2362
11240,7168031.5,454.0,729521.0,7168031.5,2144.8,3.33,0.4662,-0.3314
11240,7168031.5,447.4,729521.0,7168031.5,2566.1,3.41,0.3897,-0.4093
11240,7168031.5,440.7,729521.0,7168031.5,2985.3,3.47,0.3350,-0.4750
11240,7168031.5,434.0,729521.0,7168031.5,3347.1,3.52,0.2988,-0.5247
11240,7168031.5,427.4,729521.0,7168031.5,3342.3,3.52,0.2992,-0.5240
11240,7168031.5,420.7,729521.0,7168031.5,3336.8,3.52,0.2997,-0.5233
11240,7168031.5,414.0,729521.0,7168031.5,3331.3,3.52,0.3002,-0.5226
11240,7168031.5,407.4,729521.0,7168031.5,3325.8,3.52,0.3007,-0.5219
11240,7168031.5,400.7,729521.0,7168031.5,3320.2,3.52,0.3012,-0.5212
11240,7168031.5,394.0,729521.0,7168031.5,3314.9,3.52,0.3017,-0.5205
11240,7168031.5,387.4,729521.0,7168031.5,3305.4,3.52,0.3025,-0.5192
11240,7168031.5,380.7,729521.0,7168031.5,3289.4,3.52,0.3040,-0.5171
11240,7168031.5,374.0,729521.0,7168031.5,3273.4,3.51,0.3055,-0.5150
11240,7168031.5,367.4,729521.0,7168031.5,3257.4,3.51,0.3070,-0.5129
11240,7168031.5,360.7,729521.0,7168031.5,3241.3,3.51,0.3085,-0.5107
11240,7168031.5,354.0,729521.0,7168031.5,3224.8,3.51,0.3101,-0.5085
11240,7168031.5,347.4,729521.0,7168031.5,3208.6,3.51,0.3117,-0.5063
11240,7168031.5,340.7,729521.0,7168031.5,3192.5,3.50,0.3132,-0.5041
11240,7168031.5,334.0,729521.0,7168031.5,3176.5,3.50,0.3148,-0.5020
11240,7168031.5,327.4,729521.0,7168031.5,3158.4,3.50,0.3166,-0.4995
11240,7168031.5,320.7,729521.0,7168031.5,3138.1,3.50,0.3187,-0.4967
11240,7168031.5,314.0,729521.0,7168031.5,3117.0,3.49,0.3208,-0.4937
11240,7168031.5,307.4,729521.0,7168031.5,3096.6,3.49,0.3229,-0.4909
11240,7168031.5,300.7,729521.0,7168031.5,3076.1,3.49,0.3251,-0.4880
11240,7168031.5,294.0,729521.0,7168031.5,3055.6,3.49,0.3273,-0.4851
11240,7168031.5,287.4,729521.0,7168031.5,3035.0,3.48,0.3295,-0.4822
11240,7168031.5,280.7,729521.0,7168031.5,3014.4,3.48,0.3317,-0.4792
11240,7168031.5,274.0,729521.0,7168031.5,2993.8,3.48,0.3340,-0.4762
11240,7168031.5,267.4,729521.0,7168031.5,2973.2,3.47,0.3363,-0.4732
11240,7168031.5,260.7,729521.0,7168031.5,2952.3,3.47,0.3387,-0.4702
11240,7168031.5,254.0,729521.0,7168031.5,2931.5,3.47,0.3411,-0.4671
11240,7168031.5,247.4,729521.0,7168031.5,2816.0,3.45,0.3551,-0.4496
11240,7168031.5,240.7,729521.0,7168031.5,2661.8,3.43,0.3757,-0.4252
11240,7168031.5,234.0,729521.0,7168031.5,2508.7,3.40,0.3986,-0.3994
11240,7168031.5,227.4,729521.0,7168031.5,2355.6,3.37,0.4245,-0.3721
11240,7168031.5,220.7,729521.0,7168031.5,2202.5,3.34,0.4540,-0.3429
11240,7168031.5,214.0,729521.0,7168031.5,2049.4,3.31,0.4879,-0.3116
11240,7168031.5,207.4,729521.0,7168031.5,1896.4,3.28,0.5273,-0.2779
11240,7168031.5,200.7,729521.0,7168031.5,1743.3,3.24,0.5736,-0.2414
11240,7168031.5,194.0,729521.0,7168031.5,1590.4,3.20,0.6288,-0.2015
11240,7168031.5,187.4,729521.0,7168031.5,1437.4,3.16,0.6957,-0.1576
11240,7168031.5,180.7,729521.0,7168031.5,1284.5,3.11,0.7785,-0.1087
11240,7168031.5,174.0,729521.0,7168031.5,1131.7,3.05,0.8836,-0.0537
11240,7168031.5,167.4,729521.0,7168031.5,979.0,2.99,1.0215,0.0092
