Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,0,1,734929.5,7170158.5,572.5,94.9,0.0,0.0,547543.8,103793.8,25749.38,10169.51,4725.810,1980.828,782.8096,224.0137,47.39128,0.000000,810557.7,217333.8,57461.06,16807.29,6424.754,2850.725,1288.566,521.0447,146.3782,0.000000
1,0,2,734929.6,7170208.5,573.2,94.9,0.0,0.0,499739.8,93858.75,18889.80,6501.999,3215.074,1493.005,585.1714,163.2918,31.19021,0.000000,884528.3,234753.6,62194.19,19283.77,7612.884,3346.784,1486.469,588.9302,164.3965,0.000000
1,0,3,734929.6,7170258.5,573.2,94.9,0.0,0.0,504721.5,96165.30,18192.91,5532.095,2727.166,1295.106,509.3830,136.7803,23.33257,0.000000,937304.1,246379.4,63043.86,19485.41,7838.714,3519.064,1567.105,620.6641,173.0742,0.000000
1,0,4,734929.6,7170308.5,573.1,94.9,0.0,0.0,499138.1,98652.82,19814.88,5632.827,2613.015,1236.531,468.5682,122.8095,18.98275,0.000000,974133.3,256010.9,64203.38,19707.51,8075.945,3692.533,1648.826,653.5084,181.8263,0.000000
1,0,5,734929.7,7170358.5,573.2,94.9,0.0,0.0,474530.6,97185.36,21191.68,6100.366,2678.710,1199.786,456.2414,114.4449,16.02562,0.000000,990219.0,263670.6,66337.92,20197.40,8364.905,3881.513,1738.066,689.5485,191.5080,0.000000
1,0,6,734929.8,7170408.5,573.2,94.9,0.0,0.0,440018.6,92640.84,21999.37,6572.432,2768.770,1205.098,437.6377,107.2677,13.61439,0.000000,980729.5,267594.8,68734.75,20962.62,8769.612,4100.444,1845.414,731.6787,202.8211,0.000000
1,0,7,734929.8,7170458.5,573.2,94.9,0.0,0.0,405556.8,85874.71,21684.02,6919.222,2856.035,1180.006,426.3533,99.07343,10.96687,0.000000,957467.1,269054.0,71323.21,21905.58,9231.011,4350.299,1961.394,778.5953,215.6005,0.000000
1,0,8,734929.8,7170508.5,573.2,94.9,0.0,0.0,374034.5,78212.81,20681.95,7107.738,2916.759,1174.651,403.2499,89.58274,8.170763,0.000000,931228.3,268948.5,73587.62,22964.58,9773.139,4622.931,2095.009,831.6304,230.1984,0.000000
1,0,9,734929.9,7170558.5,573.1,94.9,0.0,0.0,348746.8,70433.25,19136.16,7190.679,2945.009,1133.218,381.0220,77.07662,4.374720,0.000000,908290.9,268318.4,75564.48,24075.82,10358.72,4927.799,2238.878,890.3177,246.4546,0.000000
1,0,10,734930.0,7170608.5,573.2,94.9,0.0,0.0,332212.4,63854.28,17725.67,7265.254,2975.051,1113.780,348.2780,63.17988,0.1913719,0.000000,895910.1,268267.6,77289.71,25299.37,11029.57,5268.016,2405.468,957.1472,265.0145,0.000000
1,0,11,734930.0,7170658.5,573.0,94.9,0.0,0.0,321979.3,58895.50,16587.05,7375.448,2985.675,1053.010,309.9384,43.68253,-5.389202,0.000000,883210.2,266974.6,78589.69,26564.88,11758.14,5650.100,2586.455,1031.256,285.6175,0.000000
1,0,12,734930.1,7170708.5,577.2,94.9,0.0,0.0,319002.7,56551.36,16221.07,7595.583,2990.718,993.6268,252.7308,18.17525,-12.63279,0.000000,863047.1,263615.5,79397.89,27947.07,12582.65,6069.016,2789.840,1112.801,308.2696,0.000000
1,0,13,734930.1,7170758.5,577.1,94.9,0.0,0.0,339033.3,58878.67,17073.76,8098.511,3035.378,913.8052,190.4443,-12.17829,-21.11394,0.000000,860782.1,263518.4,80970.70,29704.99,13573.85,6570.051,3023.135,1206.355,334.0124,0.000000
1,0,14,734930.2,7170808.5,577.2,94.9,0.0,0.0,380668.9,66400.83,19425.31,8903.423,3116.325,836.8107,110.0490,-49.03468,-31.26535,0.000000,879962.9,267240.7,83678.27,32073.25,14830.11,7179.034,3305.134,1316.903,364.4359,0.000000
1,0,15,734930.2,7170858.5,577.2,94.9,0.0,0.0,426071.4,77644.44,23079.78,9860.952,3148.132,691.0839,1.393101,-99.63545,-45.25324,0.000000,910660.9,273213.0,87481.81,35061.09,16340.16,7898.315,3627.508,1442.240,398.7134,0.000000
1,0,16,734930.2,7170908.5,577.2,94.9,0.0,0.0,466886.4,91945.52,28278.74,10997.26,3167.023,531.5028,-138.7833,-161.8379,-62.15646,0.000000,948354.1,282357.9,92995.38,38833.78,18149.47,8729.469,3996.577,1582.641,436.5790,0.000000
1,0,17,734930.4,7170958.5,577.2,94.9,0.0,0.0,495334.8,107412.1,34442.34,12106.12,3093.804,283.9385,-318.6990,-242.6828,-83.85973,0.000000,987323.6,295370.2,101186.0,43623.61,20343.87,9730.066,4423.185,1744.149,480.3920,0.000000
1,0,18,734930.4,7171008.5,577.2,94.9,0.0,0.0,500619.1,122075.6,40860.86,13010.41,2922.631,-18.78432,-551.8608,-345.0774,-111.2505,0.000000,1019253.,312288.7,112631.1,49508.27,22940.67,10878.22,4903.971,1921.451,528.0311,0.000000
1,0,19,734930.4,7171058.5,577.2,94.9,0.0,0.0,486212.8,135245.2,46594.39,13645.66,2689.952,-385.5178,-825.6251,-470.2183,-145.4732,0.000000,1029348.,332837.0,127746.5,56544.00,25988.33,12209.19,5432.859,2114.471,580.6185,0.000000
1,0,20,734930.5,7171108.5,577.2,94.9,0.0,0.0,468600.4,147371.2,50942.74,14153.30,2578.225,-703.4090,-1117.319,-612.9996,-187.0036,0.000000,1018228.,358326.3,146291.8,64679.18,29496.53,13687.10,5990.586,2313.658,636.1565,0.000000
1,0,21,734930.6,7171158.5,577.2,94.9,0.0,0.0,458775.2,157067.2,53872.05,15301.09,3084.863,-744.3832,-1313.737,-750.8831,-235.7534,0.000000,1004630.,391042.3,167348.6,73687.93,33399.65,15245.08,6513.564,2498.798,690.8546,0.000000
1,0,22,734930.6,7171208.5,577.1,94.9,0.0,0.0,451454.5,161762.4,57543.19,19169.42,5498.910,199.4930,-1137.120,-817.6652,-287.3571,0.000000,1012851.,430534.1,189293.4,83311.42,37547.69,16701.17,6907.514,2638.447,738.7170,0.000000
1,0,23,734930.6,7171258.5,578.0,94.9,0.0,0.0,426775.0,162532.5,68314.81,30670.29,12957.50,3878.661,191.1176,-628.2057,-326.0412,0.000000,1018433.,460908.6,207018.1,92070.34,41182.72,17603.55,6949.328,2656.739,759.8018,0.000000
1,0,24,734930.7,7171308.5,581.7,94.9,0.0,0.0,396910.0,177366.1,99399.16,58745.45,31460.50,13775.79,4140.287,163.9862,-320.0198,0.000000,999645.7,473117.7,220743.7,101321.5,45106.02,18329.95,6812.370,2576.934,744.8354,0.000000
1,0,25,734930.8,7171358.5,581.1,94.9,0.0,0.0,413234.6,239471.5,170735.7,117527.3,70841.57,35490.29,12993.85,2063.137,-228.1939,0.000000,975450.4,485044.8,244282.4,120326.8,55049.93,21923.29,7702.887,2661.273,709.9369,0.000000
1,0,26,734930.8,7171408.5,581.3,94.9,0.0,0.0,481560.1,351389.8,283869.3,211738.1,137486.2,73938.20,29002.88,5599.087,3.000244,0.000000,944180.7,514589.2,296317.9,166310.1,84407.63,36315.70,12852.52,3572.635,685.4747,0.000000
1,0,27,734930.9,7171458.5,581.1,94.9,0.0,0.0,575440.7,473826.5,403125.5,315364.6,216668.1,122980.7,50317.33,10457.08,371.9050,0.000000,943035.1,588700.4,396969.3,258856.0,151077.6,73618.67,27547.49,6468.965,752.5173,0.000000
1,0,28,734930.9,7171508.5,581.6,94.9,0.0,0.0,648429.6,552880.6,476871.8,382303.5,273363.4,162358.0,68898.65,14972.43,784.8527,0.000000,1009062.,715900.1,542685.1,393818.9,255756.6,137746.3,54611.21,12128.17,991.0066,0.000000
1,0,29,734931.0,7171558.5,577.5,94.9,0.0,0.0,654108.3,555016.5,478418.2,387109.3,282596.6,172615.0,75148.24,16895.92,1085.419,0.000000,1126329.,866404.8,698932.8,537884.7,373229.3,215545.3,89722.73,19848.34,1393.833,0.000000
1,0,30,734931.0,7171608.5,577.2,94.9,0.0,0.0,593428.2,488596.3,416083.6,333200.8,240205.1,144515.5,62281.74,14330.98,1119.174,0.000000,1188891.,953024.9,792576.0,629199.4,453517.9,273540.8,117793.8,26321.98,1771.441,0.000000
1,0,31,734931.1,7171658.5,576.8,94.9,0.0,0.0,554356.1,431546.8,353225.8,268546.5,179212.1,97016.96,38002.56,8856.954,960.0181,0.000000,1206112.,981595.4,826602.8,663753.7,483999.0,295070.4,127951.8,28699.78,1932.386,0.000000
1,0,32,734931.1,7171708.5,572.8,94.9,0.0,0.0,569846.9,414258.2,313452.3,212177.7,117066.2,46333.48,12266.33,3064.039,769.5451,0.000000,1231696.,998075.1,837825.3,666399.1,477073.4,283006.2,119571.1,26589.40,1845.657,0.000000
1,0,33,734931.2,7171758.5,573.0,94.9,0.0,0.0,595528.7,401248.8,267174.3,146220.8,51793.87,1754.072,-6772.874,-802.9937,668.5748,0.000000,1214416.,962921.1,789587.3,605391.0,410639.3,227976.5,91155.99,19990.59,1504.656,0.000000
1,0,34,734931.2,7171808.5,575.0,94.9,0.0,0.0,610435.5,369868.5,203743.2,76955.35,1443.688,-21105.50,-12622.62,-1490.708,710.7176,0.000000,1150337.,869798.4,673908.8,478993.7,295589.0,148836.5,55596.30,12249.24,1115.088,0.000000
1,0,35,734931.2,7171858.5,577.6,94.9,0.0,0.0,592212.1,308873.8,136057.3,31596.73,-13295.64,-17786.52,-7566.379,-16.47778,820.1802,0.000000,1069636.,736405.0,514305.3,323482.4,174835.3,78481.31,27725.16,6579.095,864.6327,0.000000
