Loop,Line,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,0,1,734929.5,7170158.5,572.5,94.9,0.0,0.0,1823661.,662436.8,168911.5,39570.84,13362.18,5346.664,1966.081,535.8149,108.8790,0.000000,2104993.,888206.6,272037.1,65666.39,15602.56,4573.325,1459.945,402.0816,73.65240,0.000000
1,0,2,734929.6,7170208.5,573.2,94.9,0.0,0.0,1720911.,623137.1,154762.8,29956.70,7994.187,3109.841,1090.431,255.4341,43.95391,0.000000,2176299.,974777.7,302852.7,73299.90,18775.65,5933.952,1977.956,558.9319,108.8676,0.000000
1,0,3,734929.6,7170258.5,573.2,94.9,0.0,0.0,1777326.,645671.9,162165.9,30919.52,6958.873,2384.876,771.9654,144.5793,17.44527,0.000000,2267264.,1052959.,326684.0,75715.54,18851.01,6020.700,2011.709,557.9964,106.2511,0.000000
1,0,4,734929.6,7170308.5,573.1,94.9,0.0,0.0,1787762.,639813.1,165302.1,34252.14,7422.286,2244.089,638.1946,95.23989,5.753289,0.000000,2340923.,1112103.,347638.1,79383.56,19262.82,6133.668,2043.297,553.1782,102.4325,0.000000
1,0,5,734929.7,7170358.5,573.2,94.9,0.0,0.0,1751576.,600670.1,158415.9,36635.53,8224.009,2266.470,596.8992,73.61448,0.5186210,0.000000,2378202.,1136602.,361702.7,84207.77,20172.91,6342.370,2088.389,551.7094,99.34677,0.000000
1,0,6,734929.8,7170408.5,573.2,94.9,0.0,0.0,1700137.,549664.9,145372.8,36835.88,8744.078,2329.185,559.0999,60.16912,-2.357479,0.000000,2368564.,1121559.,365312.1,89159.17,21512.93,6657.195,2170.976,560.6971,98.96975,0.000000
1,0,7,734929.8,7170458.5,573.2,94.9,0.0,0.0,1642294.,499274.1,130551.4,35051.03,8804.384,2309.243,531.4296,49.22909,-4.392797,0.000000,2338212.,1086539.,362260.0,93476.91,22949.47,7016.433,2254.666,572.0375,98.80257,0.000000
1,0,8,734929.8,7170508.5,573.2,94.9,0.0,0.0,1584866.,456096.2,116102.2,31772.21,8458.425,2257.554,489.3810,39.16783,-5.747002,0.000000,2302895.,1046631.,356749.2,96989.00,24358.85,7393.223,2357.637,590.1766,100.7028,0.000000
1,0,9,734929.9,7170558.5,573.1,94.9,0.0,0.0,1530903.,422705.8,103098.8,27756.19,7807.344,2119.465,443.5730,25.62969,-8.330067,0.000000,2271341.,1014189.,351772.8,99524.85,25557.79,7751.028,2449.843,607.3661,102.2334,0.000000
1,0,10,734930.0,7170608.5,573.2,94.9,0.0,0.0,1503691.,400567.5,92358.69,23834.97,7133.284,2012.163,398.9863,16.56785,-9.457451,0.000000,2266460.,998544.4,349772.5,101653.2,26677.43,8122.878,2563.887,631.7950,105.5346,0.000000
1,0,11,734930.0,7170658.5,573.0,94.9,0.0,0.0,1461131.,384282.3,84309.45,20480.67,6469.457,1854.285,343.0622,-0.3037825,-12.36537,0.000000,2252854.,984874.3,347233.7,102817.9,27590.66,8476.660,2668.412,655.2930,108.7066,0.000000
1,0,12,734930.1,7170708.5,577.2,94.9,0.0,0.0,1407617.,378654.3,80969.92,18449.88,6083.980,1766.386,290.7681,-13.95631,-14.47718,0.000000,2178742.,960241.5,342402.7,103167.8,28426.23,8842.036,2785.316,681.0836,112.3930,0.000000
1,0,13,734930.1,7170758.5,577.1,94.9,0.0,0.0,1453529.,407327.7,86455.29,18511.09,6135.208,1740.401,250.8834,-27.51069,-16.33896,0.000000,2134440.,955497.9,342697.1,104291.5,29465.44,9281.797,2912.228,708.7513,115.7615,0.000000
1,0,14,734930.2,7170808.5,577.2,94.9,0.0,0.0,1586617.,469385.0,101987.3,20981.81,6686.098,1805.002,212.4445,-41.20008,-18.06918,0.000000,2162322.,979391.2,349929.0,106800.6,30976.01,9881.437,3089.116,749.2346,122.2700,0.000000
1,0,15,734930.2,7170858.5,577.2,94.9,0.0,0.0,1687499.,537949.1,124386.3,25636.36,7567.109,1827.497,137.5085,-72.06682,-24.46278,0.000000,2233350.,1022958.,362709.0,110258.8,32820.02,10578.97,3272.959,788.1521,127.9953,0.000000
1,0,16,734930.2,7170908.5,577.2,94.9,0.0,0.0,1750884.,602520.8,150948.0,32706.57,9031.644,1965.460,83.97359,-92.36848,-27.53730,0.000000,2302140.,1078784.,382505.6,115487.4,35167.69,11379.54,3464.590,821.4053,131.0840,0.000000
1,0,17,734930.4,7170958.5,577.2,94.9,0.0,0.0,1782162.,650901.2,175899.2,41078.67,10706.28,2032.014,-3.466688,-124.8209,-33.21575,0.000000,2359934.,1142394.,409296.3,123372.9,38326.81,12385.27,3698.085,868.0237,138.4780,0.000000
1,0,18,734930.4,7171008.5,577.2,94.9,0.0,0.0,1770817.,663993.2,192601.3,49500.49,12393.48,2049.385,-117.0197,-162.7359,-39.36336,0.000000,2396484.,1200562.,439303.2,134127.8,42287.45,13492.40,3930.820,905.9833,141.8966,0.000000
1,0,19,734930.4,7171058.5,577.2,94.9,0.0,0.0,1730783.,646514.8,200272.2,56870.49,13811.06,1971.838,-250.3324,-204.5184,-45.80693,0.000000,2394949.,1228511.,465182.9,147419.3,47075.36,14735.03,4175.649,946.0604,146.6612,0.000000
1,0,20,734930.5,7171108.5,577.2,94.9,0.0,0.0,1673925.,621622.4,204531.3,62594.43,14751.19,1802.181,-413.4598,-250.4445,-51.93829,0.000000,2358986.,1223538.,484758.2,162782.2,52507.48,16052.79,4427.887,985.5096,151.1968,0.000000
1,0,21,734930.6,7171158.5,577.2,94.9,0.0,0.0,1607445.,602285.9,208626.1,65915.30,15084.71,1531.115,-603.9589,-302.6500,-59.37457,0.000000,2304038.,1206530.,503429.5,179830.5,58308.95,17413.77,4672.509,1022.475,155.8634,0.000000
1,0,22,734930.6,7171208.5,577.1,94.9,0.0,0.0,1538371.,582438.1,208849.4,65913.03,14885.55,1211.521,-830.7957,-363.5852,-68.15187,0.000000,2277704.,1204556.,528180.2,197807.5,64156.80,18760.95,4901.820,1055.914,160.5747,0.000000
1,0,23,734930.6,7171258.5,578.0,94.9,0.0,0.0,1400406.,539305.3,197886.4,63065.31,14947.67,1082.871,-1033.241,-418.2462,-75.42126,0.000000,2226407.,1189492.,545662.3,211216.9,68821.93,19829.15,5016.296,1056.950,159.0390,0.000000
1,0,24,734930.7,7171308.5,581.7,94.9,0.0,0.0,1244824.,490041.8,184435.8,62989.11,17164.43,1543.758,-1159.731,-456.6243,-79.55685,0.000000,2110924.,1149554.,547160.9,218167.3,72405.25,20700.88,5031.765,1034.575,155.4680,0.000000
1,0,25,734930.8,7171358.5,581.1,94.9,0.0,0.0,1218371.,483820.7,193877.8,76063.63,24641.05,3192.938,-1147.458,-475.6094,-81.10030,0.000000,2029040.,1121366.,546383.8,225098.7,76985.82,21754.42,4950.368,978.4157,146.7066,0.000000
1,0,26,734930.8,7171408.5,581.3,94.9,0.0,0.0,1249858.,515044.6,233789.7,106930.5,39199.01,6503.344,-890.0738,-447.6152,-75.18980,0.000000,1985137.,1096268.,548694.4,237895.7,85088.66,23440.54,4764.968,878.9949,131.9159,0.000000
1,0,27,734930.9,7171458.5,581.1,94.9,0.0,0.0,1270384.,562993.6,290743.2,148717.8,58495.90,11104.25,-333.8958,-350.1761,-59.28426,0.000000,1973674.,1094275.,574546.5,267709.1,100834.1,26579.21,4538.554,741.6926,111.0936,0.000000
1,0,28,734930.9,7171508.5,581.6,94.9,0.0,0.0,1295400.,605194.1,337025.2,183929.0,75468.55,15544.07,443.5432,-179.8798,-32.62299,0.000000,1987450.,1130352.,633068.5,319449.2,126402.4,31772.75,4428.672,605.7241,90.57202,0.000000
1,0,29,734931.0,7171558.5,577.5,94.9,0.0,0.0,1344173.,627649.1,354253.2,197046.4,82323.73,18050.35,1311.577,55.95634,3.885691,0.000000,2053414.,1202096.,712918.1,384875.2,158562.8,38499.33,4497.252,498.4484,72.90154,0.000000
1,0,30,734931.0,7171608.5,577.2,94.9,0.0,0.0,1347258.,614423.9,333474.2,177845.5,72476.70,16927.86,2089.505,335.0389,47.38212,0.000000,2085578.,1242241.,765657.9,432188.7,182989.4,43742.13,4635.862,449.0309,65.38196,0.000000
1,0,31,734931.1,7171658.5,576.8,94.9,0.0,0.0,1343880.,604043.8,301584.3,141554.2,52095.99,13328.12,2739.569,621.3783,92.08464,0.000000,2103804.,1262761.,787672.2,449097.3,190729.3,45332.39,4740.418,464.0055,67.05054,0.000000
1,0,32,734931.1,7171708.5,572.8,94.9,0.0,0.0,1400362.,618643.6,274194.5,102243.0,29936.55,9371.368,3351.323,902.4905,136.3565,0.000000,2158809.,1297547.,794802.9,439581.2,181712.2,43116.04,4805.538,543.5818,78.74860,0.000000
1,0,33,734931.2,7171758.5,573.0,94.9,0.0,0.0,1408038.,607918.9,234360.5,63612.49,12341.23,6612.668,3860.488,1124.648,171.8865,0.000000,2164536.,1283265.,748726.8,386829.7,152157.4,36646.84,4784.555,682.0038,99.74101,0.000000
1,0,34,734931.2,7171808.5,575.0,94.9,0.0,0.0,1348845.,566975.3,192248.3,39342.52,5411.859,6087.785,4221.693,1256.095,193.9732,0.000000,2097116.,1203226.,650006.8,306072.8,113966.5,28832.13,4774.391,847.2755,124.8451,0.000000
1,0,35,734931.2,7171858.5,577.6,94.9,0.0,0.0,1298312.,527529.9,169231.6,35148.49,7525.956,6939.785,4323.317,1279.264,199.3502,0.000000,2004062.,1099379.,541386.3,231096.0,82420.83,22834.68,4908.698,1022.331,151.8256,0.000000
1,0,36,734931.4,7171908.5,577.1,94.9,0.0,0.0,1326254.,512462.2,165734.2,41668.85,12551.48,7825.095,4157.344,1216.816,191.5695,0.000000,2010282.,1051670.,475333.2,185475.9,64033.20,19618.16,5174.924,1182.307,176.0210,0.000000
1,0,37,734931.4,7171958.5,577.2,94.9,0.0,0.0,1337042.,476507.2,152442.1,43865.85,15167.28,7738.323,3667.462,1067.717,169.7317,0.000000,2050063.,1035278.,442726.6,162706.2,55137.46,18136.44,5386.760,1291.407,193.0237,0.000000
1,0,38,734931.4,7172008.5,577.1,94.9,0.0,0.0,1327016.,419814.6,123948.1,38136.59,14433.52,6798.062,3031.182,885.6505,142.8558,0.000000,2065525.,1018238.,422385.8,150990.7,50908.72,17321.64,5425.724,1329.957,198.8428,0.000000
1,0,39,734931.5,7172058.5,577.1,94.9,0.0,0.0,1400703.,382928.2,93010.48,28322.63,11758.72,5493.518,2401.540,709.0206,115.7281,0.000000,2058132.,986871.7,400084.3,142117.6,48217.83,16627.69,5317.058,1315.258,195.9572,0.000000
1,0,40,734931.6,7172108.5,572.9,94.9,0.0,0.0,1576894.,390453.6,71851.47,18958.00,8764.108,4293.805,1911.682,580.8953,98.60831,0.000000,2136531.,968104.8,375362.1,133054.2,45768.11,15898.33,5119.651,1269.386,188.3214,0.000000
1,0,41,734931.6,7172158.5,573.2,94.9,0.0,0.0,1628026.,398843.0,60986.25,11867.86,5898.187,3164.092,1479.678,465.1481,81.15268,0.000000,2240041.,955088.2,345767.4,121962.7,42920.38,15076.18,4890.074,1219.837,182.4721,0.000000
1,0,42,734931.6,7172208.5,573.1,94.9,0.0,0.0,1564844.,388519.8,58111.91,8199.485,3782.954,2282.259,1147.507,376.2886,67.83893,0.000000,2275836.,940280.0,318854.6,110969.9,39889.70,14169.99,4615.978,1153.862,172.4639,0.000000
1,0,43,734931.7,7172258.5,573.0,94.9,0.0,0.0,1504436.,374109.3,60259.56,7020.407,2319.042,1611.469,892.9463,307.8085,57.72504,0.000000,2240308.,913300.6,297686.8,102004.7,37211.98,13356.06,4373.470,1096.245,164.1883,0.000000
1,0,44,734931.8,7172308.5,573.6,94.9,0.0,0.0,1465672.,365125.4,65224.54,7246.123,1298.767,1085.202,690.5811,253.0682,49.56460,0.000000,2184497.,881323.7,283209.6,95410.01,34938.13,12642.27,4155.349,1043.885,156.4679,0.000000
1,0,45,734931.8,7172358.5,570.2,94.9,0.0,0.0,1481421.,368733.9,71265.96,8001.797,587.0621,678.3579,532.3939,210.2163,43.58509,0.000000,2180972.,870832.4,279401.1,91826.43,33227.26,12054.37,3974.590,999.9531,149.9732,0.000000
1,0,46,734931.9,7172408.5,568.9,94.9,0.0,0.0,1476889.,367879.5,74237.70,8419.595,62.29140,356.4054,404.6292,175.5190,38.65730,0.000000,2206722.,875627.7,282754.8,90350.15,31945.38,11580.84,3824.464,964.8229,145.6519,0.000000
1,0,47,734931.9,7172458.5,569.1,94.9,0.0,0.0,1382760.,346973.2,71100.92,7876.277,-440.3784,47.06208,270.3544,133.5614,30.71229,0.000000,2190643.,875962.9,286816.7,89521.95,30820.39,11121.46,3676.097,927.1201,139.8682,0.000000
1,0,48,734932.0,7172508.5,569.1,94.9,0.0,0.0,1318688.,330430.6,67474.87,7522.386,-640.2154,-122.8973,192.0898,111.7453,27.84892,0.000000,2170585.,881825.1,292829.0,89633.64,30041.18,10758.17,3545.246,892.5667,134.5257,0.000000
1,0,49,734932.1,7172558.5,569.1,94.9,0.0,0.0,1313838.,332510.3,66738.56,7506.274,-817.7856,-319.1450,95.45891,80.40422,21.86628,0.000000,2128092.,884692.1,298298.9,90078.02,29451.06,10429.69,3421.307,856.9816,128.0255,0.000000
1,0,50,734932.1,7172608.5,569.0,94.9,0.0,0.0,1393485.,365435.2,73606.89,9235.039,-486.6362,-310.2274,91.40134,85.31020,25.72957,0.000000,2102367.,892508.4,304278.0,91015.41,29131.73,10207.42,3332.394,833.0312,124.3530,0.000000
