 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11240 3787 729521.19 7168019.5 560.4482440846768 99.88125717287699 0.0 54791.61 227326.0 172660.0 116390.0 65546.0 27688.0 8356.0 1418.0 -97.0 -81.0 0.0 262529.0 215739.0 162334.0 103202.0 53563.0 21086.0 5946.0 1097.0 220.0 0.0
 1 11240 3788 729521.0 7168031.5 560.7451852270302 99.8868586931426 0.0 54801.66 226790.0 172075.0 116303.0 65733.0 28099.0 8570.0 1468.0 -79.0 -81.0 0.0 262742.0 216838.0 163816.0 104588.0 54560.0 21529.0 6046.0 1099.0 212.0 0.0
 1 11240 3789 729520.81 7168043.5 561.0280449408931 99.8595557095903 0.0 54811.43 226536.0 171515.0 116221.0 65896.0 28499.0 8781.0 1524.0 -54.0 -76.0 0.0 262961.0 217949.0 165230.0 105960.0 55537.0 21977.0 6146.0 1101.0 205.0 0.0
 1 11240 3790 729520.63 7168055.5 561.2661461470492 99.79256601826948 0.0 54820.9 226527.0 171014.0 116163.0 66061.0 28891.0 8987.0 1583.0 -24.0 -68.0 0.0 263188.0 219073.0 166571.0 107310.0 56484.0 22424.0 6244.0 1104.0 197.0 0.0
 1 11240 3791 729520.44 7168067.5 561.4291647223779 99.69158779588716 0.0 54829.66 226703.0 170601.0 116136.0 66247.0 29275.0 9186.0 1645.0 8.0 -57.0 0.0 263423.0 220211.0 167840.0 108639.0 57401.0 22866.0 6339.0 1107.0 190.0 0.0
 1 11240 3792 729520.25 7168079.5 561.4887208443834 99.58164844749226 0.0 54837.18 226991.0 170300.0 116137.0 66463.0 29648.0 9372.0 1709.0 44.0 -44.0 0.0 263669.0 221364.0 169050.0 109948.0 58289.0 23302.0 6428.0 1110.0 184.0 0.0
 1 11240 3793 729520.13 7168091.5 561.4487745101355 99.50203448374545 0.0 54843.56 227328.0 170120.0 116161.0 66710.0 30006.0 9544.0 1774.0 84.0 -29.0 0.0 263931.0 222527.0 170213.0 111239.0 59152.0 23729.0 6512.0 1115.0 178.0 0.0
 1 11240 3794 729520.06 7168103.5 561.3325283404973 99.49054666646107 0.0 54848.53 227662.0 170060.0 116203.0 66987.0 30350.0 9702.0 1841.0 127.0 -11.0 0.0 264215.0 223689.0 171345.0 112514.0 59991.0 24144.0 6588.0 1119.0 172.0 0.0
 1 11240 3795 729519.94 7168115.5 561.1654917769371 99.56549496109139 0.0 54852.27 227964.0 170105.0 116259.0 67289.0 30679.0 9845.0 1908.0 176.0 9.0 0.0 264525.0 224829.0 172455.0 113772.0 60813.0 24540.0 6658.0 1125.0 167.0 0.0
 1 11240 3796 729519.81 7168128.0 560.9599563707357 99.71623139132072 0.0 54854.77 228220.0 170231.0 116326.0 67607.0 30994.0 9976.0 1975.0 228.0 34.0 0.0 264864.0 225914.0 173551.0 115011.0 61620.0 24912.0 6720.0 1130.0 161.0 0.0
 1 11240 3797 729519.69 7168140.5 560.7463302050078 99.9082622560472 0.0 54856.29 228429.0 170413.0 116408.0 67935.0 31296.0 10097.0 2041.0 283.0 62.0 0.0 265229.0 226906.0 174639.0 116231.0 62419.0 25255.0 6776.0 1134.0 156.0 0.0
 1 11240 3798 729519.56 7168153.0 560.5502720261933 100.09984831110559 0.0 54857.08 228596.0 170628.0 116508.0 68269.0 31582.0 10206.0 2104.0 337.0 94.0 0.0 265618.0 227768.0 175720.0 117432.0 63215.0 25569.0 6825.0 1138.0 151.0 0.0
 1 11240 3799 729519.44 7168165.5 560.3957772138923 100.260166405918 0.0 54857.62 228729.0 170861.0 116632.0 68605.0 31847.0 10301.0 2161.0 388.0 129.0 0.0 266023.0 228481.0 176796.0 118617.0 64011.0 25856.0 6868.0 1140.0 146.0 0.0
 1 11240 3800 729519.31 7168178.0 560.3039008325538 100.37943812547358 0.0 54858.0 228838.0 171103.0 116785.0 68940.0 32081.0 10375.0 2206.0 433.0 165.0 0.0 266440.0 229045.0 177866.0 119790.0 64810.0 26124.0 6905.0 1139.0 141.0 0.0
 1 11240 3801 729519.19 7168190.5 560.2405560465535 100.46674632882267 0.0 54858.61 228932.0 171352.0 116968.0 69271.0 32276.0 10423.0 2236.0 467.0 199.0 0.0 266861.0 229481.0 178929.0 120953.0 65613.0 26379.0 6936.0 1136.0 135.0 0.0
 1 11240 3802 729519.06 7168203.0 560.1912254458667 100.53908418959178 0.0 54859.56 229023.0 171612.0 117182.0 69599.0 32427.0 10442.0 2246.0 488.0 227.0 0.0 267279.0 229818.0 179982.0 122109.0 66420.0 26626.0 6961.0 1130.0 130.0 0.0
 1 11240 3803 729518.94 7168215.5 560.1517434855946 100.60973275215332 0.0 54860.95 229126.0 171885.0 117426.0 69923.0 32533.0 10430.0 2236.0 494.0 246.0 0.0 267684.0 230087.0 181019.0 123259.0 67229.0 26872.0 6980.0 1121.0 124.0 0.0
 1 11240 3804 729518.81 7168228.0 560.1194318260526 100.68322699986545 0.0 54862.62 229256.0 172179.0 117706.0 70245.0 32603.0 10391.0 2206.0 484.0 254.0 0.0 268062.0 230312.0 182033.0 124401.0 68038.0 27119.0 6993.0 1111.0 119.0 0.0
 1 11240 3805 729518.69 7168240.5 560.090416191695 100.75820564143373 0.0 54864.42 229428.0 172506.0 118029.0 70569.0 32645.0 10331.0 2160.0 460.0 251.0 0.0 268399.0 230509.0 183010.0 125528.0 68841.0 27366.0 7001.0 1098.0 113.0 0.0
 1 11240 3806 729518.56 7168253.0 560.0620873101085 100.83349264210632 0.0 54866.48 229653.0 172882.0 118407.0 70901.0 32673.0 10257.0 2102.0 422.0 237.0 0.0 268672.0 230689.0 183935.0 126630.0 69628.0 27612.0 7005.0 1083.0 107.0 0.0
 1 11240 3807 729518.44 7168265.5 560.0308713826724 100.91087241140258 0.0 54868.74 229934.0 173323.0 118856.0 71247.0 32692.0 10174.0 2037.0 375.0 215.0 0.0 268856.0 230860.0 184791.0 127690.0 70384.0 27848.0 7007.0 1067.0 100.0 0.0
