 East  ,  RL  ,  Delpar	 
      25.0,     556.1,     -0.00
      25.0,     546.1,     -0.01
      25.0,     536.1,     -0.03
      25.0,     526.1,     -0.04
      25.0,     516.1,     -0.03
      25.0,     503.6,      0.01
      25.0,     486.1,      0.05
      25.0,     465.5,      0.04
      25.0,     443.6,      0.02
      25.0,     420.5,      0.01
      25.0,     395.9,      0.00
      25.0,     369.9,     -0.00
      25.0,     342.4,     -0.00
      25.0,     313.1,     -0.00
      25.0,     282.2,     -0.00
      25.0,     249.3,     -0.00
      25.0,     214.5,     -0.00
      25.0,     176.8,     -0.00
      25.0,     136.0,     -0.00
      25.0,      92.9,     -0.00
      25.0,      47.3,     -0.00
      25.0,      -1.0,     -0.00
      75.0,     556.0,      0.02
      75.0,     546.0,      0.02
      75.0,     536.0,      0.00
      75.0,     526.0,     -0.01
      75.0,     516.0,     -0.02
      75.0,     503.5,     -0.02
      75.0,     486.0,     -0.01
      75.0,     465.4,      0.00
      75.0,     443.6,      0.00
      75.0,     420.4,     -0.00
      75.0,     395.9,     -0.00
      75.0,     369.9,     -0.00
      75.0,     342.3,     -0.00
      75.0,     313.1,     -0.00
      75.0,     282.1,     -0.00
      75.0,     249.3,     -0.00
      75.0,     214.5,     -0.00
      75.0,     176.7,     -0.00
      75.0,     136.0,     -0.00
      75.0,      92.8,     -0.00
      75.0,      47.2,     -0.00
      75.0,      -1.0,     -0.00
     125.0,     555.7,      0.01
     125.0,     545.7,      0.01
     125.0,     535.7,      0.01
     125.0,     525.7,      0.00
     125.0,     515.7,     -0.01
     125.0,     503.2,     -0.02
     125.0,     485.7,     -0.02
     125.0,     465.1,     -0.02
     125.0,     443.3,     -0.01
     125.0,     420.1,     -0.01
     125.0,     395.6,     -0.01
     125.0,     369.6,     -0.01
     125.0,     342.0,     -0.00
     125.0,     312.8,     -0.00
     125.0,     281.8,     -0.00
     125.0,     249.0,     -0.00
     125.0,     214.2,     -0.00
     125.0,     176.5,     -0.00
     125.0,     135.8,     -0.00
     125.0,      92.7,     -0.00
     125.0,      47.2,     -0.00
     125.0,      -1.0,     -0.00
     175.0,     555.4,     -0.01
     175.0,     545.4,     -0.01
     175.0,     535.4,      0.01
     175.0,     525.4,      0.00
     175.0,     515.4,     -0.01
     175.0,     502.9,     -0.02
     175.0,     485.4,     -0.02
     175.0,     464.8,     -0.02
     175.0,     442.9,     -0.01
     175.0,     419.8,     -0.01
     175.0,     395.3,     -0.01
     175.0,     369.3,     -0.01
     175.0,     341.7,     -0.00
     175.0,     312.5,     -0.00
     175.0,     281.5,     -0.00
     175.0,     248.7,     -0.00
     175.0,     213.9,     -0.00
     175.0,     176.2,     -0.00
     175.0,     135.5,     -0.00
     175.0,      92.5,     -0.00
     175.0,      47.1,     -0.00
     175.0,      -1.1,     -0.00
     225.0,     555.1,      0.01
     225.0,     545.1,      0.01
     225.0,     535.1,      0.01
     225.0,     525.1,      0.01
     225.0,     515.1,      0.01
     225.0,     502.6,     -0.00
     225.0,     485.1,     -0.01
     225.0,     464.5,     -0.01
     225.0,     442.7,     -0.01
     225.0,     419.5,     -0.01
     225.0,     395.0,     -0.01
     225.0,     369.0,     -0.01
     225.0,     341.4,     -0.01
     225.0,     312.2,     -0.00
     225.0,     281.2,     -0.00
     225.0,     248.4,     -0.00
     225.0,     213.6,     -0.00
     225.0,     176.0,     -0.00
     225.0,     135.4,     -0.00
     225.0,      92.4,     -0.00
     225.0,      47.0,     -0.00
