Line,Location,RL,East,North,Res_ohmm,Log_Res, Conductivity_Ms_m,Log_Cond
11240,25.0,556.1,729521.25,7168044.50,8.35,0.92,119.69,2.08
11240,25.0,546.1,729521.25,7168044.50,8.75,0.94,114.24,2.06
11240,25.0,536.1,729521.25,7168044.50,8.18,0.91,122.29,2.09
11240,25.0,526.1,729521.25,7168044.50,6.35,0.80,157.57,2.20
11240,25.0,516.1,729521.25,7168044.50,4.17,0.62,239.68,2.38
11240,25.0,503.6,729521.25,7168044.50,2.05,0.31,488.15,2.69
11240,25.0,486.1,729521.25,7168044.50,1.66,0.22,603.67,2.78
11240,25.0,465.5,729521.25,7168044.50,5.82,0.76,171.93,2.24
11240,25.0,443.6,729521.25,7168044.50,24.60,1.39,40.65,1.61
11240,25.0,420.5,729521.25,7168044.50,76.53,1.88,13.07,1.12
11240,25.0,395.9,729521.25,7168044.50,172.65,2.24,5.79,0.76
11240,25.0,369.9,729521.25,7168044.50,303.53,2.48,3.29,0.52
11240,25.0,342.4,729521.25,7168044.50,446.84,2.65,2.24,0.35
11240,25.0,313.1,729521.25,7168044.50,581.62,2.76,1.72,0.24
11240,25.0,282.2,729521.25,7168044.50,695.72,2.84,1.44,0.16
11240,25.0,249.3,729521.25,7168044.50,785.28,2.90,1.27,0.10
11240,25.0,214.5,729521.25,7168044.50,852.23,2.93,1.17,0.07
11240,25.0,176.8,729521.25,7168044.50,902.52,2.96,1.11,0.04
11240,25.0,136.0,729521.25,7168044.50,937.20,2.97,1.07,0.03
11240,25.0,92.9,729521.25,7168044.50,960.52,2.98,1.04,0.02
11240,25.0,47.3,729521.25,7168044.50,975.53,2.99,1.03,0.01
11240,25.0,-1.0,729521.25,7168044.50,983.66,2.99,1.02,0.01
11240,75.0,556.0,729521.50,7168094.50,15.30,1.18,65.37,1.82
11240,75.0,546.0,729521.50,7168094.50,15.74,1.20,63.55,1.80
11240,75.0,536.0,729521.50,7168094.50,17.00,1.23,58.81,1.77
11240,75.0,526.0,729521.50,7168094.50,18.42,1.27,54.29,1.73
11240,75.0,516.0,729521.50,7168094.50,18.91,1.28,52.89,1.72
11240,75.0,503.5,729521.50,7168094.50,17.95,1.25,55.72,1.75
11240,75.0,486.0,729521.50,7168094.50,17.41,1.24,57.45,1.76
11240,75.0,465.4,729521.50,7168094.50,25.76,1.41,38.82,1.59
11240,75.0,443.6,729521.50,7168094.50,51.84,1.71,19.29,1.29
11240,75.0,420.4,729521.50,7168094.50,107.99,2.03,9.26,0.97
11240,75.0,395.9,729521.50,7168094.50,201.46,2.30,4.96,0.70
11240,75.0,369.9,729521.50,7168094.50,325.12,2.51,3.08,0.49
11240,75.0,342.3,729521.50,7168094.50,461.10,2.66,2.17,0.34
11240,75.0,313.1,729521.50,7168094.50,590.50,2.77,1.69,0.23
11240,75.0,282.1,729521.50,7168094.50,701.43,2.85,1.43,0.15
11240,75.0,249.3,729521.50,7168094.50,789.57,2.90,1.27,0.10
11240,75.0,214.5,729521.50,7168094.50,856.00,2.93,1.17,0.07
11240,75.0,176.7,729521.50,7168094.50,906.04,2.96,1.10,0.04
11240,75.0,136.0,729521.50,7168094.50,940.56,2.97,1.06,0.03
11240,75.0,92.8,729521.50,7168094.50,963.71,2.98,1.04,0.02
11240,75.0,47.2,729521.50,7168094.50,978.54,2.99,1.02,0.01
11240,75.0,-1.0,729521.50,7168094.50,986.32,2.99,1.01,0.01
11240,125.0,555.7,729521.62,7168144.50,21.88,1.34,45.70,1.66
11240,125.0,545.7,729521.62,7168144.50,17.30,1.24,57.82,1.76
11240,125.0,535.7,729521.62,7168144.50,15.49,1.19,64.55,1.81
11240,125.0,525.7,729521.62,7168144.50,18.37,1.26,54.43,1.74
11240,125.0,515.7,729521.62,7168144.50,24.76,1.39,40.39,1.61
11240,125.0,503.2,729521.62,7168144.50,37.56,1.57,26.63,1.43
11240,125.0,485.7,729521.62,7168144.50,52.24,1.72,19.14,1.28
11240,125.0,465.1,729521.62,7168144.50,68.92,1.84,14.51,1.16
11240,125.0,443.3,729521.62,7168144.50,100.43,2.00,9.96,1.00
11240,125.0,420.1,729521.62,7168144.50,157.19,2.20,6.36,0.80
11240,125.0,395.6,729521.62,7168144.50,243.97,2.39,4.10,0.61
11240,125.0,369.6,729521.62,7168144.50,355.93,2.55,2.81,0.45
11240,125.0,342.0,729521.62,7168144.50,480.07,2.68,2.08,0.32
11240,125.0,312.8,729521.62,7168144.50,601.16,2.78,1.66,0.22
11240,125.0,281.8,729521.62,7168144.50,707.79,2.85,1.41,0.15
11240,125.0,249.0,729521.62,7168144.50,794.37,2.90,1.26,0.10
11240,125.0,214.2,729521.62,7168144.50,860.63,2.93,1.16,0.07
11240,125.0,176.5,729521.62,7168144.50,910.94,2.96,1.10,0.04
11240,125.0,135.8,729521.62,7168144.50,945.69,2.98,1.06,0.02
11240,125.0,92.7,729521.62,7168144.50,968.93,2.99,1.03,0.01
11240,125.0,47.2,729521.62,7168144.50,983.36,2.99,1.02,0.01
11240,125.0,-1.0,729521.62,7168144.50,990.95,3.00,1.01,0.00
11240,175.0,555.4,729521.88,7168194.50,27.88,1.45,35.87,1.55
11240,175.0,545.4,729521.88,7168194.50,14.66,1.17,68.23,1.83
11240,175.0,535.4,729521.88,7168194.50,7.99,0.90,125.15,2.10
11240,175.0,525.4,729521.88,7168194.50,8.45,0.93,118.36,2.07
11240,175.0,515.4,729521.88,7168194.50,14.13,1.15,70.76,1.85
11240,175.0,502.9,729521.88,7168194.50,33.21,1.52,30.12,1.48
11240,175.0,485.4,729521.88,7168194.50,69.72,1.84,14.34,1.16
11240,175.0,464.8,729521.88,7168194.50,105.06,2.02,9.52,0.98
