Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,3806,729518.6,7168253.0,560.1,100.9,0.0,0.0,23002.41,6105.584,1525.957,406.9266,116.4303,39.47865,16.12388,4.803785,0.6926182,0.000000,57277.58,18860.54,6257.143,2161.674,790.9247,289.6652,98.83131,28.65709,6.108602,0.000000
1,1,3809,729518.2,7168290.5,560.0,101.1,0.0,0.0,21161.91,5783.022,1475.288,370.0931,95.53903,31.82417,13.74232,4.355843,0.6334077,0.000000,58921.47,19689.80,6449.289,2196.519,795.2135,291.7080,99.76342,29.01244,6.165051,0.000000
1,1,3812,729518.1,7168326.5,560.0,101.0,0.0,0.0,19576.87,5436.787,1444.363,353.4044,84.20840,27.45148,11.94799,4.034993,0.5889873,0.000000,59259.66,20172.17,6591.572,2218.163,794.6313,291.5309,100.0897,29.20682,6.193136,0.000000
1,1,3815,729517.9,7168362.5,560.0,100.8,0.0,0.0,18096.79,5050.017,1397.182,344.0425,78.05005,24.03697,10.81534,3.801970,0.5610343,0.000000,58769.80,20400.03,6711.830,2236.118,791.9222,290.4467,100.0101,29.31285,6.204475,0.000000
1,1,3818,729517.8,7168398.5,560.3,100.7,0.0,0.0,16677.05,4644.484,1331.424,335.7861,74.45078,21.55487,10.00582,3.631158,0.5454675,0.000000,57724.53,20410.86,6802.404,2252.814,789.2139,288.9688,99.81839,29.37978,6.211370,0.000000
1,1,3821,729517.9,7168434.5,560.7,100.6,0.0,0.0,15334.72,4251.766,1258.256,326.3701,71.90881,20.29994,9.179132,3.495760,0.5350510,0.000000,56316.02,20248.58,6852.061,2267.585,787.5042,287.3663,99.70946,29.44474,6.222875,0.000000
1,1,3824,729517.9,7168472.5,560.9,100.5,0.0,0.0,14099.21,3864.731,1167.170,314.1437,69.99629,18.59728,8.655972,3.372715,0.5285331,0.000000,54638.18,19969.41,6880.208,2281.883,786.0265,286.1813,99.48955,29.52656,6.235782,0.000000
1,1,3827,729517.9,7168510.0,560.8,100.6,0.0,0.0,13067.34,3529.945,1076.129,299.9065,68.22417,17.50244,8.128821,3.267042,0.5255396,0.000000,52943.29,19618.15,6877.644,2293.035,785.3062,284.9307,99.33418,29.59520,6.241558,0.000000
1,1,3830,729517.6,7168547.5,560.4,100.6,0.0,0.0,12239.07,3250.409,990.7923,284.4229,66.28656,16.87015,7.571064,3.169783,0.5204525,0.000000,51371.62,19243.77,6853.014,2301.731,785.4875,283.7324,99.25566,29.66838,6.252914,0.000000
1,1,3833,729517.2,7168585.0,559.9,100.6,0.0,0.0,11624.03,3020.142,909.0406,268.4921,64.33378,15.65697,7.257384,3.072649,0.5104751,0.000000,49982.53,18884.84,6820.072,2308.574,785.8409,283.0909,99.10370,29.77010,6.280914,0.000000
1,1,3836,729516.8,7168621.0,559.4,100.9,0.0,0.0,11139.93,2839.919,840.7297,252.7177,62.39190,15.23761,6.805017,2.984537,0.5055569,0.000000,48657.36,18501.00,6759.884,2309.007,785.5909,282.0258,99.00510,29.83284,6.294849,0.000000
1,1,3839,729516.1,7168657.0,558.9,101.3,0.0,0.0,10800.78,2701.353,781.3948,237.6574,60.47563,14.71338,6.441245,2.897424,0.5008965,0.000000,47523.29,18144.05,6694.569,2307.069,785.3792,281.1977,98.86768,29.89675,6.307589,0.000000
1,1,3842,729515.3,7168693.0,558.5,101.2,0.0,0.0,10615.36,2603.237,731.1141,223.9714,58.62684,13.89456,6.206934,2.810208,0.4933454,0.000000,46682.09,17850.91,6636.427,2305.038,785.5939,280.7550,98.72264,29.98066,6.328661,0.000000
1,1,3845,729514.4,7168729.5,558.2,101.1,0.0,0.0,10498.65,2535.151,692.0023,211.1491,56.77607,13.74981,5.800549,2.725768,0.4858907,0.000000,45956.21,17567.24,6567.440,2299.766,785.6053,279.8748,98.69228,30.04892,6.348557,0.000000
1,1,3848,729513.7,7168767.0,558.1,101.4,0.0,0.0,10398.90,2481.659,658.3267,199.3344,55.00411,13.26359,5.524628,2.638190,0.4761804,0.000000,45138.62,17249.13,6481.667,2288.227,784.3037,279.1156,98.46038,30.10098,6.366962,0.000000
1,1,3851,729513.0,7168804.5,558.3,102.1,0.0,0.0,10300.67,2442.199,631.9690,189.1001,53.41302,12.78019,5.298698,2.553842,0.4683086,0.000000,44247.52,16905.64,6381.902,2271.069,781.7485,278.1260,98.13422,30.12537,6.376532,0.000000
1,1,3854,729512.5,7168842.0,558.7,103.0,0.0,0.0,10212.70,2418.264,614.2545,180.5657,51.98724,12.70899,5.001997,2.474839,0.4647907,0.000000,43375.98,16563.82,6275.761,2250.775,778.6362,276.7330,97.86267,30.13005,6.380801,0.000000
1,1,3857,729512.2,7168879.5,558.9,103.9,0.0,0.0,10166.95,2408.622,602.2717,173.8892,50.72718,12.37942,4.821141,2.394140,0.4600878,0.000000,42623.03,16261.87,6178.353,2230.510,775.6312,275.7721,97.51977,30.15053,6.397010,0.000000
1,1,3860,729512.2,7168916.0,558.8,104.4,0.0,0.0,10212.58,2423.240,599.1275,169.2859,49.76717,12.26327,4.608586,2.316093,0.4497420,0.000000,42228.45,16063.67,6106.390,2215.647,773.8124,274.9922,97.31477,30.18404,6.415977,0.000000
1,1,3863,729512.7,7168952.0,558.6,104.1,0.0,0.0,10332.75,2456.287,602.0839,166.3989,49.13016,12.19590,4.421241,2.243463,0.4376240,0.000000,42154.76,15960.19,6059.494,2206.015,773.1167,274.5639,97.18040,30.22627,6.432896,0.000000
1,1,3866,729513.5,7168988.0,558.5,103.7,0.0,0.0,10466.00,2494.594,607.6137,164.7367,48.69458,11.98657,4.313642,2.174697,0.4275123,0.000000,42220.05,15904.13,6026.375,2198.537,772.8917,274.4920,97.02197,30.27533,6.448599,0.000000
1,1,3869,729514.8,7169024.0,558.4,103.5,0.0,0.0,10540.66,2527.469,615.5679,163.7977,48.23070,12.03684,4.134383,2.104629,0.4168796,0.000000,42245.85,15844.68,5991.254,2190.142,772.4760,274.0749,96.94193,30.32385,6.463856,0.000000
1,1,3872,729516.3,7169060.0,558.5,103.3,0.0,0.0,10526.95,2545.299,622.0143,163.2587,47.78866,12.00034,3.997292,2.036760,0.4062683,0.000000,42109.30,15755.44,5950.121,2179.264,771.3123,273.6438,96.77010,30.35632,6.479469,0.000000
1,1,3875,729518.1,7169096.0,558.7,103.7,0.0,0.0,10433.46,2547.801,626.2528,162.9560,47.40028,11.85670,3.906034,1.967676,0.3949718,0.000000,41805.59,15635.88,5903.545,2166.300,769.4122,273.2095,96.51879,30.37370,6.491984,0.000000
1,1,3878,729520.2,7169132.5,559.3,104.0,0.0,0.0,10304.25,2543.255,630.5741,162.9025,47.02919,11.87066,3.764203,1.891935,0.3820071,0.000000,41461.14,15515.41,5857.762,2153.661,767.4621,272.5641,96.34557,30.39262,6.500721,0.000000
1,1,3881,729522.6,7169170.0,559.7,104.0,0.0,0.0,10204.48,2538.641,634.2422,163.2571,46.70824,11.75593,3.665260,1.821255,0.3706764,0.000000,41263.44,15447.03,5828.909,2144.920,766.4432,272.3482,96.16457,30.42126,6.518435,0.000000
1,1,3884,729524.9,7169207.5,559.3,104.3,0.0,0.0,10057.41,2520.892,635.5377,163.4698,46.30107,11.66142,3.551747,1.745987,0.3564001,0.000000,40913.29,15345.15,5792.843,2134.424,764.9027,271.9170,95.96426,30.43059,6.529105,0.000000
1,1,3887,729527.3,7169244.5,558.6,104.8,0.0,0.0,9945.485,2504.790,636.9316,163.8725,45.91657,11.62521,3.423028,1.667273,0.3401177,0.000000,40667.39,15275.09,5766.979,2126.912,763.9685,271.5432,95.84748,30.44436,6.533778,0.000000
1,1,3890,729529.8,7169280.0,558.1,103.3,0.0,0.0,10046.38,2519.957,642.1938,165.3151,45.81590,11.46258,3.367820,1.604502,0.3296892,0.000000,41139.33,15401.86,5797.191,2133.834,766.4919,272.3200,95.90260,30.51595,6.553539,0.000000
1,1,3893,729532.1,7169316.0,558.1,101.5,0.0,0.0,10147.60,2531.927,647.2827,166.7310,45.68515,11.42698,3.277471,1.544722,0.3207962,0.000000,41675.10,15540.67,5830.342,2142.152,769.3738,272.9975,96.02109,30.59156,6.573567,0.000000
1,1,3896,729534.5,7169352.0,558.1,100.8,0.0,0.0,10158.83,2523.977,648.3839,167.6121,45.41645,11.36913,3.191965,1.480172,0.3104714,0.000000,41924.02,15598.74,5842.809,2145.487,770.9592,273.3135,96.05084,30.64080,6.588322,0.000000
1,1,3899,729536.8,7169388.0,558.0,100.3,0.0,0.0,10115.94,2502.936,646.2311,168.1764,45.07339,11.16554,3.148013,1.410197,0.2975458,0.000000,41950.55,15594.88,5840.894,2145.277,771.5513,273.5461,95.97765,30.66822,6.600526,0.000000
1,1,3902,729539.0,7169424.5,557.5,100.0,0.0,0.0,10068.01,2482.844,645.6491,168.8143,44.72924,11.09378,3.050714,1.340536,0.2821815,0.000000,41934.86,15570.05,5833.024,2144.523,771.9698,273.5763,95.96206,30.68889,6.610825,0.000000
1,1,3905,729540.9,7169462.0,557.1,99.6,0.0,0.0,10031.35,2465.853,645.5240,169.6904,44.49274,10.95266,2.987622,1.273596,0.2676736,0.000000,41895.60,15533.90,5824.279,2143.826,772.2806,273.6955,95.90422,30.71352,6.622941,0.000000
1,1,3908,729542.6,7169499.5,557.1,99.1,0.0,0.0,10014.35,2456.739,647.3409,170.9597,44.31814,10.77201,2.943615,1.208067,0.2520908,0.000000,41849.76,15492.56,5816.069,2143.640,772.7104,273.8537,95.84385,30.73709,6.635028,0.000000
1,1,3911,729543.9,7169537.0,557.5,98.3,0.0,0.0,10026.90,2461.495,653.6631,172.7834,44.14209,10.70171,2.854683,1.137823,0.2315707,0.000000,41829.56,15454.93,5809.500,2144.691,773.5342,273.8994,95.86926,30.75580,6.643517,0.000000
