Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,25.0,556.1,729521.25,7168044.50,411.03,2.61,2.43,0.39
1,25.0,546.1,729521.25,7168044.50,413.76,2.62,2.42,0.38
1,25.0,536.1,729521.25,7168044.50,419.19,2.62,2.39,0.38
1,25.0,526.1,729521.25,7168044.50,427.18,2.63,2.34,0.37
1,25.0,516.1,729521.25,7168044.50,437.54,2.64,2.29,0.36
1,25.0,503.6,729521.25,7168044.50,457.27,2.66,2.19,0.34
1,25.0,486.1,729521.25,7168044.50,489.46,2.69,2.04,0.31
1,25.0,465.5,729521.25,7168044.50,530.17,2.72,1.89,0.28
1,25.0,443.6,729521.25,7168044.50,579.00,2.76,1.73,0.24
1,25.0,420.5,729521.25,7168044.50,633.92,2.80,1.58,0.20
1,25.0,395.9,729521.25,7168044.50,691.99,2.84,1.45,0.16
1,25.0,369.9,729521.25,7168044.50,749.64,2.87,1.33,0.13
1,25.0,342.4,729521.25,7168044.50,803.40,2.90,1.24,0.10
1,25.0,313.1,729521.25,7168044.50,850.57,2.93,1.18,0.07
1,25.0,282.2,729521.25,7168044.50,889.72,2.95,1.12,0.05
1,25.0,249.3,729521.25,7168044.50,920.70,2.96,1.09,0.04
1,25.0,214.5,729521.25,7168044.50,944.22,2.98,1.06,0.02
1,25.0,176.8,729521.25,7168044.50,962.22,2.98,1.04,0.02
1,25.0,136.0,729521.25,7168044.50,974.83,2.99,1.03,0.01
1,25.0,92.9,729521.25,7168044.50,983.34,2.99,1.02,0.01
1,25.0,47.3,729521.25,7168044.50,988.73,3.00,1.01,0.00
1,25.0,-1.0,729521.25,7168044.50,991.54,3.00,1.01,0.00
1,75.0,556.0,729521.50,7168094.50,391.49,2.59,2.55,0.41
1,75.0,546.0,729521.50,7168094.50,394.37,2.60,2.54,0.40
1,75.0,536.0,729521.50,7168094.50,400.02,2.60,2.50,0.40
1,75.0,526.0,729521.50,7168094.50,408.26,2.61,2.45,0.39
1,75.0,516.0,729521.50,7168094.50,418.90,2.62,2.39,0.38
1,75.0,503.5,729521.50,7168094.50,439.09,2.64,2.28,0.36
1,75.0,486.0,729521.50,7168094.50,471.98,2.67,2.12,0.33
1,75.0,465.4,729521.50,7168094.50,513.69,2.71,1.95,0.29
1,75.0,443.6,729521.50,7168094.50,563.82,2.75,1.77,0.25
1,75.0,420.4,729521.50,7168094.50,620.35,2.79,1.61,0.21
1,75.0,395.9,729521.50,7168094.50,680.27,2.83,1.47,0.17
1,75.0,369.9,729521.50,7168094.50,739.89,2.87,1.35,0.13
1,75.0,342.3,729521.50,7168094.50,795.59,2.90,1.26,0.10
1,75.0,313.1,729521.50,7168094.50,844.53,2.93,1.18,0.07
1,75.0,282.1,729521.50,7168094.50,885.20,2.95,1.13,0.05
1,75.0,249.3,729521.50,7168094.50,917.40,2.96,1.09,0.04
1,75.0,214.5,729521.50,7168094.50,941.88,2.97,1.06,0.03
1,75.0,176.7,729521.50,7168094.50,960.62,2.98,1.04,0.02
1,75.0,136.0,729521.50,7168094.50,973.76,2.99,1.03,0.01
1,75.0,92.8,729521.50,7168094.50,982.64,2.99,1.02,0.01
1,75.0,47.2,729521.50,7168094.50,988.27,2.99,1.01,0.01
1,75.0,-1.0,729521.50,7168094.50,991.21,3.00,1.01,0.00
1,125.0,555.7,729521.62,7168144.50,372.93,2.57,2.68,0.43
1,125.0,545.7,729521.62,7168144.50,375.93,2.58,2.66,0.42
1,125.0,535.7,729521.62,7168144.50,381.75,2.58,2.62,0.42
1,125.0,525.7,729521.62,7168144.50,390.18,2.59,2.56,0.41
1,125.0,515.7,729521.62,7168144.50,400.98,2.60,2.49,0.40
1,125.0,503.2,729521.62,7168144.50,421.39,2.62,2.37,0.38
1,125.0,485.7,729521.62,7168144.50,454.55,2.66,2.20,0.34
1,125.0,465.1,729521.62,7168144.50,496.64,2.70,2.01,0.30
1,125.0,443.3,729521.62,7168144.50,547.39,2.74,1.83,0.26
1,125.0,420.1,729521.62,7168144.50,604.87,2.78,1.65,0.22
1,125.0,395.6,729521.62,7168144.50,666.12,2.82,1.50,0.18
1,125.0,369.6,729521.62,7168144.50,727.41,2.86,1.37,0.14
1,125.0,342.0,729521.62,7168144.50,785.00,2.89,1.27,0.11
1,125.0,312.8,729521.62,7168144.50,835.89,2.92,1.20,0.08
1,125.0,281.8,729521.62,7168144.50,878.42,2.94,1.14,0.06
1,125.0,249.0,729521.62,7168144.50,912.28,2.96,1.10,0.04
1,125.0,214.2,729521.62,7168144.50,938.14,2.97,1.07,0.03
1,125.0,176.5,729521.62,7168144.50,958.00,2.98,1.04,0.02
1,125.0,135.8,729521.62,7168144.50,971.98,2.99,1.03,0.01
1,125.0,92.7,729521.62,7168144.50,981.46,2.99,1.02,0.01
1,125.0,47.2,729521.62,7168144.50,987.49,2.99,1.01,0.01
1,125.0,-1.0,729521.62,7168144.50,990.65,3.00,1.01,0.00
1,175.0,555.4,729521.88,7168194.50,367.88,2.57,2.72,0.43
1,175.0,545.4,729521.88,7168194.50,370.79,2.57,2.70,0.43
1,175.0,535.4,729521.88,7168194.50,376.44,2.58,2.66,0.42
1,175.0,525.4,729521.88,7168194.50,384.62,2.59,2.60,0.41
1,175.0,515.4,729521.88,7168194.50,395.12,2.60,2.53,0.40
1,175.0,502.9,729521.88,7168194.50,414.94,2.62,2.41,0.38
1,175.0,485.4,729521.88,7168194.50,447.20,2.65,2.24,0.35
1,175.0,464.8,729521.88,7168194.50,488.27,2.69,2.05,0.31
1,175.0,442.9,729521.88,7168194.50,537.98,2.73,1.86,0.27
1,175.0,419.8,729521.88,7168194.50,594.61,2.77,1.68,0.23
1,175.0,395.3,729521.88,7168194.50,655.41,2.82,1.53,0.18
1,175.0,369.3,729521.88,7168194.50,716.76,2.86,1.40,0.14
1,175.0,341.7,729521.88,7168194.50,774.99,2.89,1.29,0.11
1,175.0,312.5,729521.88,7168194.50,827.00,2.92,1.21,0.08
1,175.0,281.5,729521.88,7168194.50,870.96,2.94,1.15,0.06
1,175.0,248.7,729521.88,7168194.50,906.35,2.96,1.10,0.04
1,175.0,213.9,729521.88,7168194.50,933.65,2.97,1.07,0.03
1,175.0,176.2,729521.88,7168194.50,954.78,2.98,1.05,0.02
1,175.0,135.5,729521.88,7168194.50,969.75,2.99,1.03,0.01
1,175.0,92.5,729521.88,7168194.50,979.96,2.99,1.02,0.01
1,175.0,47.1,729521.88,7168194.50,986.47,2.99,1.01,0.01
1,175.0,-1.1,729521.88,7168194.50,989.91,3.00,1.01,0.00
1,225.0,555.1,729522.00,7168244.50,379.60,2.58,2.63,0.42
1,225.0,545.1,729522.00,7168244.50,382.28,2.58,2.62,0.42
1,225.0,535.1,729522.00,7168244.50,387.48,2.59,2.58,0.41
1,225.0,525.1,729522.00,7168244.50,395.04,2.60,2.53,0.40
1,225.0,515.1,729522.00,7168244.50,404.78,2.61,2.47,0.39
1,225.0,502.6,729522.00,7168244.50,423.19,2.63,2.36,0.37
1,225.0,485.1,729522.00,7168244.50,453.27,2.66,2.21,0.34
1,225.0,464.5,729522.00,7168244.50,491.76,2.69,2.03,0.31
1,225.0,442.7,729522.00,7168244.50,538.61,2.73,1.86,0.27
1,225.0,419.5,729522.00,7168244.50,592.37,2.77,1.69,0.23
1,225.0,395.0,729522.00,7168244.50,650.61,2.81,1.54,0.19
1,225.0,369.0,729522.00,7168244.50,710.07,2.85,1.41,0.15
1,225.0,341.4,729522.00,7168244.50,767.28,2.88,1.30,0.12
1,225.0,312.2,729522.00,7168244.50,819.19,2.91,1.22,0.09
1,225.0,281.2,729522.00,7168244.50,863.79,2.94,1.16,0.06
1,225.0,248.4,729522.00,7168244.50,900.29,2.95,1.11,0.05
1,225.0,213.6,729522.00,7168244.50,928.88,2.97,1.08,0.03
1,225.0,176.0,729522.00,7168244.50,951.24,2.98,1.05,0.02
1,225.0,135.4,729522.00,7168244.50,967.25,2.99,1.03,0.01
1,225.0,92.4,729522.00,7168244.50,978.25,2.99,1.02,0.01
1,225.0,47.0,729522.00,7168244.50,985.32,2.99,1.01,0.01
1,225.0,-1.1,729522.00,7168244.50,989.05,3.00,1.01,0.00
1,275.0,555.0,729522.25,7168294.50,408.28,2.61,2.45,0.39
1,275.0,545.0,729522.25,7168294.50,410.47,2.61,2.44,0.39
1,275.0,535.0,729522.25,7168294.50,414.83,2.62,2.41,0.38
1,275.0,525.0,729522.25,7168294.50,421.28,2.62,2.37,0.38
1,275.0,515.0,729522.25,7168294.50,429.70,2.63,2.33,0.37
1,275.0,502.5,729522.25,7168294.50,445.79,2.65,2.24,0.35
1,275.0,485.0,729522.25,7168294.50,472.36,2.67,2.12,0.33
1,275.0,464.4,729522.25,7168294.50,506.76,2.70,1.97,0.30
1,275.0,442.6,729522.25,7168294.50,549.06,2.74,1.82,0.26
1,275.0,419.5,729522.25,7168294.50,598.15,2.78,1.67,0.22
1,275.0,394.9,729522.25,7168294.50,652.01,2.81,1.53,0.19
1,275.0,368.9,729522.25,7168294.50,707.83,2.85,1.41,0.15
1,275.0,341.3,729522.25,7168294.50,762.50,2.88,1.31,0.12
1,275.0,312.1,729522.25,7168294.50,813.11,2.91,1.23,0.09
1,275.0,281.1,729522.25,7168294.50,857.51,2.93,1.17,0.07
1,275.0,248.3,729522.25,7168294.50,894.59,2.95,1.12,0.05
1,275.0,213.5,729522.25,7168294.50,924.16,2.97,1.08,0.03
1,275.0,175.9,729522.25,7168294.50,947.63,2.98,1.06,0.02
1,275.0,135.3,729522.25,7168294.50,964.65,2.98,1.04,0.02
1,275.0,92.4,729522.25,7168294.50,976.45,2.99,1.02,0.01
1,275.0,47.0,729522.25,7168294.50,984.07,2.99,1.02,0.01
1,275.0,-1.1,729522.25,7168294.50,988.13,2.99,1.01,0.01
1,325.0,555.1,729522.38,7168344.50,451.11,2.65,2.22,0.35
