Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
11240,25.0,556.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,546.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,536.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,526.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,516.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,503.6,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,486.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,465.5,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,443.6,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,420.5,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,395.9,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,369.9,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,342.4,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,313.1,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,282.2,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,249.3,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,214.5,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,176.8,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,136.0,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,92.9,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,47.3,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,25.0,-1.0,729521.25,7168044.50,1000.00,3.00,1.00,0.00
11240,75.0,556.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,546.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,536.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,526.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,516.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,503.5,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,486.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,465.4,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,443.6,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,420.4,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,395.9,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,369.9,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,342.3,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,313.1,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,282.1,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,249.3,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,214.5,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,176.7,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,136.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,92.8,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,47.2,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,75.0,-1.0,729521.50,7168094.50,1000.00,3.00,1.00,0.00
11240,125.0,555.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,545.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,535.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,525.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,515.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,503.2,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,485.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,465.1,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,443.3,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,420.1,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,395.6,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,369.6,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,342.0,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,312.8,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,281.8,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,249.0,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,214.2,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,176.5,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,135.8,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,92.7,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,47.2,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,125.0,-1.0,729521.62,7168144.50,1000.00,3.00,1.00,0.00
11240,175.0,555.4,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,545.4,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,535.4,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,525.4,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,515.4,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,502.9,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,485.4,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,464.8,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,442.9,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,419.8,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,395.3,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,369.3,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,341.7,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,312.5,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,281.5,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,248.7,729521.88,7168194.50,1000.00,3.00,1.00,0.00
11240,175.0,213.9,729521.88,7168194.50,1000.00,3.00,1.00,0.00
