  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          71.166        0.000            129.0
          2          68.899       20.190            259.8
          3          63.916       86.415            390.8
          4          57.711      169.929            520.8
          5          49.610      277.860            649.1
          6          44.945      343.805            778.4
          7          43.460      374.589            907.1
          8          41.497      417.026           1035.6
          9          38.346      475.718           1164.1
         10          35.247      525.553           1292.6
         11          32.330      566.357           1421.5
         12          29.826      599.516           1550.2
         13          27.735      630.413           1679.1
         14          25.502      666.263           1807.6
         15          23.145      711.976           1935.9
         16          20.715      776.049           2065.2
         17          18.968      832.797           2193.5
         18          17.589      895.345           2322.3
         19          15.992      974.280           2450.6
         20          14.264     1062.160           2579.4
         21          13.250     1136.583           2708.1
         22          12.532     1220.899           2836.5
         23          11.753     1343.036           2965.4
         24          11.332     1399.360           3093.7
         25          10.886     1476.018           3222.6
         26          10.504     1585.461           3351.1
         27          10.140     1673.597           3479.4
         28           9.822     1761.606           3608.4
         29           9.568     1793.801           3736.8
         30           9.379     1841.461           3865.8
