Line,Location,RL,East,North,Resistivity_ohmm,Log_Resistivity,Conductivity_mS_m,Log_Conductivity
11260,25.0,581.9,740329.81,7171996.00,51.83,1.71,19.30,1.29
11260,25.0,571.9,740329.81,7171996.00,54.92,1.74,18.21,1.26
11260,25.0,561.9,740329.81,7171996.00,61.01,1.79,16.39,1.21
11260,25.0,551.9,740329.81,7171996.00,70.08,1.85,14.27,1.15
11260,25.0,541.9,740329.81,7171996.00,82.19,1.91,12.17,1.09
11260,25.0,529.4,740329.81,7171996.00,107.06,2.03,9.34,0.97
11260,25.0,511.9,740329.81,7171996.00,151.47,2.18,6.60,0.82
11260,25.0,491.3,740329.81,7171996.00,211.43,2.33,4.73,0.67
11260,25.0,469.4,740329.81,7171996.00,287.26,2.46,3.48,0.54
11260,25.0,446.3,740329.81,7171996.00,375.96,2.58,2.66,0.42
11260,25.0,421.7,740329.81,7171996.00,472.20,2.67,2.12,0.33
11260,25.0,395.7,740329.81,7171996.00,569.37,2.76,1.76,0.24
11260,25.0,368.2,740329.81,7171996.00,660.96,2.82,1.51,0.18
11260,25.0,338.9,740329.81,7171996.00,741.89,2.87,1.35,0.13
11260,25.0,308.0,740329.81,7171996.00,809.32,2.91,1.24,0.09
11260,25.0,275.1,740329.81,7171996.00,862.60,2.94,1.16,0.06
11260,25.0,240.3,740329.81,7171996.00,902.76,2.96,1.11,0.04
11260,25.0,203.2,740329.81,7171996.00,932.34,2.97,1.07,0.03
11260,25.0,163.5,740329.81,7171996.00,952.77,2.98,1.05,0.02
11260,25.0,121.5,740329.81,7171996.00,966.38,2.99,1.03,0.01
11260,25.0,77.0,740329.81,7171996.00,974.96,2.99,1.03,0.01
11260,25.0,29.8,740329.81,7171996.00,979.47,2.99,1.02,0.01
11260,75.0,583.6,740329.81,7172046.00,43.91,1.64,22.77,1.36
11260,75.0,573.6,740329.81,7172046.00,47.14,1.67,21.21,1.33
11260,75.0,563.6,740329.81,7172046.00,53.33,1.73,18.75,1.27
11260,75.0,553.6,740329.81,7172046.00,62.39,1.80,16.03,1.20
11260,75.0,543.6,740329.81,7172046.00,74.28,1.87,13.46,1.13
11260,75.0,531.1,740329.81,7172046.00,98.40,1.99,10.16,1.01
11260,75.0,513.6,740329.81,7172046.00,141.07,2.15,7.09,0.85
11260,75.0,493.0,740329.81,7172046.00,198.85,2.30,5.03,0.70
11260,75.0,471.2,740329.81,7172046.00,272.57,2.44,3.67,0.56
11260,75.0,448.0,740329.81,7172046.00,360.03,2.56,2.78,0.44
11260,75.0,423.5,740329.81,7172046.00,456.39,2.66,2.19,0.34
11260,75.0,397.5,740329.81,7172046.00,555.00,2.74,1.80,0.26
11260,75.0,369.9,740329.81,7172046.00,648.91,2.81,1.54,0.19
11260,75.0,340.7,740329.81,7172046.00,732.43,2.86,1.37,0.14
11260,75.0,309.7,740329.81,7172046.00,802.26,2.90,1.25,0.10
11260,75.0,276.9,740329.81,7172046.00,857.49,2.93,1.17,0.07
11260,75.0,242.1,740329.81,7172046.00,899.10,2.95,1.11,0.05
11260,75.0,204.7,740329.81,7172046.00,929.87,2.97,1.08,0.03
11260,75.0,164.7,740329.81,7172046.00,951.08,2.98,1.05,0.02
11260,75.0,122.3,740329.81,7172046.00,965.19,2.98,1.04,0.02
11260,75.0,77.5,740329.81,7172046.00,974.07,2.99,1.03,0.01
11260,75.0,30.0,740329.81,7172046.00,978.73,2.99,1.02,0.01
11260,125.0,585.3,740329.81,7172096.00,55.48,1.74,18.02,1.26
11260,125.0,575.3,740329.81,7172096.00,58.33,1.77,17.14,1.23
11260,125.0,565.3,740329.81,7172096.00,63.76,1.80,15.68,1.20
11260,125.0,555.3,740329.81,7172096.00,71.62,1.86,13.96,1.14
11260,125.0,545.3,740329.81,7172096.00,81.86,1.91,12.22,1.09
11260,125.0,532.8,740329.81,7172096.00,102.32,2.01,9.77,0.99
11260,125.0,515.3,740329.81,7172096.00,138.50,2.14,7.22,0.86
11260,125.0,494.7,740329.81,7172096.00,188.82,2.28,5.30,0.72
11260,125.0,472.9,740329.81,7172096.00,255.58,2.41,3.91,0.59
11260,125.0,449.7,740329.81,7172096.00,338.19,2.53,2.96,0.47
11260,125.0,425.2,740329.81,7172096.00,432.75,2.64,2.31,0.36
11260,125.0,399.2,740329.81,7172096.00,532.53,2.73,1.88,0.27
11260,125.0,371.6,740329.81,7172096.00,629.55,2.80,1.59,0.20
11260,125.0,342.4,740329.81,7172096.00,716.98,2.86,1.39,0.14
11260,125.0,311.4,740329.81,7172096.00,790.58,2.90,1.26,0.10
11260,125.0,278.6,740329.81,7172096.00,848.93,2.93,1.18,0.07
11260,125.0,243.8,740329.81,7172096.00,892.87,2.95,1.12,0.05
11260,125.0,206.3,740329.81,7172096.00,925.60,2.97,1.08,0.03
11260,125.0,165.9,740329.81,7172096.00,948.12,2.98,1.05,0.02
11260,125.0,123.2,740329.81,7172096.00,963.05,2.98,1.04,0.02
11260,125.0,78.0,740329.81,7172096.00,972.46,2.99,1.03,0.01
11260,125.0,30.2,740329.81,7172096.00,977.43,2.99,1.02,0.01
11260,175.0,587.0,740329.81,7172146.00,107.96,2.03,9.26,0.97
11260,175.0,577.0,740329.81,7172146.00,107.83,2.03,9.27,0.97
11260,175.0,567.0,740329.81,7172146.00,108.50,2.04,9.22,0.96
11260,175.0,557.0,740329.81,7172146.00,110.62,2.04,9.04,0.96
11260,175.0,547.0,740329.81,7172146.00,114.68,2.06,8.72,0.94
11260,175.0,534.5,740329.81,7172146.00,124.85,2.10,8.01,0.90
11260,175.0,517.0,740329.81,7172146.00,147.04,2.17,6.80,0.83
11260,175.0,496.4,740329.81,7172146.00,183.94,2.26,5.44,0.74
11260,175.0,474.6,740329.81,7172146.00,239.31,2.38,4.18,0.62
11260,175.0,451.4,740329.81,7172146.00,314.08,2.50,3.18,0.50
11260,175.0,426.9,740329.81,7172146.00,405.20,2.61,2.47,0.39
11260,175.0,400.9,740329.81,7172146.00,505.55,2.70,1.98,0.30
11260,175.0,373.3,740329.81,7172146.00,605.87,2.78,1.65,0.22
11260,175.0,344.1,740329.81,7172146.00,697.79,2.84,1.43,0.16
11260,175.0,313.1,740329.81,7172146.00,775.82,2.89,1.29,0.11
11260,175.0,280.3,740329.81,7172146.00,837.91,2.92,1.19,0.08
11260,175.0,245.5,740329.81,7172146.00,884.74,2.95,1.13,0.05
11260,175.0,207.8,740329.81,7172146.00,919.91,2.96,1.09,0.04
11260,175.0,167.1,740329.81,7172146.00,944.04,2.97,1.06,0.03
11260,175.0,124.0,740329.81,7172146.00,960.06,2.98,1.04,0.02
11260,175.0,78.5,740329.81,7172146.00,970.20,2.99,1.03,0.01
11260,175.0,30.3,740329.81,7172146.00,975.56,2.99,1.03,0.01
11260,225.0,588.6,740329.81,7172196.00,185.90,2.27,5.38,0.73
11260,225.0,578.6,740329.81,7172196.00,179.06,2.25,5.58,0.75
11260,225.0,568.6,740329.81,7172196.00,169.07,2.23,5.91,0.77
11260,225.0,558.6,740329.81,7172196.00,159.12,2.20,6.28,0.80
11260,225.0,548.6,740329.81,7172196.00,151.41,2.18,6.60,0.82
11260,225.0,536.1,740329.81,7172196.00,145.01,2.16,6.90,0.84
11260,225.0,518.6,740329.81,7172196.00,149.29,2.17,6.70,0.83
11260,225.0,498.0,740329.81,7172196.00,172.15,2.24,5.81,0.76
11260,225.0,476.2,740329.81,7172196.00,217.01,2.34,4.61,0.66
