 East  ,  Channel ,   Error 	 
  740330.0,       0.0,        -0.0623
  740330.0,     -40.0,         0.0211
  740330.0,     -80.0,         0.0539
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.1057
  740330.0,    -200.0,         0.0589
  740330.0,    -240.0,         0.0614
  740330.0,    -280.0,         0.1331
  740330.0,    -320.0,         0.1652
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.0719
  740330.0,    -440.0,         0.0601
  740330.0,    -480.0,         0.0125
  740330.0,    -520.0,        -0.1386
  740330.0,    -560.0,        -0.3405
  740330.0,    -600.0,        -0.2194
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.0949
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1465
  740330.0,     -40.0,        -0.0044
  740330.0,     -80.0,         0.0488
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.0856
  740330.0,    -200.0,         0.0558
  740330.0,    -240.0,         0.0770
  740330.0,    -280.0,         0.1540
  740330.0,    -320.0,         0.1900
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.1808
  740330.0,    -440.0,         0.1346
  740330.0,    -480.0,         0.0890
  740330.0,    -520.0,        -0.0317
  740330.0,    -560.0,        -0.1993
  740330.0,    -600.0,         0.0000
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1161
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1966
  740330.0,     -40.0,        -0.0678
  740330.0,     -80.0,        -0.0151
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.0451
  740330.0,    -200.0,         0.0479
  740330.0,    -240.0,         0.0881
  740330.0,    -280.0,         0.1753
  740330.0,    -320.0,         0.2132
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.2377
  740330.0,    -440.0,         0.1544
  740330.0,    -480.0,         0.1156
  740330.0,    -520.0,         0.0330
  740330.0,    -560.0,        -0.0999
  740330.0,    -600.0,         0.0000
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1229
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.1202
  740330.0,     -40.0,        -0.0925
  740330.0,     -80.0,        -0.0682
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.0185
  740330.0,    -200.0,         0.0423
  740330.0,    -240.0,         0.0963
  740330.0,    -280.0,         0.1919
  740330.0,    -320.0,         0.2289
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.1886
  740330.0,    -440.0,         0.1212
  740330.0,    -480.0,         0.1283
  740330.0,    -520.0,         0.1054
  740330.0,    -560.0,        -0.0020
  740330.0,    -600.0,        -0.0462
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1184
  740330.0,    -760.0,         0.0000
  740330.0,       0.0,        -0.0387
  740330.0,     -40.0,        -0.1073
  740330.0,     -80.0,        -0.0844
  740330.0,    -120.0,         0.0000
  740330.0,    -160.0,         0.0227
  740330.0,    -200.0,         0.0377
  740330.0,    -240.0,         0.1017
  740330.0,    -280.0,         0.2001
  740330.0,    -320.0,         0.2389
  740330.0,    -360.0,         0.0000
  740330.0,    -400.0,         0.0215
  740330.0,    -440.0,         0.0197
  740330.0,    -480.0,         0.1199
  740330.0,    -520.0,         0.1773
  740330.0,    -560.0,         0.0829
  740330.0,    -600.0,        -0.0078
  740330.0,    -640.0,         0.0000
  740330.0,    -680.0,         0.0000
  740330.0,    -720.0,         0.1107
  740330.0,    -760.0,         0.0000
  740330.1,       0.0,        -0.0908
  740330.1,     -40.0,        -0.1459
  740330.1,     -80.0,        -0.0645
  740330.1,    -120.0,         0.0000
  740330.1,    -160.0,         0.0513
  740330.1,    -200.0,         0.0265
  740330.1,    -240.0,         0.1024
  740330.1,    -280.0,         0.1988
  740330.1,    -320.0,         0.2519
  740330.1,    -360.0,         0.0000
  740330.1,    -400.0,        -0.1653
  740330.1,    -440.0,        -0.0968
  740330.1,    -480.0,         0.0820
  740330.1,    -520.0,         0.1983
  740330.1,    -560.0,         0.1079
  740330.1,    -600.0,         0.0119
  740330.1,    -640.0,         0.0000
