  Iteration    RMS_Error(%)   Model_Norm          Time(s)
          1          78.848        0.000            124.1
          2          77.009       16.569            248.2
          3          73.267       66.356            371.2
          4          67.567      142.730            495.1
          5          61.863      219.753            618.2
          6          55.260      288.144            741.2
          7          48.683      352.496            864.3
          8          43.274      423.559            987.3
          9          39.613      477.140           1111.4
         10          36.674      520.213           1234.5
         11          34.252      549.052           1357.4
         12          31.692      566.910           1480.5
         13          28.799      581.847           1604.3
         14          26.130      598.165           1727.4
         15          24.387      644.204           1850.5
         16          23.794      674.954           1973.7
         17          23.564      701.641           2097.1
         18          23.423      727.382           2220.6
         19          23.276      753.612           2343.9
         20          23.115      781.763           2466.9
         21          22.927      811.566           2838.1
         22          22.390      841.024           2961.4
         23          22.156      864.552           3084.2
         24          21.764      883.977           3207.4
         25          21.365      921.523           3330.3
         26          21.336      960.322           3454.2
         27          21.147      944.499           3577.8
         28          20.910      989.595           3701.1
         29          20.663     1001.503           3824.4
         30          20.303     1036.898           3947.9
         31          20.726     1014.263           4166.8
         32          20.518     1061.628           4382.0
         33          20.483     1037.760           4804.3
         34          20.325     1083.861           5015.6
         35          20.305     1059.007           5438.0
         36          20.184     1105.645           5651.9
         37          20.144     1078.777           6414.5
         38          20.103     1129.687           6669.2
         39          20.015     1102.249           7433.0
         40          19.982     1118.505           7941.9
