 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11250 360 734932.94 7173403.5 566.4275687770009 98.23060665926162 0.0 54786.86 211102.0 118938.0 51277.0 19318.0 5638.0 1735.0 683.0 165.0 -72.0 0.0 257612.0 181690.0 105344.0 47364.0 16302.0 4641.0 1281.0 586.0 234.0 0.0
 1 11250 361 734932.38 7173389.5 566.5959644480876 98.20328448666483 0.0 54788.52 207190.0 113482.0 47844.0 18162.0 5395.0 1677.0 644.0 140.0 -77.0 0.0 254889.0 179127.0 102848.0 45946.0 15837.0 4528.0 1259.0 580.0 227.0 0.0
 1 11250 362 734931.75 7173375.5 566.6660744275524 98.18836894633897 0.0 54790.02 202523.0 107186.0 44019.0 16717.0 5025.0 1577.0 593.0 116.0 -81.0 0.0 252133.0 176687.0 100460.0 44724.0 15460.0 4433.0 1239.0 568.0 216.0 0.0
 1 11250 363 734931.13 7173362.0 566.6068928310406 98.2142911378664 0.0 54791.42 197182.0 100277.0 39931.0 15043.0 4558.0 1448.0 535.0 94.0 -81.0 0.0 249344.0 174075.0 98002.0 43583.0 15124.0 4345.0 1218.0 552.0 203.0 0.0
 1 11250 364 734930.44 7173348.5 566.4315282887882 98.31491931161288 0.0 54792.74 191409.0 93117.0 35761.0 13231.0 4028.0 1298.0 475.0 76.0 -78.0 0.0 246525.0 171045.0 95361.0 42445.0 14799.0 4260.0 1197.0 532.0 187.0 0.0
 1 11250 365 734929.81 7173335.0 566.1826657197195 98.50620714486222 0.0 54793.94 185601.0 86161.0 31722.0 11390.0 3473.0 1139.0 417.0 62.0 -70.0 0.0 243669.0 167447.0 92474.0 41264.0 14468.0 4173.0 1176.0 509.0 170.0 0.0
 1 11250 366 734929.19 7173321.5 565.901239553153 98.76459146807588 0.0 54795.03 180251.0 79893.0 28031.0 9630.0 2926.0 981.0 363.0 53.0 -55.0 0.0 240762.0 163250.0 89331.0 40016.0 14123.0 4084.0 1153.0 484.0 153.0 0.0
 1 11250 367 734928.56 7173308.0 565.6289693045782 99.02508257414634 0.0 54796.11 175838.0 74740.0 24885.0 8043.0 2412.0 830.0 316.0 49.0 -36.0 0.0 237799.0 158532.0 85968.0 38692.0 13765.0 3991.0 1130.0 458.0 136.0 0.0
 1 11250 368 734927.94 7173294.5 565.4085424389528 99.20542085148304 0.0 54797.16 172706.0 70998.0 22426.0 6699.0 1949.0 695.0 277.0 49.0 -12.0 0.0 234794.0 153461.0 82455.0 37300.0 13396.0 3897.0 1106.0 433.0 118.0 0.0
 1 11250 369 734927.38 7173281.0 565.283309174982 99.2438346132145 0.0 54798.23 170998.0 68787.0 20727.0 5630.0 1543.0 577.0 245.0 52.0 15.0 0.0 231791.0 148259.0 78893.0 35863.0 13020.0 3801.0 1081.0 409.0 101.0 0.0
 1 11250 370 734926.81 7173267.5 565.289777420904 99.1268962411312 0.0 54799.33 170639.0 68048.0 19788.0 4838.0 1194.0 477.0 221.0 58.0 43.0 0.0 228874.0 143187.0 75403.0 34414.0 12643.0 3705.0 1056.0 387.0 84.0 0.0
 1 11250 371 734926.25 7173254.0 565.407201473683 98.88935724697137 0.0 54800.61 171381.0 68574.0 19543.0 4292.0 898.0 394.0 204.0 66.0 71.0 0.0 226153.0 138515.0 72119.0 33000.0 12268.0 3609.0 1030.0 368.0 68.0 0.0
