Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,377,734923.8,7173172.0,566.9,96.4,0.0,0.0,110703.6,44699.27,14744.88,3657.686,833.4244,254.1939,106.3140,35.00907,6.780305,0.000000,183647.4,102031.7,43179.00,13603.79,3630.770,940.6819,258.2549,74.55766,17.20433,0.000000
1,1,380,734923.1,7173129.5,567.2,95.0,0.0,0.0,110485.5,44944.60,14538.87,3681.079,771.7950,191.9646,80.09162,26.52110,4.760221,0.000000,186939.0,103577.7,44284.43,14091.12,3748.737,967.8096,269.3961,78.83525,18.13498,0.000000
1,1,383,734922.8,7173087.5,567.4,93.0,0.0,0.0,115183.1,47776.09,15527.50,4008.661,808.9997,171.0427,67.61193,22.30853,3.694643,0.000000,193627.9,107747.8,45925.37,14716.57,3886.038,982.5656,274.0733,80.71754,18.46702,0.000000
1,1,386,734922.7,7173045.5,567.4,90.7,0.0,0.0,121439.7,50831.79,16985.49,4494.039,891.0488,167.6871,63.73365,20.41503,3.135499,0.000000,201883.4,113540.5,48356.18,15590.97,4073.723,1000.625,277.6950,82.23364,18.70403,0.000000
1,1,389,734922.8,7173003.5,567.3,88.2,0.0,0.0,127968.9,53306.01,18345.98,4962.005,976.1665,175.5728,62.75011,19.63688,2.831815,0.000000,210557.0,119563.1,51465.06,16753.66,4321.145,1026.047,283.4141,84.17650,19.02248,0.000000
1,1,392,734922.8,7172961.5,567.4,87.4,0.0,0.0,130373.3,54115.61,18961.73,5199.165,1020.964,183.0162,63.26068,19.25119,2.672137,0.000000,214320.5,122836.0,54153.51,17932.13,4577.931,1055.258,290.1545,86.44287,19.39301,0.000000
1,1,395,734923.0,7172919.5,568.0,88.3,0.0,0.0,128872.0,53622.07,18784.35,5150.497,1014.617,186.4897,64.18407,18.89529,2.543587,0.000000,212670.8,123385.4,55998.45,18937.89,4806.760,1084.242,297.4539,88.92634,19.84077,0.000000
1,1,398,734923.3,7172877.5,568.6,89.0,0.0,0.0,129067.8,53686.48,18435.82,4955.814,982.0622,191.4456,64.61942,18.55515,2.385262,0.000000,211361.9,124192.5,57631.42,19833.90,5016.015,1113.536,306.0455,91.65995,20.38430,0.000000
1,1,401,734923.6,7172835.5,568.7,89.1,0.0,0.0,132814.6,55198.89,18443.82,4769.734,947.8654,197.3393,66.88985,18.45443,2.282449,0.000000,212727.3,126094.8,59257.32,20624.03,5206.287,1145.494,314.9730,94.52443,20.91327,0.000000
1,1,404,734923.9,7172793.5,568.6,89.2,0.0,0.0,138506.8,58231.50,19073.59,4695.037,934.2931,211.8252,70.43073,18.75405,2.252576,0.000000,215359.9,128316.4,60613.40,21202.28,5356.729,1176.552,325.3871,97.70795,21.50692,0.000000
