Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,25.0,561.4,734932.88,7173378.50,1835.64,3.26,0.54,-0.26
1,25.0,551.4,734932.88,7173378.50,91.82,1.96,10.89,1.04
1,25.0,541.4,734932.88,7173378.50,92.12,1.96,10.86,1.04
1,25.0,531.4,734932.88,7173378.50,92.61,1.97,10.80,1.03
1,25.0,521.4,734932.88,7173378.50,93.22,1.97,10.73,1.03
1,25.0,508.9,734932.88,7173378.50,94.29,1.97,10.61,1.03
1,25.0,491.4,734932.88,7173378.50,95.73,1.98,10.45,1.02
1,25.0,470.8,734932.88,7173378.50,1940.69,3.29,0.52,-0.29
1,25.0,449.0,734932.88,7173378.50,1960.12,3.29,0.51,-0.29
1,25.0,425.8,734932.88,7173378.50,1974.06,3.30,0.51,-0.30
1,25.0,401.3,734932.88,7173378.50,1983.67,3.30,0.50,-0.30
1,25.0,375.3,734932.88,7173378.50,1990.04,3.30,0.50,-0.30
1,25.0,347.7,734932.88,7173378.50,1994.12,3.30,0.50,-0.30
1,25.0,318.5,734932.88,7173378.50,1996.62,3.30,0.50,-0.30
1,25.0,287.5,734932.88,7173378.50,1998.12,3.30,0.50,-0.30
1,25.0,254.6,734932.88,7173378.50,1998.99,3.30,0.50,-0.30
1,25.0,219.7,734932.88,7173378.50,1999.46,3.30,0.50,-0.30
1,25.0,182.7,734932.88,7173378.50,1999.72,3.30,0.50,-0.30
1,25.0,143.4,734932.88,7173378.50,1999.86,3.30,0.50,-0.30
1,25.0,101.8,734932.88,7173378.50,1999.91,3.30,0.50,-0.30
1,75.0,561.0,734932.75,7173328.50,89.75,1.95,11.14,1.05
1,75.0,551.0,734932.75,7173328.50,90.04,1.95,11.11,1.05
1,75.0,541.0,734932.75,7173328.50,90.57,1.96,11.04,1.04
1,75.0,531.0,734932.75,7173328.50,91.29,1.96,10.95,1.04
1,75.0,521.0,734932.75,7173328.50,92.11,1.96,10.86,1.04
1,75.0,508.5,734932.75,7173328.50,93.50,1.97,10.69,1.03
1,75.0,491.0,734932.75,7173328.50,1908.44,3.28,0.52,-0.28
1,75.0,470.4,734932.75,7173328.50,1937.20,3.29,0.52,-0.29
1,75.0,448.5,734932.75,7173328.50,1958.29,3.29,0.51,-0.29
1,75.0,425.4,734932.75,7173328.50,1973.13,3.30,0.51,-0.30
1,75.0,400.8,734932.75,7173328.50,1983.20,3.30,0.50,-0.30
1,75.0,374.8,734932.75,7173328.50,1989.81,3.30,0.50,-0.30
1,75.0,347.3,734932.75,7173328.50,1993.99,3.30,0.50,-0.30
1,75.0,318.1,734932.75,7173328.50,1996.56,3.30,0.50,-0.30
1,75.0,287.1,734932.75,7173328.50,1998.08,3.30,0.50,-0.30
1,75.0,254.2,734932.75,7173328.50,1998.96,3.30,0.50,-0.30
1,75.0,219.4,734932.75,7173328.50,1999.45,3.30,0.50,-0.30
1,75.0,182.4,734932.75,7173328.50,1999.71,3.30,0.50,-0.30
1,75.0,143.3,734932.75,7173328.50,1999.85,3.30,0.50,-0.30
1,75.0,101.8,734932.75,7173328.50,1999.91,3.30,0.50,-0.30
1,125.0,560.7,734932.75,7173278.50,87.91,1.94,11.38,1.06
1,125.0,550.7,734932.75,7173278.50,88.31,1.95,11.32,1.05
1,125.0,540.7,734932.75,7173278.50,89.00,1.95,11.24,1.05
1,125.0,530.7,734932.75,7173278.50,89.89,1.95,11.12,1.05
1,125.0,520.7,734932.75,7173278.50,90.89,1.96,11.00,1.04
1,125.0,508.2,734932.75,7173278.50,92.55,1.97,10.81,1.03
1,125.0,490.7,734932.75,7173278.50,1897.71,3.28,0.53,-0.28
1,125.0,470.1,734932.75,7173278.50,1931.49,3.29,0.52,-0.29
1,125.0,448.3,734932.75,7173278.50,1955.33,3.29,0.51,-0.29
1,125.0,425.2,734932.75,7173278.50,1971.62,3.29,0.51,-0.29
