Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,377,734923.8,7173172.0,566.9,96.4,0.0,0.0,181734.7,81878.66,26617.00,3514.000,-126.6667,40.33333,170.0000,164.6667,197.6667,0.000000,216217.0,129332.0,63473.00,26997.67,9914.000,3006.000,865.6666,355.3333,28.66667,0.000000
1,1,380,734923.1,7173129.5,567.2,95.0,0.0,0.0,180620.7,82943.00,27404.00,3431.667,-301.0000,-66.66667,167.0000,201.6667,192.3333,0.000000,215204.7,137674.3,66970.34,26206.67,9027.333,2770.333,820.3334,381.6667,75.33334,0.000000
1,1,383,734922.8,7173087.5,567.4,93.0,0.0,0.0,175454.0,77024.34,24555.00,3272.667,-427.3333,-151.6667,160.6667,202.3333,169.3333,0.000000,216407.3,147506.0,69802.66,25383.66,8149.667,2506.667,792.3334,401.6666,130.0000,0.000000
1,1,386,734922.7,7173045.5,567.4,90.7,0.0,0.0,170399.7,65464.66,19865.67,3129.667,-420.0000,-169.3333,146.6667,163.0000,142.6667,0.000000,217841.0,146132.0,67021.00,23646.00,7255.667,2221.333,777.3334,406.6667,168.6667,0.000000
1,1,389,734922.8,7173003.5,567.3,88.2,0.0,0.0,167708.0,56717.34,17048.00,3350.000,-150.6667,-63.00000,125.3333,115.3333,114.0000,0.000000,212059.3,127244.0,57286.00,20764.33,6395.667,1956.333,765.6667,400.6667,181.0000,0.000000
1,1,392,734922.8,7172961.5,567.4,87.4,0.0,0.0,166126.0,55479.34,17263.67,4201.333,267.0000,68.66666,90.00000,74.66667,84.00000,0.000000,197942.0,100346.7,45672.34,17836.00,5755.667,1774.000,745.6667,384.3333,170.6667,0.000000
1,1,395,734923.0,7172919.5,568.0,88.3,0.0,0.0,163228.7,58253.33,18229.33,5156.667,488.6666,43.33334,40.33334,32.00000,52.66666,0.000000,186004.7,84161.34,39687.67,16532.33,5441.333,1680.667,710.6667,354.6667,151.6667,0.000000
1,1,398,734923.3,7172877.5,568.6,89.0,0.0,0.0,157035.3,59614.34,18295.00,5399.667,411.0000,-108.6667,-14.00000,-11.33333,19.33333,0.000000,183590.3,86355.00,40856.66,17293.00,5358.333,1634.667,663.0000,318.0000,127.6667,0.000000
1,1,401,734923.6,7172835.5,568.7,89.1,0.0,0.0,148939.0,58023.34,17030.33,4642.000,184.6667,-245.6667,-70.00000,-50.66667,-12.66667,0.000000,189885.0,95319.00,44872.00,18913.00,5396.667,1602.333,609.3333,279.6667,100.0000,0.000000
1,1,404,734923.9,7172793.5,568.6,89.2,0.0,0.0,148275.3,56855.00,15620.00,3632.667,4.000000,-329.0000,-128.3333,-85.00000,-34.00000,0.000000,200281.3,103274.3,48169.00,19894.67,5451.333,1568.667,552.0000,242.3333,69.00000,0.000000
