  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          51.391        0.000            267.9
          2          44.396        3.925           1356.7
          3          41.416        9.109           1643.2
          4          40.670       11.782           1929.9
          5          40.159       13.884           2225.3
          6          39.521       16.454           2510.2
          7          38.571       20.716           2795.3
          8          37.127       28.526           3081.6
          9          34.990       42.268           3368.2
         10          32.029       63.770           3654.5
         11          28.451       91.536           3939.5
         12          25.576      114.693           4225.3
         13          23.482      138.195           4509.6
         14          21.287      174.271           4794.8
         15          19.087      203.811           5080.4
         16          17.956      237.020           5366.1
         17          17.095      281.102           5651.9
         18          16.277      339.700           5937.7
         19          15.448      390.801           6223.1
         20          14.595      465.927           6507.9
         21          13.854      549.890           6792.9
         22          13.096      632.783           7078.5
         23          12.484      707.390           7364.0
         24          12.067      770.870           7650.4
         25          11.725      840.122           7938.9
         26          11.425      919.526           8238.9
         27          11.159      987.672           8528.0
         28          10.865     1086.828           8816.7
         29          10.484     1185.758           9108.4
         30          10.208     1300.174           9398.1
