 "LINE" "FID" "EAST" "NORTH" "TER" "ALT" "PITCH" "MAG" EM1_X01 EM1_X02 EM1_X03 EM1_X04 EM1_X05 EM1_X06 EM1_X07 EM1_X08 EM1_X09 EM1_X10 EM1_Z01 EM1_Z02 EM1_Z03 EM1_Z04 EM1_Z05 EM1_Z06 EM1_Z07 EM1_Z08 EM1_Z09 EM1_Z10
 1 11260 4091 740329.75 7171971.0 586.0971033573562 99.69935549946982 0.0 55001.84 221175.0 136175.0 70553.0 24290.0 5043.0 668.0 238.0 230.0 198.0 0.0 257029.0 191922.0 118741.0 52709.0 15956.0 4016.0 1300.0 811.0 279.0 0.0
 1 11260 4092 740329.81 7171984.0 586.4128584667144 99.17888721034045 0.0 55014.37 221650.0 136752.0 71102.0 24904.0 5404.0 725.0 232.0 214.0 188.0 0.0 254166.0 189303.0 117397.0 52232.0 15791.0 3984.0 1274.0 781.0 271.0 0.0
 1 11260 4093 740329.88 7171997.0 586.8052545999784 98.72599829324692 0.0 55025.46 222111.0 137319.0 71539.0 25463.0 5759.0 782.0 226.0 199.0 176.0 0.0 250892.0 186345.0 115860.0 51755.0 15692.0 3975.0 1255.0 754.0 264.0 0.0
 1 11260 4094 740329.94 7172010.0 587.2543333936144 98.39320769412062 0.0 55034.82 222528.0 137849.0 71867.0 25955.0 6093.0 839.0 222.0 185.0 162.0 0.0 247381.0 183230.0 114230.0 51308.0 15660.0 3988.0 1239.0 730.0 259.0 0.0
 1 11260 4095 740330.0 7172023.0 587.7415907508408 98.15430144853917 0.0 55042.0 222878.0 138318.0 72101.0 26378.0 6397.0 893.0 219.0 172.0 145.0 0.0 243809.0 180119.0 112592.0 50908.0 15688.0 4020.0 1227.0 710.0 258.0 0.0
 1 11260 4096 740330.06 7172036.0 588.2484435054164 97.9374504352093 0.0 55047.12 223139.0 138690.0 72248.0 26730.0 6659.0 944.0 217.0 161.0 127.0 0.0 240349.0 177163.0 111019.0 50566.0 15765.0 4067.0 1218.0 697.0 259.0 0.0
 1 11260 4097 740330.13 7172049.0 588.7563716979465 97.67383551861352 0.0 55050.3 223263.0 138894.0 72291.0 27000.0 6870.0 990.0 215.0 152.0 108.0 0.0 237179.0 174515.0 109586.0 50292.0 15884.0 4123.0 1212.0 691.0 263.0 0.0
 1 11260 4098 740330.13 7172062.0 589.2467973173693 97.33196514152972 0.0 55051.69 223152.0 138808.0 72172.0 27162.0 7017.0 1031.0 215.0 145.0 89.0 0.0 234478.0 172341.0 108379.0 50105.0 16042.0 4187.0 1209.0 692.0 268.0 0.0
 1 11260 4099 740330.13 7172074.5 589.6850385613759 96.92306606318598 0.0 55051.42 222643.0 138243.0 71785.0 27177.0 7092.0 1064.0 214.0 139.0 71.0 0.0 232401.0 170814.0 107489.0 50031.0 16242.0 4256.0 1213.0 701.0 273.0 0.0
 1 11260 4100 740330.13 7172086.5 590.0699729153766 96.48231917603513 0.0 55049.35 221493.0 136953.0 70987.0 26992.0 7086.0 1089.0 214.0 133.0 58.0 0.0 231048.0 170080.0 106999.0 50097.0 16490.0 4330.0 1223.0 715.0 279.0 0.0
