Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,4109,740330.0,7172199.0,593.5,89.8,0.0,0.0,18218.77,4378.488,1050.196,298.9569,92.22047,35.28654,14.30999,4.354953,0.5009104,0.000000,50165.11,16545.98,5741.635,2076.607,766.2843,285.6818,98.52597,28.50358,5.893166,0.000000
1,1,4112,740330.0,7172236.5,595.2,85.7,0.0,0.0,17418.59,4257.949,1007.052,259.0518,73.42825,28.58206,12.73284,4.173597,0.5186514,0.000000,52232.21,17242.81,5866.325,2093.815,769.6352,287.1548,99.62772,28.91816,5.967683,0.000000
1,1,4115,740330.0,7172274.0,595.8,83.2,0.0,0.0,17873.83,4277.572,1037.797,244.2372,63.42072,24.21783,11.74120,4.040246,0.5360670,0.000000,54825.45,18090.58,6017.175,2119.354,773.0986,288.2898,100.5452,29.26164,6.018064,0.000000
1,1,4118,740330.0,7172311.5,594.3,85.1,0.0,0.0,18037.25,4243.472,1050.846,243.2890,59.25412,21.44713,10.99466,3.917683,0.5434767,0.000000,55771.97,18480.91,6091.613,2122.694,769.5286,287.3255,100.6865,29.44763,6.044641,0.000000
1,1,4121,740330.0,7172349.0,591.9,87.0,0.0,0.0,17846.36,4173.882,1040.396,249.1943,58.49858,19.80529,10.28703,3.805721,0.5467929,0.000000,55856.54,18579.33,6130.860,2116.059,762.8309,285.2476,100.5001,29.55726,6.067371,0.000000
1,1,4124,740330.1,7172386.5,590.7,87.1,0.0,0.0,17966.90,4173.042,1049.649,257.8612,59.35413,18.91268,9.567936,3.716791,0.5533120,0.000000,57033.59,18892.40,6230.354,2129.725,761.4449,284.1918,100.7936,29.72882,6.105154,0.000000
1,1,4127,740330.2,7172424.0,591.0,86.7,0.0,0.0,17709.17,4116.712,1055.274,264.1086,60.60149,18.07914,8.878119,3.616865,0.5447274,0.000000,57834.65,19104.62,6313.791,2146.406,761.1957,283.2427,101.0461,29.88996,6.137458,0.000000
1,1,4130,740330.4,7172461.5,591.5,86.6,0.0,0.0,17211.34,4035.347,1057.309,270.0046,62.44521,17.21185,8.382607,3.494725,0.5294871,0.000000,57943.32,19165.97,6365.377,2161.188,761.0457,282.4238,101.1150,30.05673,6.170889,0.000000
1,1,4133,740330.6,7172499.5,591.5,86.3,0.0,0.0,16507.26,3920.569,1050.231,275.8592,64.29587,16.67462,8.063919,3.387992,0.5261009,0.000000,57283.66,19087.80,6390.600,2173.524,761.3271,281.6830,101.0711,30.21964,6.200798,0.000000
1,1,4136,740330.8,7172538.5,591.4,86.4,0.0,0.0,15360.82,3708.832,1019.891,277.9012,65.14270,16.62463,7.740365,3.323393,0.5346212,0.000000,55711.77,18834.63,6385.435,2180.931,761.5807,280.6071,100.9527,30.32774,6.216650,0.000000
1,1,4139,740330.8,7172577.0,591.0,87.7,0.0,0.0,14108.01,3470.513,977.1519,274.5049,65.83205,16.37729,7.377855,3.233578,0.5250850,0.000000,53899.37,18488.49,6356.360,2184.329,761.0988,279.4050,100.7668,30.40031,6.240583,0.000000
1,1,4142,740330.8,7172614.0,590.2,89.4,0.0,0.0,12996.47,3243.836,931.7712,268.1977,66.13924,16.07070,7.047433,3.143292,0.5196750,0.000000,52023.66,18111.04,6314.802,2186.007,760.7040,278.3724,100.5597,30.46194,6.252841,0.000000
1,1,4145,740330.5,7172651.5,589.1,90.5,0.0,0.0,12044.13,3029.694,883.3804,260.3790,65.84779,15.80282,6.729934,3.048578,0.5138698,0.000000,50277.44,17761.11,6278.307,2190.048,761.5579,277.7240,100.4224,30.54213,6.264890,0.000000
1,1,4148,740330.1,7172689.0,588.0,91.2,0.0,0.0,11248.46,2835.295,833.1786,251.2467,65.08366,15.49814,6.402426,2.936530,0.4940070,0.000000,48893.21,17474.79,6253.703,2197.067,763.7108,277.4763,100.3913,30.64492,6.295195,0.000000
1,1,4151,740329.6,7172726.5,586.7,92.0,0.0,0.0,10531.88,2651.928,784.7340,240.5487,64.02959,15.16711,6.104969,2.835896,0.4850075,0.000000,47443.25,17147.14,6212.837,2200.047,765.3912,277.1707,100.3192,30.73463,6.317995,0.000000
1,1,4154,740329.1,7172764.0,585.7,92.9,0.0,0.0,9912.900,2489.534,738.4913,229.4162,62.63961,14.81454,5.817885,2.730762,0.4781763,0.000000,45926.23,16778.57,6154.792,2198.281,766.2788,276.7967,100.1919,30.81136,6.337530,0.000000
1,1,4157,740328.5,7172801.5,585.4,93.8,0.0,0.0,9411.956,2355.478,696.2325,218.7939,61.04211,14.48401,5.535244,2.626262,0.4636710,0.000000,44420.58,16390.32,6084.542,2192.505,766.4777,276.3161,100.0288,30.85941,6.356206,0.000000
