Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,25.0,581.9,740329.81,7171996.00,696.97,2.84,1.43,0.16
1,25.0,571.9,740329.81,7171996.00,698.17,2.84,1.43,0.16
1,25.0,561.9,740329.81,7171996.00,700.64,2.85,1.43,0.15
1,25.0,551.9,740329.81,7171996.00,704.35,2.85,1.42,0.15
1,25.0,541.9,740329.81,7171996.00,709.21,2.85,1.41,0.15
1,25.0,529.4,740329.81,7171996.00,718.46,2.86,1.39,0.14
1,25.0,511.9,740329.81,7171996.00,733.45,2.87,1.36,0.13
1,25.0,491.3,740329.81,7171996.00,752.28,2.88,1.33,0.12
1,25.0,469.4,740329.81,7171996.00,774.63,2.89,1.29,0.11
1,25.0,446.3,740329.81,7171996.00,799.62,2.90,1.25,0.10
1,25.0,421.7,740329.81,7171996.00,826.12,2.92,1.21,0.08
1,25.0,395.7,740329.81,7171996.00,852.88,2.93,1.17,0.07
1,25.0,368.2,740329.81,7171996.00,878.66,2.94,1.14,0.06
1,25.0,338.9,740329.81,7171996.00,902.41,2.96,1.11,0.04
1,25.0,308.0,740329.81,7171996.00,923.35,2.97,1.08,0.03
1,25.0,274.9,740329.81,7171996.00,941.44,2.97,1.06,0.03
1,25.0,239.5,740329.81,7171996.00,956.02,2.98,1.05,0.02
1,25.0,202.0,740329.81,7171996.00,967.13,2.99,1.03,0.01
1,25.0,162.3,740329.81,7171996.00,974.94,2.99,1.03,0.01
1,25.0,120.3,740329.81,7171996.00,979.35,2.99,1.02,0.01
1,75.0,583.6,740329.81,7172046.00,677.30,2.83,1.48,0.17
1,75.0,573.6,740329.81,7172046.00,678.69,2.83,1.47,0.17
1,75.0,563.6,740329.81,7172046.00,681.44,2.83,1.47,0.17
1,75.0,553.6,740329.81,7172046.00,685.51,2.84,1.46,0.16
1,75.0,543.6,740329.81,7172046.00,690.78,2.84,1.45,0.16
1,75.0,531.1,740329.81,7172046.00,700.76,2.85,1.43,0.15
1,75.0,513.6,740329.81,7172046.00,716.88,2.86,1.39,0.14
1,75.0,493.0,740329.81,7172046.00,737.09,2.87,1.36,0.13
1,75.0,471.2,740329.81,7172046.00,761.07,2.88,1.31,0.12
1,75.0,448.0,740329.81,7172046.00,787.85,2.90,1.27,0.10
1,75.0,423.5,740329.81,7172046.00,816.22,2.91,1.23,0.09
1,75.0,397.5,740329.81,7172046.00,844.80,2.93,1.18,0.07
1,75.0,369.9,740329.81,7172046.00,872.25,2.94,1.15,0.06
1,75.0,340.7,740329.81,7172046.00,897.44,2.95,1.11,0.05
1,75.0,309.7,740329.81,7172046.00,919.58,2.96,1.09,0.04
1,75.0,276.4,740329.81,7172046.00,938.75,2.97,1.07,0.03
1,75.0,240.7,740329.81,7172046.00,954.12,2.98,1.05,0.02
1,75.0,202.9,740329.81,7172046.00,965.82,2.98,1.04,0.02
1,75.0,162.9,740329.81,7172046.00,974.03,2.99,1.03,0.01
1,75.0,120.5,740329.81,7172046.00,978.66,2.99,1.02,0.01
1,125.0,585.3,740329.81,7172096.00,646.81,2.81,1.55,0.19
1,125.0,575.3,740329.81,7172096.00,648.42,2.81,1.54,0.19
1,125.0,565.3,740329.81,7172096.00,651.55,2.81,1.53,0.19
1,125.0,555.3,740329.81,7172096.00,656.09,2.82,1.52,0.18
1,125.0,545.3,740329.81,7172096.00,661.95,2.82,1.51,0.18
1,125.0,532.8,740329.81,7172096.00,672.97,2.83,1.49,0.17
1,125.0,515.3,740329.81,7172096.00,690.74,2.84,1.45,0.16
1,125.0,494.7,740329.81,7172096.00,713.01,2.85,1.40,0.15
1,125.0,472.9,740329.81,7172096.00,739.45,2.87,1.35,0.13
