Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,4109,740330.0,7172199.0,593.5,89.8,0.0,0.0,168469.0,85847.00,39859.67,13593.00,3149.333,471.0000,10.33333,68.33334,149.6667,0.000000,231547.0,173528.0,108686.0,53035.34,19219.33,5216.333,1657.333,968.0000,397.0000,0.000000
1,1,4112,740330.0,7172236.5,595.2,85.7,0.0,0.0,161056.3,76272.66,32682.67,9792.667,1935.333,260.3333,-55.33334,47.33334,177.3333,0.000000,223240.7,162958.0,101518.3,49905.00,18436.33,5226.333,1828.667,1086.667,450.0000,0.000000
1,1,4115,740330.0,7172274.0,595.8,83.2,0.0,0.0,160955.7,73573.00,29987.67,8235.667,1436.000,210.6667,-72.00000,31.66666,184.6667,0.000000,204699.3,145725.7,89237.66,44027.33,16950.67,5168.000,1981.000,1215.333,501.3333,0.000000
1,1,4118,740330.0,7172311.5,594.3,85.1,0.0,0.0,169678.7,81413.00,34487.67,10229.33,1996.000,345.0000,-50.33333,28.33333,177.0000,0.000000,176644.0,119966.0,72193.00,36405.00,15041.00,5042.333,2096.667,1317.000,536.6667,0.000000
1,1,4121,740330.0,7172349.0,591.9,87.0,0.0,0.0,193387.3,104532.7,48477.00,16264.33,3686.333,734.6666,25.33333,41.33334,166.0000,0.000000,150392.3,94178.34,55986.33,29540.00,13163.33,4849.667,2173.667,1367.000,558.3334,0.000000
1,1,4124,740330.1,7172386.5,590.7,87.1,0.0,0.0,228240.0,138380.3,68850.33,25034.00,6237.667,1313.000,138.6667,71.66666,156.0000,0.000000,142874.3,85797.34,50268.66,26906.33,12183.00,4681.000,2223.667,1363.000,586.0000,0.000000
1,1,4127,740330.2,7172424.0,591.0,86.7,0.0,0.0,257338.0,164243.7,84601.00,32365.33,8499.333,1812.000,252.3333,109.6667,146.0000,0.000000,158305.0,98260.67,57068.66,29825.33,12819.00,4759.667,2273.000,1308.667,613.3334,0.000000
1,1,4130,740330.4,7172461.5,591.5,86.6,0.0,0.0,272582.7,172319.3,89510.33,35277.33,9590.667,2101.667,347.6667,145.0000,139.6667,0.000000,181680.3,117269.7,68469.33,35587.00,14680.00,5205.333,2352.000,1250.000,625.6667,0.000000
1,1,4133,740330.6,7172499.5,591.5,86.3,0.0,0.0,278978.3,172271.7,89054.33,35475.34,9899.333,2271.000,432.6666,179.6667,141.6667,0.000000,200482.7,132285.3,78779.34,41186.00,16775.67,5827.333,2479.333,1254.667,627.6666,0.000000
1,1,4136,740330.8,7172538.5,591.4,86.4,0.0,0.0,281747.7,172771.7,88673.33,35395.33,10044.33,2430.000,540.0000,230.0000,158.0000,0.000000,211800.3,143836.0,87668.00,45635.34,18383.00,6421.667,2639.667,1330.000,628.0000,0.000000
