  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          78.846        0.000            204.1
          2          77.012       16.269            411.6
          3          73.298       65.224            609.9
          4          67.608      141.030            817.6
          5          62.035      215.845           1029.8
          6          55.374      284.352           1232.3
          7          48.887      346.851           1434.4
          8          43.334      417.427           1635.1
          9          39.644      468.754           1833.7
         10          36.690      509.575           2033.7
         11          34.307      535.941           2233.1
         12          31.776      552.300           2432.7
         13          28.891      566.124           2630.1
         14          26.203      581.701           2829.8
         15          24.446      627.924           3031.8
         16          23.866      658.017           3234.0
         17          23.692      684.329           3435.6
         18          23.577      709.227           3638.8
         19          23.515      734.489           3841.2
         20          23.302      759.734           4042.1
         21          23.274      787.629           4449.3
         22          22.948      802.239           4656.9
         23          22.709      836.747           4891.3
         24          22.328      853.069           5121.1
         25          21.712      886.114           5347.2
         26          21.356      872.853           5566.7
         27          21.216      909.716           5788.6
         28          20.751      941.520           5992.0
         29          20.425      957.458           6825.9
         30          20.125      981.605           7042.3
