Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,377,734923.8,7173172.0,566.9,96.4,0.0,0.0,5990.292,1805.068,47.00934,-151.4697,-29.08154,5.157799,6.976635,1.309902,-0.1818492,0.000000,39191.68,14420.25,4987.416,1653.836,518.2278,153.2648,39.58676,7.130099,0.6467535,0.000000
1,1,380,734923.1,7173129.5,567.2,95.0,0.0,0.0,3733.696,1250.062,105.0696,-80.91739,-13.68968,7.817402,8.288575,2.334691,0.2123820,0.000000,35207.08,13561.87,4811.378,1638.241,540.7695,172.1283,48.80260,10.71268,1.578201,0.000000
1,1,383,734922.8,7173087.5,567.4,93.0,0.0,0.0,2841.187,836.1474,81.90630,-64.97104,-14.09453,6.889419,7.162348,2.379857,0.3072379,0.000000,32076.00,12748.32,4630.483,1610.529,548.7735,181.4868,54.07722,12.88976,2.168195,0.000000
1,1,386,734922.7,7173045.5,567.4,90.7,0.0,0.0,2827.928,574.5942,28.61787,-66.17953,-18.17690,2.500015,6.252328,2.118943,0.2910697,0.000000,29925.39,12063.21,4476.990,1575.851,546.2244,185.4724,56.78198,14.18358,2.540772,0.000000
1,1,389,734922.8,7173003.5,567.3,88.2,0.0,0.0,3197.747,471.7084,-4.927384,-70.81110,-22.83106,0.4084454,4.821192,1.831845,0.2513649,0.000000,28703.11,11497.04,4319.588,1534.937,538.8340,185.8340,58.07331,14.90418,2.764926,0.000000
1,1,392,734922.8,7172961.5,567.4,87.4,0.0,0.0,3707.578,464.0418,-27.14164,-74.44214,-26.42315,-1.734106,3.806352,1.568950,0.2087056,0.000000,27923.26,11001.57,4161.868,1488.851,527.2227,184.1416,58.35385,15.27305,2.891765,0.000000
1,1,395,734923.0,7172919.5,568.0,88.3,0.0,0.0,4228.386,503.4004,-40.87766,-76.20911,-28.41192,-4.117999,3.287140,1.354052,0.1709687,0.000000,27406.28,10574.06,4010.818,1440.397,513.1389,181.2638,58.07154,15.44375,2.965413,0.000000
1,1,398,734923.3,7172877.5,568.6,89.0,0.0,0.0,4722.352,585.1151,-35.79931,-76.62418,-29.77331,-4.297175,2.438467,1.201316,0.1442480,0.000000,27362.65,10271.06,3872.945,1394.832,500.0648,177.7949,57.70093,15.51080,3.011753,0.000000
1,1,401,734923.6,7172835.5,568.7,89.1,0.0,0.0,5308.110,690.8187,-32.85224,-74.97446,-30.50110,-5.991271,2.282665,1.075542,0.1228670,0.000000,27760.31,10126.34,3778.305,1356.745,487.3831,174.8101,57.13713,15.53226,3.036466,0.000000
1,1,404,734923.9,7172793.5,568.6,89.2,0.0,0.0,5912.956,815.2408,-17.99760,-72.48627,-30.46074,-5.779077,1.743938,0.9890771,0.1102487,0.000000,28460.89,10062.76,3689.652,1321.260,475.9611,171.5645,56.64622,15.51783,3.048856,0.000000
1,1,407,734924.4,7172751.5,568.8,89.8,0.0,0.0,6529.202,942.6727,2.730984,-67.61592,-29.74659,-6.416009,1.622139,0.9235882,0.1006156,0.000000,29199.53,10032.31,3610.885,1286.950,464.4849,168.5084,56.04772,15.49025,3.059755,0.000000
1,1,410,734924.8,7172709.5,569.0,90.8,0.0,0.0,7122.564,1072.611,28.51195,-61.14289,-28.42473,-6.539088,1.486916,0.8773851,0.9536650E-01,0.000000,29953.73,10014.28,3533.752,1253.129,453.3219,165.3293,55.48180,15.45015,3.065537,0.000000
1,1,413,734925.1,7172668.5,569.4,91.8,0.0,0.0,7632.161,1198.757,59.93706,-53.21949,-26.74183,-6.072383,1.266974,0.8451992,0.8948524E-01,0.000000,30659.01,9996.638,3457.210,1220.483,442.8148,162.2395,54.95094,15.40408,3.065581,0.000000
1,1,416,734925.4,7172628.0,570.1,93.0,0.0,0.0,8030.367,1313.332,95.10008,-43.33076,-24.70472,-6.285939,1.309634,0.8159212,0.8047080E-01,0.000000,31230.67,9971.353,3386.302,1189.142,432.4160,159.4764,54.36183,15.36508,3.065311,0.000000
1,1,419,734925.6,7172587.5,570.9,94.1,0.0,0.0,8286.839,1415.534,133.6949,-32.66408,-22.09188,-5.598530,1.156882,0.7954048,0.7886913E-01,0.000000,31698.89,9936.863,3316.879,1159.138,422.6534,156.5190,53.88354,15.32904,3.063359,0.000000
1,1,422,734925.6,7172545.5,571.5,95.2,0.0,0.0,8395.386,1505.372,175.3580,-20.01871,-19.30911,-5.389886,1.197559,0.7813171,0.7910795E-01,0.000000,32030.46,9899.888,3255.256,1130.709,413.2032,153.8351,53.33140,15.28590,3.056199,0.000000
1,1,425,734925.6,7172503.5,572.1,95.9,0.0,0.0,8368.075,1575.937,216.0891,-7.148510,-16.27349,-4.797308,1.143273,0.7623179,0.7720216E-01,0.000000,32273.59,9879.175,3206.644,1106.510,404.7247,151.2368,52.88433,15.25536,3.053576,0.000000
1,1,428,734925.4,7172461.5,572.3,95.8,0.0,0.0,8241.979,1626.822,254.6605,5.719131,-13.22765,-4.293156,1.122064,0.7368340,0.7502966E-01,0.000000,32523.90,9898.122,3177.692,1087.868,397.5463,149.0607,52.47398,15.23405,3.052555,0.000000
1,1,431,734925.2,7172419.5,571.9,95.1,0.0,0.0,7985.823,1646.183,286.6808,17.82149,-10.32241,-3.942180,1.156567,0.7178231,0.7554853E-01,0.000000,32644.79,9927.660,3163.425,1073.710,391.4574,147.1476,52.08569,15.20889,3.048188,0.000000
