Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
11250,25.0,561.4,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,551.4,734932.88,7173378.50,100.00,2.00,10.00,1.00
11250,25.0,541.4,734932.88,7173378.50,100.00,2.00,10.00,1.00
11250,25.0,531.4,734932.88,7173378.50,100.00,2.00,10.00,1.00
11250,25.0,521.4,734932.88,7173378.50,100.00,2.00,10.00,1.00
11250,25.0,508.9,734932.88,7173378.50,100.00,2.00,10.00,1.00
11250,25.0,491.4,734932.88,7173378.50,100.00,2.00,10.00,1.00
11250,25.0,470.8,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,449.0,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,425.8,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,401.3,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,375.3,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,347.7,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,318.5,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,287.5,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,254.6,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,219.7,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,182.7,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,143.4,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,25.0,101.8,734932.88,7173378.50,2000.00,3.30,0.50,-0.30
11250,75.0,561.0,734932.75,7173328.50,100.00,2.00,10.00,1.00
11250,75.0,551.0,734932.75,7173328.50,100.00,2.00,10.00,1.00
11250,75.0,541.0,734932.75,7173328.50,100.00,2.00,10.00,1.00
11250,75.0,531.0,734932.75,7173328.50,100.00,2.00,10.00,1.00
11250,75.0,521.0,734932.75,7173328.50,100.00,2.00,10.00,1.00
11250,75.0,508.5,734932.75,7173328.50,100.00,2.00,10.00,1.00
11250,75.0,491.0,734932.75,7173328.50,2000.00,3.30,0.50,-0.30
11250,75.0,470.4,734932.75,7173328.50,2000.00,3.30,0.50,-0.30
11250,75.0,448.5,734932.75,7173328.50,2000.00,3.30,0.50,-0.30
11250,75.0,425.4,734932.75,7173328.50,2000.00,3.30,0.50,-0.30
