Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
1,25.0,561.4,734932.88,7173378.50,1233.03,3.09,0.81,-0.09
1,25.0,551.4,734932.88,7173378.50,1233.69,3.09,0.81,-0.09
1,25.0,541.4,734932.88,7173378.50,1234.34,3.09,0.81,-0.09
1,25.0,531.4,734932.88,7173378.50,1234.88,3.09,0.81,-0.09
1,25.0,521.4,734932.88,7173378.50,1235.45,3.09,0.81,-0.09
1,25.0,508.9,734932.88,7173378.50,1236.84,3.09,0.81,-0.09
1,25.0,491.4,734932.88,7173378.50,1241.28,3.09,0.81,-0.09
1,25.0,470.8,734932.88,7173378.50,1258.85,3.10,0.79,-0.10
1,25.0,449.0,734932.88,7173378.50,1305.18,3.12,0.77,-0.12
1,25.0,425.8,734932.88,7173378.50,1364.70,3.14,0.73,-0.14
1,25.0,401.3,734932.88,7173378.50,1429.04,3.16,0.70,-0.16
1,25.0,375.3,734932.88,7173378.50,1493.95,3.17,0.67,-0.17
1,25.0,347.7,734932.88,7173378.50,1557.20,3.19,0.64,-0.19
1,25.0,318.5,734932.88,7173378.50,1617.52,3.21,0.62,-0.21
1,25.0,287.5,734932.88,7173378.50,1674.08,3.22,0.60,-0.22
1,25.0,254.6,734932.88,7173378.50,1726.41,3.24,0.58,-0.24
1,25.0,219.7,734932.88,7173378.50,1773.58,3.25,0.56,-0.25
1,25.0,182.7,734932.88,7173378.50,1814.57,3.26,0.55,-0.26
1,25.0,143.4,734932.88,7173378.50,1847.52,3.27,0.54,-0.27
1,25.0,101.8,734932.88,7173378.50,1868.54,3.27,0.54,-0.27
1,75.0,561.0,734932.75,7173328.50,1235.10,3.09,0.81,-0.09
1,75.0,551.0,734932.75,7173328.50,1236.75,3.09,0.81,-0.09
1,75.0,541.0,734932.75,7173328.50,1239.53,3.09,0.81,-0.09
1,75.0,531.0,734932.75,7173328.50,1243.14,3.09,0.80,-0.09
1,75.0,521.0,734932.75,7173328.50,1247.49,3.10,0.80,-0.10
1,75.0,508.5,734932.75,7173328.50,1255.48,3.10,0.80,-0.10
1,75.0,491.0,734932.75,7173328.50,1269.51,3.10,0.79,-0.10
1,75.0,470.4,734932.75,7173328.50,1292.76,3.11,0.77,-0.11
1,75.0,448.5,734932.75,7173328.50,1330.54,3.12,0.75,-0.12
1,75.0,425.4,734932.75,7173328.50,1379.05,3.14,0.73,-0.14
1,75.0,400.8,734932.75,7173328.50,1434.20,3.16,0.70,-0.16
1,75.0,374.8,734932.75,7173328.50,1492.47,3.17,0.67,-0.17
1,75.0,347.3,734932.75,7173328.50,1551.35,3.19,0.64,-0.19
1,75.0,318.1,734932.75,7173328.50,1609.14,3.21,0.62,-0.21
1,75.0,287.1,734932.75,7173328.50,1664.58,3.22,0.60,-0.22
1,75.0,254.2,734932.75,7173328.50,1716.81,3.23,0.58,-0.23
1,75.0,219.4,734932.75,7173328.50,1764.62,3.25,0.57,-0.25
1,75.0,182.4,734932.75,7173328.50,1806.70,3.26,0.55,-0.26
1,75.0,143.3,734932.75,7173328.50,1840.91,3.27,0.54,-0.27
1,75.0,101.8,734932.75,7173328.50,1862.94,3.27,0.54,-0.27
1,125.0,560.7,734932.75,7173278.50,1253.34,3.10,0.80,-0.10
1,125.0,550.7,734932.75,7173278.50,1255.46,3.10,0.80,-0.10
1,125.0,540.7,734932.75,7173278.50,1259.24,3.10,0.79,-0.10
