  Iteration    RMS_Error(%)   Model_Norm          Time(s) 
          1          73.305     1639.989            267.9
          2          72.339     1526.812            555.6
          3          70.250     1427.859            835.9
          4          65.880     1373.478           1123.6
          5          61.131     1379.351           1410.2
          6          54.048     1386.440           1697.3
          7          48.164     1352.288           1983.2
          8          43.981     1303.004           2266.9
          9          41.206     1282.683           2553.2
         10          37.824     1281.533           2840.0
         11          34.851     1288.612           3126.5
         12          32.080     1301.329           3412.5
         13          29.671     1317.512           3698.7
         14          27.326     1336.272           3985.8
         15          25.073     1358.793           4272.7
         16          22.193     1396.691           4559.0
         17          19.725     1447.508           4845.4
         18          18.303     1485.106           5130.3
         19          16.945     1531.103           5415.9
         20          15.812     1560.640           5700.2
         21          14.770     1596.538           5985.7
         22          13.868     1637.617           6270.6
         23          13.059     1727.828           6557.1
         24          12.141     1807.164           6842.7
         25          11.343     1896.820           7129.3
         26          10.778     1955.163           7414.9
         27          10.414     2005.801           7699.4
         28          10.054     2025.585           7980.7
         29           9.647     2058.467           8263.8
         30           9.364     2089.102           8549.8
