Loop,Iteration,Fid,East,North,Ter,Alt,Pitch,MAG,EM1_X01,EM1_X02,EM1_X03,EM1_X04,EM1_X05,EM1_X06,EM1_X07,EM1_X08,EM1_X09,EM1_X10,EM1_Z01,EM1_Z02,EM1_Z03,EM1_Z04,EM1_Z05,EM1_Z06,EM1_Z07,EM1_Z08,EM1_Z09,EM1_Z10
1,1,377,734923.8,7173172.0,566.9,96.4,0.0,0.0,78246.14,30432.62,11361.29,3734.573,1152.154,361.5558,103.2577,29.43699,7.656765,0.000000,151086.2,78145.06,35188.59,14429.15,5765.300,2235.903,839.6382,291.6761,71.14305,0.000000
1,1,380,734923.1,7173129.5,567.2,95.0,0.0,0.0,76065.31,28752.87,10728.58,3735.941,1170.315,345.4042,91.14220,25.36641,7.090715,0.000000,150829.2,78279.46,36048.54,14953.96,5923.855,2275.885,846.5497,292.7496,71.62705,0.000000
1,1,383,734922.8,7173087.5,567.4,93.0,0.0,0.0,77031.19,28680.93,10540.71,3757.949,1201.789,343.9335,85.86602,23.01279,6.674593,0.000000,154120.9,79729.36,37130.83,15627.28,6162.800,2340.053,860.5330,296.1053,72.65115,0.000000
1,1,386,734922.7,7173045.5,567.4,90.7,0.0,0.0,78374.14,28885.57,10467.84,3726.030,1203.771,336.0158,79.04490,19.77633,5.873958,0.000000,158856.5,81954.50,38366.91,16337.08,6432.868,2413.752,876.5343,299.8375,73.76987,0.000000
1,1,389,734922.8,7173003.5,567.3,88.2,0.0,0.0,79413.80,29023.82,10406.01,3647.269,1174.509,318.8943,69.69408,15.62636,4.751825,0.000000,163698.8,84320.80,39597.54,16989.86,6688.103,2481.190,889.0454,301.9307,74.42055,0.000000
1,1,392,734922.8,7172961.5,567.4,87.4,0.0,0.0,78655.49,28779.61,10284.79,3544.499,1128.967,299.5149,61.11941,11.97805,3.731518,0.000000,164728.9,85125.15,40228.42,17382.28,6855.252,2520.740,892.0611,300.6718,74.14804,0.000000
1,1,395,734923.0,7172919.5,568.0,88.3,0.0,0.0,77062.81,28518.42,10217.42,3472.961,1090.830,285.9813,56.32304,9.972131,3.103292,0.000000,162110.3,84510.80,40325.59,17551.14,6942.846,2536.767,887.9733,297.0958,73.27695,0.000000
1,1,398,734923.3,7172877.5,568.6,89.0,0.0,0.0,77913.52,29173.32,10445.78,3496.538,1078.379,281.3372,55.54025,9.563072,2.855589,0.000000,160689.9,84607.23,40688.70,17783.43,7040.375,2556.822,885.6600,294.1053,72.54356,0.000000
1,1,401,734923.6,7172835.5,568.7,89.1,0.0,0.0,82077.23,30995.90,11025.63,3612.971,1085.135,280.7800,56.36160,9.731058,2.791302,0.000000,162377.2,86265.19,41646.07,18197.80,7185.374,2591.675,888.5773,292.8525,72.14069,0.000000
1,1,404,734923.9,7172793.5,568.6,89.2,0.0,0.0,88497.31,33685.84,11858.52,3781.698,1095.019,277.4229,55.73515,9.436556,2.592269,0.000000,165964.3,88946.87,42982.56,18715.44,7350.333,2631.893,894.0104,292.4528,71.93430,0.000000
1,1,407,734924.4,7172751.5,568.8,89.8,0.0,0.0,95446.88,36781.79,12835.95,3976.106,1101.600,269.6047,53.08242,8.412561,2.215049,0.000000,169559.4,91765.38,44335.13,19197.27,7485.508,2660.199,896.0216,291.1126,71.51123,0.000000
1,1,410,734924.8,7172709.5,569.0,90.8,0.0,0.0,102371.4,40163.32,13968.37,4218.569,1118.641,263.7003,51.00037,7.515389,1.834014,0.000000,173115.4,94686.08,45686.23,19624.56,7578.600,2670.399,891.9282,287.8452,70.63776,0.000000
1,1,413,734925.1,7172668.5,569.4,91.8,0.0,0.0,108331.4,43463.38,15183.46,4516.770,1161.002,268.0304,52.90162,8.091857,1.818686,0.000000,176539.9,97651.59,47044.62,20010.04,7636.708,2665.822,883.2971,283.1476,69.39895,0.000000
1,1,416,734925.4,7172628.0,570.1,93.0,0.0,0.0,112545.1,46292.13,16362.19,4851.562,1231.034,285.5132,60.03930,10.66407,2.338351,0.000000,179518.9,100563.6,48439.63,20391.43,7681.526,2656.518,874.3068,278.5698,68.16023,0.000000
1,1,419,734925.6,7172587.5,570.9,94.1,0.0,0.0,115173.6,48482.77,17392.17,5185.911,1319.177,312.7847,71.02056,14.57830,3.176593,0.000000,182311.0,103552.3,49980.73,20837.55,7746.280,2656.162,869.9710,275.9849,67.43597,0.000000
1,1,422,734925.6,7172545.5,571.5,95.2,0.0,0.0,116484.2,49945.19,18162.56,5471.116,1408.694,343.3072,83.19652,18.84732,4.124489,0.000000,184918.3,106572.9,51672.63,21375.49,7848.471,2672.232,872.9726,276.2672,67.42592,0.000000
1,1,425,734925.6,7172503.5,572.1,95.9,0.0,0.0,117519.6,50857.80,18617.21,5655.792,1476.048,366.5472,91.92062,21.70202,4.689991,0.000000,187865.5,109658.8,53450.99,21990.46,7991.374,2705.964,883.5771,279.3508,68.15941,0.000000
1,1,428,734925.4,7172461.5,572.3,95.8,0.0,0.0,119647.6,51653.46,18832.85,5733.774,1510.372,376.8949,94.71112,22.23258,4.614517,0.000000,192284.5,113192.6,55355.08,22673.86,8168.658,2751.607,898.0490,283.6840,69.20973,0.000000
1,1,431,734925.2,7172419.5,571.9,95.1,0.0,0.0,121885.6,52010.36,18728.60,5681.117,1503.496,372.6248,91.31347,20.43424,3.923429,0.000000,197133.8,116396.7,56951.70,23257.15,8326.493,2790.351,908.9896,286.5769,69.83589,0.000000
1,1,434,734925.0,7172377.5,571.8,94.6,0.0,0.0,121759.1,51203.57,18182.65,5492.310,1461.726,359.6481,85.03956,17.63808,2.984461,0.000000,199520.9,117627.3,57515.92,23487.34,8389.919,2799.920,909.1318,285.5382,69.39179,0.000000
1,1,437,734924.8,7172335.5,572.9,94.2,0.0,0.0,119279.6,49475.25,17393.36,5259.427,1421.804,354.5938,83.47150,16.77779,2.581698,0.000000,198789.5,116674.5,57004.91,23350.42,8355.771,2780.820,898.7520,280.7243,67.91994,0.000000
1,1,440,734924.8,7172293.5,574.3,93.4,0.0,0.0,116950.0,47794.26,16688.63,5081.409,1413.991,369.1855,91.81937,19.96497,3.331247,0.000000,197725.7,115263.1,56223.77,23129.10,8313.575,2764.514,889.7089,276.3878,66.54104,0.000000
1,1,443,734924.9,7172251.5,574.6,93.0,0.0,0.0,113175.4,45552.69,15834.79,4864.356,1396.726,384.9269,102.4073,24.37174,4.448501,0.000000,195813.0,113187.1,55157.68,22843.89,8285.049,2767.668,891.2244,276.2265,66.30006,0.000000
1,1,446,734925.1,7172210.5,573.6,93.8,0.0,0.0,106171.7,42115.29,14566.50,4488.839,1311.621,373.5174,102.8146,25.28296,4.727480,0.000000,191434.0,109627.1,53462.41,22352.28,8213.765,2771.097,897.1920,278.5163,66.76363,0.000000
1,1,449,734925.2,7172170.0,573.5,94.8,0.0,0.0,96979.59,37936.55,13036.74,4005.510,1175.145,339.2682,94.02180,22.86113,4.158023,0.000000,184520.3,104615.9,51098.36,21586.49,8046.086,2745.486,894.3413,278.1640,66.59486,0.000000
