Iteration,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
         1,      25.0,     560.4, 734932.88,7173378.50,    139.85,      2.15,      7.15,      0.85
         1,      25.0,     548.4, 734932.88,7173378.50,    141.26,      2.15,      7.08,      0.85
         1,      25.0,     536.4, 734932.88,7173378.50,    143.79,      2.16,      6.95,      0.84
         1,      25.0,     520.4, 734932.88,7173378.50,    149.84,      2.18,      6.67,      0.82
         1,      25.0,     499.8, 734932.88,7173378.50,    157.30,      2.20,      6.36,      0.80
         1,      25.0,     478.0, 734932.88,7173378.50,    165.47,      2.22,      6.04,      0.78
         1,      25.0,     454.8, 734932.88,7173378.50,    173.38,      2.24,      5.77,      0.76
         1,      25.0,     430.3, 734932.88,7173378.50,    180.36,      2.26,      5.54,      0.74
         1,      25.0,     404.3, 734932.88,7173378.50,    186.07,      2.27,      5.37,      0.73
         1,      25.0,     376.7, 734932.88,7173378.50,    190.47,      2.28,      5.25,      0.72
         1,      25.0,     347.5, 734932.88,7173378.50,    193.69,      2.29,      5.16,      0.71
         1,      25.0,     316.5, 734932.88,7173378.50,    195.92,      2.29,      5.10,      0.71
         1,      25.0,     283.7, 734932.88,7173378.50,    197.40,      2.30,      5.07,      0.70
         1,      25.0,     248.8, 734932.88,7173378.50,    198.36,      2.30,      5.04,      0.70
         1,      25.0,     211.8, 734932.88,7173378.50,    198.94,      2.30,      5.03,      0.70
         1,      25.0,     172.5, 734932.88,7173378.50,    199.28,      2.30,      5.02,      0.70
         1,      25.0,     130.8, 734932.88,7173378.50,    199.44,      2.30,      5.01,      0.70
         1,      75.0,     560.0, 734932.75,7173328.50,    132.37,      2.12,      7.55,      0.88
         1,      75.0,     548.0, 734932.75,7173328.50,    134.07,      2.13,      7.46,      0.87
         1,      75.0,     536.0, 734932.75,7173328.50,    137.10,      2.14,      7.29,      0.86
         1,      75.0,     520.0, 734932.75,7173328.50,    144.28,      2.16,      6.93,      0.84
         1,      75.0,     499.4, 734932.75,7173328.50,    153.07,      2.18,      6.53,      0.82
         1,      75.0,     477.5, 734932.75,7173328.50,    162.51,      2.21,      6.15,      0.79
         1,      75.0,     454.4, 734932.75,7173328.50,    171.43,      2.23,      5.83,      0.77
         1,      75.0,     429.8, 734932.75,7173328.50,    179.12,      2.25,      5.58,      0.75
         1,      75.0,     403.8, 734932.75,7173328.50,    185.29,      2.27,      5.40,      0.73
         1,      75.0,     376.3, 734932.75,7173328.50,    189.98,      2.28,      5.26,      0.72
         1,      75.0,     347.1, 734932.75,7173328.50,    193.37,      2.29,      5.17,      0.71
         1,      75.0,     316.1, 734932.75,7173328.50,    195.72,      2.29,      5.11,      0.71
         1,      75.0,     283.2, 734932.75,7173328.50,    197.27,      2.30,      5.07,      0.70
         1,      75.0,     248.4, 734932.75,7173328.50,    198.27,      2.30,      5.04,      0.70
