Line,Location,RL,East,North,Res_ohmm,LogRes,Cond_Ms_m,LogCond
     11250,      25.0,     560.4, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     548.4, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     536.4, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     520.4, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     499.8, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     478.0, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     454.8, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     430.3, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     404.3, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     376.7, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     347.5, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     316.5, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     283.7, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     248.8, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     211.8, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     172.5, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      25.0,     130.8, 734932.88,7173378.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     560.0, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     548.0, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     536.0, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     520.0, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     499.4, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     477.5, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     454.4, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     429.8, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     403.8, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     376.3, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     347.1, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     316.1, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     283.2, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     248.4, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     211.5, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     172.3, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,      75.0,     130.8, 734932.75,7173328.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     559.7, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     547.7, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     535.7, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     519.7, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     499.1, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     477.3, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     454.2, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     429.6, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     403.6, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     376.0, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     346.8, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     315.9, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     283.0, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     248.2, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     211.3, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     172.2, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     125.0,     130.8, 734932.75,7173278.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     560.0, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     548.0, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     536.0, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     520.0, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     499.4, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     477.6, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     454.4, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     429.9, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     403.9, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     376.3, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     347.1, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     316.1, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     283.3, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     248.4, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     211.5, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     172.3, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     175.0,     130.8, 734932.62,7173228.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     560.6, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     548.6, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     536.6, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     520.6, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     500.0, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     478.1, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     455.0, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     430.4, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     404.4, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     376.9, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     347.7, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     316.7, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     283.8, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     248.9, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     211.8, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     172.5, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     225.0,     130.9, 734932.62,7173178.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     561.1, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     549.1, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     537.1, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     521.1, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     500.5, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     478.6, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     455.5, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
     11250,     275.0,     431.0, 734932.50,7173128.50,    200.00,      2.30,      5.00,      0.70
