  Iteration    RMS_Error(%)   Model_Norm
          1          60.954        0.000
          2          54.348        8.085
          3          47.134       32.231
          4          45.979       41.870
          5          45.601       46.796
          6          45.280       50.602
          7          44.777       55.958
          8          43.785       67.768
          9          41.733       96.235
         10          38.439      147.114
         11          34.802      204.406
         12          31.101      256.817
         13          28.114      296.589
         14          25.733      335.747
         15          23.557      378.945
         16          20.866      440.594
         17          18.493      523.314
         18          17.106      591.023
         19          15.887      682.517
         20          14.554      757.037
         21          13.459      842.291
         22          12.719      938.354
         23          12.126     1029.008
         24          11.798     1105.521
         25          11.469     1218.620
         26          11.090     1317.300
         27          10.942     1374.399
         28          10.274     1478.500
